阿坝,a'ba
阿波罗,a'bo'luo
阿代尔,a'dai'er
阿尔,a'er
阿尔法射线,a'er'fa'she'xian
阿利伯克级,a'li'bo'ke'ji
阿里军分区,a'li'jun'fen'qu
阿帕奇,a'pa'qi
阿伊曼,a'yi'man
阿尤布,a'you'bu
爱宝部门,ai'bao'bu'men
哀兵,ai'bing
爱兵,ai'bing
挨打,ai'da
爱岛,ai'dao
爱尔兰,ai'er'lan
爱国,ai'guo
爱国官兵,ai'guo'guan'bing
爱国将领,ai'guo'jiang'ling
挨过剋,ai'guo'kei
挨过训,ai'guo'xun
爱国运动,ai'guo'yun'dong
爱国者,ai'guo'zhe
爱国主义,ai'guo'zhu'yi
爱国主义者,ai'guo'zhu'yi'zhe
瑷珲,ai'hui
瑷珲条约,ai'hui'tiao'yue
埃军,ai'jun
爱军,ai'jun
爱军精武,ai'jun'jing'wu
艾科,ai'ke
挨剋,ai'kei
隘口,ai'kou
艾劳会战,ai'lao'hui'zhan
挨了剋,ai'le'kei
挨了批评,ai'le'pi'ping
挨了训,ai'le'xun
挨了揍,ai'le'zou
隘路,ai'lu
爱民模范,ai'min'mo'fan
挨批评,ai'pi'ping
矮墙,ai'qiang
埃塞克斯,ai'sai'ke'si
艾森豪威尔,ai'sen'hao'wei'er
爱生豪威尔,ai'sheng'hao'wei'er
艾特拉姆斯,ai'te'la'mu'si
挨训,ai'xun
挨炸,ai'zha
挨揍,ai'zou
暗堡,an'bao
安保检查,an'bao'jian'cha
安保力量,an'bao'li'liang
暗堡炮,an'bao'pao
安保人员,an'bao'ren'yuan
安保时间,an'bao'shi'jian
安保系统,an'bao'xi'tong
安保训练,an'bao'xun'lian
安保执勤,an'bao'zhi'qin
按比例,an'bi'li
按比例尺,an'bi'li'chi
岸壁式,an'bi'shi
岸边,an'bian
岸边部分,an'bian'bu'fen
岸边节套舟,an'bian'jie'tao'zhou
岸边码头,an'bian'ma'tou
岸边器材,an'bian'qi'cai
岸边鱼雷,an'bian'yu'lei
岸边舟,an'bian'zhou
按兵不动,an'bing'bu'dong
鞍部,an'bu
鞍部中心,an'bu'zhong'xin
暗舱飞行,an'cang'fei'xing
岸侧,an'ce
按测距机,an'ce'ju'ji
暗道,an'dao
岸导部队,an'dao'bu'dui
安定翅,an'ding'chi
安定面,an'ding'mian
安定面积,an'ding'mian'ji
安定面调整,an'ding'mian'tiao'zheng
安定器,an'ding'qi
安定索,an'ding'suo
安定性,an'ding'xing
暗渡陈仓,an'du'chen'cang
岸防,an'fang
岸防兵,an'fang'bing
岸防兵部队,an'fang'bing'bu'dui
岸防兵器,an'fang'bing'qi
岸防部队,an'fang'bu'dui
岸防导弹,an'fang'dao'dan
岸防工事,an'fang'gong'shi
岸防旅,an'fang'lv
按方位角,an'fang'wei'jiao
安防演戏,an'fang'yan'xi
安抚,an'fu
按岗,an'gang
按纲施训,an'gang'shi'xun
按纲抓建,an'gang'zhua'jian
安哥拉之战,an'ge'la'zhi'zhan
按规定,an'gui'ding
暗河,an'he
暗盒,an'he
按划分的,an'hua'fen'de
暗火力点,an'huo'li'dian
按火力计划,an'huo'li'ji'hua
岸基,an'ji
按级,an'ji
岸基反潜,an'ji'fan'qian
岸基反潜机,an'ji'fan'qian'ji
岸基防空,an'ji'fang'kong
岸基防空兵,an'ji'fang'kong'bing
岸基防御,an'ji'fang'yu
岸基飞机,an'ji'fei'ji
按级负责,an'ji'fu'ze
岸基航空兵,an'ji'hang'kong'bing
按计划,an'ji'hua
按级任教,an'ji'ren'jiao
按级指挥,an'ji'zhi'hui
岸舰导弹,an'jian'dao'dan
岸舰一体,an'jian'yi'ti
岸礁,an'jiao
暗礁,an'jiao
岸控,an'kong
岸控水雷,an'kong'shui'lei
暗令,an'ling
暗流,an'liu
按目标,an'mu'biao
岸炮,an'pao
按炮兵的,an'pao'bing'de
按炮瞄雷达,an'pao'miao'lei'da
岸炮群,an'pao'qun
鞍辔局,an'pei'ju
按期执行,an'qi'zhi'xing
岸潜,an'qian
安庆保卫战,an'qing'bao'wei'zhan
安丘,an'qiu
暗区,an'qu
安全半径,an'quan'ban'jing
安全保密,an'quan'bao'mi
安全保卫,an'quan'bao'wei
安全保障,an'quan'bao'zhang
安全背带,an'quan'bei'dai
安全标杆,an'quan'biao'gan
安全标志,an'quan'biao'zhi
安全部队,an'quan'bu'dui
安全补给,an'quan'bu'gei
安全部门,an'quan'bu'men
安全操作,an'quan'cao'zuo
安全插头,an'quan'cha'tou
安全撤返,an'quan'che'fan
安全撤离,an'quan'che'li
安全出口,an'quan'chu'kou
安全垂直,an'quan'chui'zhi
安全措施,an'quan'cuo'shi
安全带,an'quan'dai
安全道,an'quan'dao
安全地带,an'quan'di'dai
安全电流,an'quan'dian'liu
安全阀,an'quan'fa
安全范围,an'quan'fan'wei
安全防护,an'quan'fang'hu
安全方位角,an'quan'fang'wei'jiao
安全防御,an'quan'fang'yu
安全飞行,an'quan'fei'xing
安全风险,an'quan'feng'xian
安全服,an'quan'fu
安全负载,an'quan'fu'zai
安全高度,an'quan'gao'du
安全工作,an'quan'gong'zuo
安全观察,an'quan'guan'cha
安全观察员,an'quan'guan'cha'yuan
安全管理,an'quan'guan'li
安全归航,an'quan'gui'hang
安全规则,an'quan'gui'ze
安全航线,an'quan'hang'xian
安全环,an'quan'huan
安全缓冲,an'quan'huan'chong
安全缓冲区,an'quan'huan'chong'qu
安全回收,an'quan'hui'shou
安全活门,an'quan'huo'men
安全计划,an'quan'ji'hua
安全剂量,an'quan'ji'liang
安全监视,an'quan'jian'shi
安全监视员,an'quan'jian'shi'yuan
安全降落,an'quan'jiang'luo
