百合百合花,bai'he'bai'he'hua
百日草,bai'ri'cao
报春花,bao'chun'hua
宝盖草,bao'gai'cao
菖兰蝴蝶花菖蒲,chang'lan'hu'die'hua'chang'pu
朝顔牵牛花,chao'yan'qian'niu'hua
春兰,chun'lan
大波斯菊,da'bo'si'ju
繁蒌,fan'lou
福寿草侧金盏花福寿草,fu'shou'cao'ce'jin'zhan'hua'fu'shou'cao
葛野葛,ge'ye'ge
紅花红花,gong'hua'hong'hua
狗尾草,gou'wei'cao
观音莲,guan'yin'lian
花菖蒲花菖蒲玉蝉花,hua'chang'pu'hua'chang'pu'yu'chan'hua
黄背草,huang'bei'cao
黄花龙芽,huang'hua'long'ya
荠菜,ji'cai
鸡冠花,ji'guan'hua
桔梗桔梗,jie'geng'jie'geng
堇菜,jin'cai
菊菊花,ju'ju'hua
矍麦,jue'mai
兰草,lan'cao
連翹连翘,lian'qiao'lian'qiao
铃兰,ling'lan
龙胆,long'dan
楼斗花,lou'dou'hua
萝卜,luo'bo
蔓菁芜菁,man'jing'wu'jing
梅梅花,mei'mei'hua
牧丹,mu'dan
木犀桂花木樨,mu'xi'gui'hua'mu'xi
蒲公英,pu'gong'ying
萩胡枝子,qiu'hu'zhi'zi
山茶花,shan'cha'hua
山楂花,shan'zha'hua
沈丁花瑞香,shen'ding'hua'rui'xiang
石蒜,shi'suan
鼠曲草,shu'qu'cao
睡蓮睡莲,shui'lian'shui'lian
水芹,shui'qin
水仙水仙,shui'xian'shui'xian
桃桃花,tao'tao'hua
藤紫藤,teng'zi'teng
向日葵向日葵,xiang'ri'kui'xiang'ri'kui
小叶山茶,xiao'ye'shan'cha
辛夷,xin'yi
绣球花,xiu'qiu'hua
一品红,yi'pin'hong
銀杏银杏,yin'xing'yin'xing
桜樱花,ying'ying'hua
郁金香,yu'jin'xiang
虞美人,yu'mei'ren
紫丁香,zi'ding'xiang
紫薇花,zi'wei'hua
紫云英,zi'yun'ying
