阿们,a'men
亚伯拉罕,ya'bo'la'han
亚波罗,ya'bo'luo
亚当,ya'dang
亚该亚,ya'gai'ya
雅各,ya'ge
雅歌,ya'ge
雅各书,ya'ge'shu
亚古士督,ya'gu'shi'du
亚哈,ya'ha
亚哈斯,ya'ha'si
亚哈随鲁,ya'ha'sui'lu
亚哈谢,ya'ha'xie
亚基布,ya'ji'bu
亚迦布,ya'jia'bu
亚居拉,ya'ju'la
亚勒腓,ya'le'fei
睚鲁,ya'lu
亚伦,ya'lun
亚玛谢,ya'ma'xie
亚们,ya'men
亚拿,ya'na
亚那,ya'na
亚拿尼亚,ya'na'ni'ya
亚撒,ya'sa
亚萨,ya'sa
押沙龙,ya'sha'long
亚设,ya'she
亚他利雅,ya'ta'li'ya
雅亿,ya'yi
耶弗他,ye'fu'ta
耶和华,ye'he'hua
耶户,ye'hu
耶利米,ye'li'mi
耶利米哀歌,ye'li'mi'ai'ge
耶利米书,ye'li'mi'shu
耶路撒冷,ye'lu'sa'leng
耶罗波安,ye'luo'bo'an
耶稣基督,ye'su'ji'du
叶忒罗,ye'tei'luo
耶西,ye'xi
耶洗别,ye'xi'bie
以巴弗提,yi'ba'fu'ti
以法连,yi'fa'lian
以弗所书,yi'fu'suo'shu
以拉,yi'la
以利,yi'li
以利沙,yi'li'sha
以利沙伯,yi'li'sha'bo
以利亚,yi'li'ya
以利亚撒,yi'li'ya'sa
以马内利,yi'ma'nei'li
以诺,yi'nuo
以撒,yi'sa
以萨迦,yi'sa'jia
以赛亚,yi'sai'ya
以赛亚书,yi'sai'ya'shu
以扫,yi'sao
伊施波设,yi'shi'bo'she
以实玛利,yi'shi'ma'li
以斯拉,yi'si'la
以斯拉记,yi'si'la'ji
以斯帖,yi'si'tie
以斯帖记,yi'si'tie'ji
以探,yi'tan
以西结,yi'xi'jie
以西结书,yi'xi'jie'shu
犹大,you'da
犹大书,you'da'shu
友尼基,you'ni'ji
约阿施,yue'a'shi
约伯,yue'bo
约伯记,yue'bo'ji
约珥,yue'er
约珥书,yue'er'shu
约哈斯,yue'ha'si
约翰,yue'han
约翰参书,yue'han'can'shu
约翰贰书,yue'han'er'shu
约翰福音,yue'han'fu'yin
约翰壹书,yue'han'yi'shu
约兰,yue'lan
约拿,yue'na
约拿单,yue'na'dan
约拿书,yue'na'shu
约瑟,yue'se
约沙法,yue'sha'fa
约书亚,yue'shu'ya
约书亚记,yue'shu'ya'ji
约坦,yue'tan
约西亚,yue'xi'ya
约押,yue'ya
约雅斤,yue'ya'jin
约雅敬,yue'ya'jing
赞美,zan'mei
赞美主,zan'mei'zhu
真神,zhen'shen
箴言,zhen'yan
支派,zhi'pai
主啊,zhu'a
主耶稣,zhu'ye'su
