阿部敦,a'bu'dun
阿澄佳奈,a'cheng'jia'nai
阿夜,a'ye
爱的修复光线,ai'de'xiu'fu'guang'xian
爱上你的眼睛,ai'shang'ni'de'yan'jing
安部润,an'bu'run
暗之耀,an'zhi'yao
爸爸和妈妈的回忆,ba'ba'he'ma'ma'de'hui'yi
白金圣皇,bai'jin'sheng'huang
白旗,bai'qi
悲伤的圣诞节前夜,bei'shang'de'sheng'dan'jie'qian'ye
边里唯世,bian'li'wei'shi
变身,bian'shen
氷青,bing'qing
不得不爱,bu'de'bu'ai
彩色画布,cai'se'hua'bu
彩色画布特别版,cai'se'hua'bu'te'bie'ban
长仓拓哉,chang'cang'tuo'zai
超级欢乐,chao'ji'huan'le
澄空学园,cheng'kong'xue'yuan
澄空字幕组,cheng'kong'zi'mu'zu
成田纱矢香,cheng'tian'sha'shi'xiang
初恋的婚礼蛋糕,chu'lian'de'hun'li'dan'gao
纯洁之魅,chun'jie'zhi'mei
春天却要告别,chun'tian'que'yao'gao'bie
村井,cun'jing
大地,da'di
大骚乱新年演唱会,da'sao'luan'xin'nian'yan'chang'hui
第四个守护蛋,di'si'ge'shou'hu'dan
叮咚响,ding'dong'xiang
盯上的不只是锁,ding'shang'de'bu'zhi'shi'suo
东京,dong'jing
东京电视台,dong'jing'dian'shi'tai
恶梦妖精,e'meng'yao'jing
恶魔三叉戟,e'mo'san'cha'ji
恶魔之音,e'mo'zhi'yin
二阶堂,er'jie'tang
二阶堂悠,er'jie'tang'you
方块,fang'kuai
丰崎爱生,feng'qi'ai'sheng
风中舞动的音符,feng'zhong'wu'dong'de'yin'fu
复活社,fu'huo'she
抚子,fu'zi
干掉坏甜心,gan'diao'huai'tian'xin
冈本信彦,gang'ben'xin'yan
高木礼子,gao'mu'li'zi
高兴而害羞的初次约会,gao'xing'er'hai'xiu'de'chu'ci'yue'hui
歌呗,ge'bei
公司,gong'si
古山贵实子,gu'shan'gui'shi'zi
海里,hai'li
黑暗宝石,hei'an'bao'shi
黑色山猫,hei'se'shan'mao
冴木信子,hu'mu'xin'zi
滑雪场和守护甜心,hua'xue'chang'he'shou'hu'tian'xin
坏蛋,huai'dan
坏甜心,huai'tian'xin
黄金王子后篇,huang'jin'wang'zi'hou'pian
黄金王子前篇,huang'jin'wang'zi'qian'pian
绘琉,hui'liu
