安得广厦千万间,an'de'guang'sha'qian'wan'jian
八百里分麾下灸,ba'bai'li'fen'hui'xia'jiu
巴东三峡巫峡长,ba'dong'san'xia'wu'xia'chang
把酒话桑麻,ba'jiu'hua'sang'ma
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
巴山夜雨涨秋池,ba'shan'ye'yu'zhang'qiu'chi
八月湖水平,ba'yue'hu'shui'ping
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
百草丰茂,bai'cao'feng'mao
百川东到海,bai'chuan'dong'dao'hai
白露为霜,bai'lu'wei'shuang
白露未晞,bai'lu'wei'xi
白露未已,bai'lu'wei'yi
白头搔更短,bai'tou'sao'geng'duan
白雪歌送武判官归京,bai'xue'ge'song'wu'pan'guan'gui'jing
白云千载空悠悠,bai'yun'qian'zai'kong'you'you
半卷红旗临易水,ban'juan'hong'qi'lin'yi'shui
半亩方塘一鉴开,ban'mu'fang'tang'yi'jian'kai
半夜凉初透,ban'ye'liang'chu'tou
报君黄金台上意,bao'jun'huang'jin'tai'shang'yi
抱子在其旁,bao'zi'zai'qi'pang
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
背灼炎天光,bei'zhuo'yan'tian'guang
必先苦其心志,bi'xian'ku'qi'xin'zhi
必有我师焉,bi'you'wo'shi'yan
别是一番滋味在心头,bie'shi'yi'fan'zi'wei'zai'xin'tou
鬓微霜,bin'wei'shuang
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
波憾岳阳城,bo'han'yue'yang'cheng
波涛如怒,bo'tao'ru'nu
薄雾浓云愁永昼,bo'wu'nong'yun'chou'yong'zhou
不但在天,bu'dan'zai'tian
布衾多年冷似铁,bu'qin'duo'nian'leng'si'tie
不求闻达于诸侯,bu'qiu'wen'da'yu'zhu'hou
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不亦乐乎,bu'yi'le'hu
不亦说乎,bu'yi'yue'hu
不知为不知,bu'zhi'wei'bu'zhi
采菊东篱下,cai'ju'dong'li'xia
苍苍竹林寺,cang'cang'zhu'lin'si
草色遥看近却无,cao'se'yao'kan'jin'que'wu
草盛豆苗稀,cao'sheng'dou'miao'xi
参差披拂,cen'ci'pi'fu
曾不事农桑,ceng'bu'shi'nong'sang
曾益其所不能,ceng'yi'qi'suo'bu'neng
禅房花木深,chan'fang'hua'mu'shen
长风破浪会有时,chang'feng'po'lang'hui'you'shi
长风万里送秋雁,chang'feng'wan'li'song'qiu'yan
长河落日圆,chang'he'luo'ri'yuan
常记溪亭日暮,chang'ji'xi'ting'ri'mu
常恐秋节至,chang'kong'qiu'jie'zhi
长烟落日孤城闭,chang'yan'luo'ri'gu'cheng'bi
长夜沾湿何由彻,chang'ye'zhan'shi'he'you'che
潮平两岸阔,chao'ping'liang'an'kuo
晨兴理荒秽,chen'xing'li'huang'hui
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
沉醉不知归路,chen'zui'bu'zhi'gui'lu
城春草木深,cheng'chun'cao'mu'shen
城阙辅三秦,cheng'que'fu'san'qin
赤壁,chi'bi
持节云中,chi'jie'yun'zhong
抽刀断水水更流,chou'dao'duan'shui'shui'geng'liu
酬乐天扬州初逢席上见赠,chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
初日照高林,chu'ri'zhao'gao'lin
滁州西涧,chu'zhou'xi'jian
床头屋漏无干处,chuang'tou'wu'lou'wu'gan'chu
春蚕到死丝方尽,chun'can'dao'si'si'fang'jin
春潮带雨晚来急,chun'chao'dai'yu'wan'lai'ji
唇焦口燥呼不得,chun'jiao'kou'zao'hu'bu'de
次北固山下,ci'bei'gu'shan'xia
此地空余黄鹤楼,ci'di'kong'yu'huang'he'lou
此后汉所以倾颓也,ci'hou'han'suo'yi'qing'tui'ye
此事古难全,ci'shi'gu'nan'quan
此先汉所以兴隆也,ci'xian'han'suo'yi'xing'long'ye
此中有真意,ci'zhong'you'zhen'yi
从今若许闲乘月,cong'jin'ruo'xu'xian'cheng'yue
崔九堂前几度闻,cui'jiu'tang'qian'ji'du'wen
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大漠孤烟直,da'mo'gu'yan'zhi
待到重阳日,dai'dao'chong'yang'ri
带月荷锄归,dai'yue'he'chu'gui
岱宗夫如何,dai'zong'fu'ru'he
但使愿无违,dan'shi'yuan'wu'wei
但惜夏日长,dan'xi'xia'ri'chang
但余钟磬声,dan'yu'zhong'qing'sheng
但愿人长久,dan'yuan'ren'chang'jiu
荡胸生层云,dang'xiong'sheng'ceng'yun
稻花香里说丰年,dao'hua'xiang'li'shuo'feng'nian
道狭草木长,dao'xia'cao'mu'zhang
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
道阻且长,dao'zu'qie'chang
道阻且跻,dao'zu'qie'ji
道阻且右,dao'zu'qie'you
登飞来峰,deng'fei'lai'feng
丁壮在南冈,ding'zhuang'zai'nan'gang
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
东风无力百花残,dong'feng'wu'li'bai'hua'can
东篱把酒黄昏后,dong'li'ba'jiu'huang'hun'hou
东临碣石,dong'lin'jie'shi
独怆然而涕下,du'chuang'ran'er'ti'xia
都护铁衣冷难着,du'hu'tie'yi'leng'nan'zhe
渡荆门送别,du'jing'men'song'bie
独怜幽草涧边生,du'lian'you'cao'jian'bian'sheng
渡远荆门外,du'yuan'jing'men'wai
独酌无相亲,du'zhuo'wu'xiang'qin
独坐幽篁里,du'zuo'you'huang'li
断肠人在天涯,duan'chang'ren'zai'tian'ya
端居耻圣明,duan'ju'chi'sheng'ming
对此可以酣高楼,dui'ci'ke'yi'han'gao'lou
对影成三人,dui'ying'cheng'san'ren
多少楼台烟雨中,duo'shao'lou'tai'yan'yu'zhong
峨嵋山月半轮秋,e'mei'shan'yue'ban'lun'qiu
峨眉山月歌,e'mei'shan'yue'ge
饿其体肤,e'qi'ti'fu
俄顷风定云墨色,e'qing'feng'ding'yun'mo'se
而伯乐不常有,er'bo'le'bu'chang'you
儿女共沾巾,er'nv'gong'zhan'jin
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
儿童相见不相识,er'tong'xiang'jian'bu'xiang'shi
而无车马喧,er'wu'che'ma'xuan
二者不可得兼,er'zhe'bu'ke'de'jian
芳草萋萋鹦鹉洲,fang'cao'qi'qi'ying'wu'zhou
飞来山上千寻塔,fei'lai'shan'shang'qian'xun'ta
飞鸟相与还,fei'niao'xiang'yu'huan
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
烽火连三月,feng'huo'lian'san'yue
峰峦如聚,feng'luan'ru'ju
丰年留客足鸡豚,feng'nian'liu'ke'zu'ji'tun
风烟望五津,feng'yan'wang'wu'jin
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
风正一帆悬,feng'zheng'yi'fan'xuan
妇姑荷箪食,fu'gu'he'dan'si
复有贫妇人,fu'you'pin'fu'ren
夫战,fu'zhan
弗之怠,fu'zhi'dai
盖竹柏影也,gai'zhu'bai'ying'ye
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感时花溅泪,gan'shi'hua'jian'lei
高者挂罥长林梢,gao'zhe'gua'juan'chang'lin'shao
各领风骚数百年,ge'ling'feng'sao'shu'bai'nian
歌以咏志,ge'yi'yong'zhi
更著风和雨,geng'zhu'feng'he'yu
宫阙万间都做了土,gong'que'wan'jian'dou'zuo'le'tu
公然抱茅入竹去,gong'ran'bao'mao'ru'zhu'qu
弓如霹雳弦惊,gong'ru'pi'li'xian'jing
苟全性命于乱世,gou'quan'xing'ming'yu'luan'shi
古道西风瘦马,gu'dao'xi'feng'shou'ma
故人具鸡黍,gu'ren'ju'ji'shu
孤山寺北贾亭西,gu'shan'si'bei'jia'ting'xi
故天将降大任于是人也,gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye
观沧海,guan'cang'hai
关关雎鸠,guan'guan'ju'jiu
观书有感,guan'shu'you'gan
观刈麦,guan'yi'mai
归来倚杖自叹息,gui'lai'yi'zhang'zi'tan'xi
归雁洛阳边,gui'yan'luo'yang'bian
过故人庄,guo'gu'ren'zhuang
过零丁洋,guo'ling'ding'yang
国破山河在,guo'po'shan'he'zai
过松源晨炊漆公店,guo'song'yuan'chen'chui'qi'gong'dian
还来就菊花,hai'lai'jiu'ju'hua
海内存知己,hai'nei'cun'zhi'ji
海日生残夜,hai'ri'sheng'can'ye
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
涵虚混太清,han'xu'hun'tai'qing
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
何当共剪西窗烛,he'dang'gong'jian'xi'chuang'zhu
河汉清且浅,he'han'qing'qie'qian
荷笠带夕阳,he'li'dai'xi'yang
何日遣冯唐,he'ri'qian'feng'tang
何时复西归,he'shi'fu'xi'gui
何时眼前突兀见此屋,he'shi'yan'qian'tu'wu'jian'ci'wu
黑云压城城欲摧,hei'yun'ya'cheng'cheng'yu'cui
恨别鸟惊心,hen'bie'niao'jing'xin
衡阳雁去无留意,heng'yang'yan'qu'wu'liu'yi
洪波涌起,hong'bo'yong'qi
后不见来者,hou'bu'jian'lai'zhe
后天下之乐而乐,hou'tian'xia'zhi'le'er'le
胡琴琵琶与羌笛,hu'qin'pi'pa'yu'qiang'di
狐裘不暖锦衾薄,hu'qiu'bu'nuan'jin'qin'bo
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
花间一壶酒,hua'jian'yi'hu'jiu
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
淮上与友人别,huai'shang'yu'you'ren'bie
浣溪沙,huan'xi'sha
黄鹤一去不复返,huang'he'yi'qu'bu'fu'fan
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
黄梅时节家家雨,huang'mei'shi'jie'jia'jia'yu
会当凌绝顶,hui'dang'ling'jue'ding
会挽雕弓如满月,hui'wan'diao'gong'ru'man'yue
回乡偶书,hui'xiang'ou'shu
浑欲不胜簪,hun'yu'bu'sheng'zan
几处早莺争暖树,ji'chu'zao'ying'zheng'nuan'shu
己亥杂诗,ji'hai'za'shi
寂寞开无主,ji'mo'kai'wu'zhu
鸡犬相闻,ji'quan'xiang'wen
己所不欲,ji'suo'bu'yu
甲光向日金鳞开,jia'guang'xiang'ri'jin'lin'kai
佳节又重阳,jia'jie'you'chong'yang
家书抵万金,jia'shu'di'wan'jin
家田输税尽,jia'tian'shu'shui'jin
剪不断,jian'bu'duan
见不贤而内自省也,jian'bu'xian'er'nei'zi'xing'ye
蒹葭采采,jian'jia'cai'cai
蒹葭苍苍,jian'jia'cang'cang
蒹葭萋萋,jian'jia'qi'qi
见贤思齐焉,jian'xian'si'qi'yan
江春入旧年,jiang'chun'ru'jiu'nian
将军白发征夫泪,jiang'jun'bai'fa'zheng'fu'lei
将军角弓不得控,jiang'jun'jiao'gong'bu'de'kong
江南春,jiang'nan'chun
江南逢李龟年,jiang'nan'feng'li'gui'nian
江入大荒流,jiang'ru'da'huang'liu
江山代有才人出,jiang'shan'dai'you'cai'ren'chu
僵卧孤村不自哀,jiang'wo'gu'cun'bu'zi'ai
娇儿恶卧踏里裂,jiao'er'e'wo'ta'li'lie
皎皎河汉女,jiao'jiao'he'han'nv
角声满天秋色里,jiao'sheng'man'tian'qiu'se'li
结庐在人境,jie'lu'zai'ren'jing
锦帽貂裘,jin'mao'diao'qiu
尽日不能忘,jin'ri'bu'neng'wang
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
今日又南冠,jin'ri'you'nan'guan
今日之日多烦忧,jin'ri'zhi'ri'duo'fan'you
今我何功德,jin'wo'he'gong'de
惊起一滩鸥鹭,jing'qi'yi'tan'ou'lu
酒酣胸胆尚开张,jiu'han'xiong'dan'shang'kai'zhang
旧时茅店社林边,jiu'shi'mao'dian'she'lin'bian
举杯销愁愁更愁,ju'bei'xiao'chou'chou'geng'chou
举杯邀明月,ju'bei'yao'ming'yue
俱怀逸兴壮思飞,ju'huai'yi'xing'zhuang'si'fei
卷我屋上三重茅,juan'wo'wu'shang'san'chong'mao
绝胜烟柳满皇都,jue'sheng'yan'liu'man'huang'du
决眦入归鸟,jue'zi'ru'gui'niao
君问归期未有期,jun'wen'gui'qi'wei'you'qi
君向潇湘我向秦,jun'xiang'xiao'xiang'wo'xiang'qin
君子好逑,jun'zi'hao'qiu
开轩面场圃,kai'xuan'mian'chang'pu
看孙郎,kan'sun'lang
可得永年,ke'de'yong'nian
可怜白发生,ke'lian'bai'fa'sheng
客路青山外,ke'lu'qing'shan'wai
客舍青青柳色新,ke'she'qing'qing'liu'se'xin
可以为师矣,ke'yi'wei'shi'yi
客之美我者,ke'zhi'mei'wo'zhe
空乏其身,kong'fa'qi'shen
枯藤老树昏鸦,ku'teng'lao'shu'hun'ya
焜黄华叶衰,kun'huang'hua'ye'shuai
