报警现象,bao'jing'xian'xiang
崩料,beng'liao
崩料塌料,beng'liao'ta'liao
边缘煤气流过分发展,bian'yuan'mei'qi'liu'guo'fen'fa'zhan
边缘气流发展,bian'yuan'qi'liu'fa'zhan
不当,bu'dang
不规则,bu'gui'ze
补加,bu'jia
布料器事故,bu'liao'qi'shi'gu
不能满足,bu'neng'man'zu
操作不当,cao'zuo'bu'dang
操作人员,cao'zuo'ren'yuan
操作系统,cao'zuo'xi'tong
插枪,cha'qiang
常压,chang'ya
超过规定值,chao'guo'gui'ding'zhi
成分,cheng'fen
冲刷力,chong'shua'li
除尘器,chu'chen'qi
处理方法,chu'li'fang'fa
大盖,da'gai
大灌渣,da'guan'zha
大量漏水,da'liang'lou'shui
打水,da'shui
大套,da'tao
大小盖,da'xiao'gai
倒流,dao'liu
低料线,di'liao'xian
低水压,di'shui'ya
电缆,dian'lan
顶压,ding'ya
顶压自动调压阀,ding'ya'zi'dong'tiao'ya'fa
断水,duan'shui
二层平台,er'ceng'ping'tai
二套,er'tao
法兰盘,fa'lan'pan
钒钛矿护炉,fan'tai'kuang'hu'lu
放不净渣铁,fang'bu'jing'zha'tie
放风,fang'feng
放散阀,fang'san'fa
风口,feng'kou
风口窝渣,feng'kou'wo'zha
风口直吹管烧穿,feng'kou'zhi'chui'guan'shao'chuan
风量,feng'liang
封炉,feng'lu
风压,feng'ya
风渣口,feng'zha'kou
改变,gai'bian
高炉封炉,gao'lu'feng'lu
高炉上部炉衬脱落,gao'lu'shang'bu'lu'chen'tuo'luo
高压水,gao'ya'shui
供水量,gong'shui'liang
鼓风机,gu'feng'ji
故障,gu'zhang
挂渣,gua'zha
管道,guan'dao
管道行程,guan'dao'xing'cheng
灌渣,guan'zha
含铅,han'qian
号外铁,hao'wai'tie
红焦炭,hong'jiao'tan
混风大闸,hun'feng'da'zha
混风切断阀,hun'feng'qie'duan'fa
混风调节阀,hun'feng'tiao'jie'fa
计划停煤,ji'hua'ting'mei
机理,ji'li
加强巡检,jia'qiang'xun'jian
减产,jian'chan
碱度,jian'du
碱金属,jian'jin'shu
降低,jiang'di
焦炭负荷,jiao'tan'fu'he
净焦,jing'jiao
看水工,kan'shui'gong
窥视孔,kui'shi'kong
窥视孔盖,kui'shi'kong'gai
冷风阀,leng'feng'fa
冷却强度,leng'que'qiang'du
冷却设备,leng'que'she'bei
凉炉,liang'lu
裂缝,lie'feng
漏煤气,lou'mei'qi
炉底烧穿,lu'di'shao'chuan
炉缸,lu'gang
炉缸冻结,lu'gang'dong'jie
炉缸堆积,lu'gang'dui'ji
炉缸烧穿,lu'gang'shao'chuan
炉缸圆周,lu'gang'yuan'zhou
炉基,lu'ji
炉况顺行差,lu'kuang'shun'xing'cha
炉凉事故,lu'liang'shi'gu
炉皮发红,lu'pi'fa'hong
炉墙结瘤,lu'qiang'jie'liu
炉体喷火,lu'ti'pen'huo
炉型不规则,lu'xing'bu'gui'ze
炉役后期,lu'yi'hou'qi
炉渣,lu'zha
煤气切断阀,mei'qi'qie'duan'fa
煤气曲线,mei'qi'qu'xian
耐火砖,nai'huo'zhuan
难熔保护层,nan'rong'bao'hu'ceng
泥炮,ni'pao
粘土砖,nian'tu'zhuan
跑风,pao'feng
喷补,pen'bu
喷渣,pen'zha
偏料,pian'liao
频繁,pin'fan
破裂,po'lie
气流失常,qi'liu'shi'chang
砌筑质量,qi'zhu'zhi'liang
侵蚀,qin'shi
热电偶,re'dian'ou
三层平台,san'ceng'ping'tai
上料系统,shang'liao'xi'tong
烧出,shao'chu
烧坏,shao'huai
设计不合理,she'ji'bu'he'li
升高,sheng'gao
生铁含硅低,sheng'tie'han'gui'di
时常发生,shi'chang'fa'sheng
事故,shi'gu
使用,shi'yong
水冷,shui'leng
水温差,shui'wen'cha
水箱,shui'xiang
塌料,ta'liao
碳砖,tan'zhuan
铁口常期过浅,tie'kou'chang'qi'guo'qian
铁口维护,tie'kou'wei'hu
停电,ting'dian
停风,ting'feng
停煤,ting'mei
停水,ting'shui
停氧,ting'yang
停止加料,ting'zhi'jia'liao
停止喷煤,ting'zhi'pen'mei
透气性,tou'qi'xing
突然,tu'ran
弯头,wan'tou
无计划停煤,wu'ji'hua'ting'mei
无异常状态,wu'yi'chang'zhuang'tai
洗炉,xi'lu
洗炉料,xi'lu'liao
下降,xia'jiang
小盖,xiao'gai
休风,xiu'feng
悬料,xuan'liao
压产,ya'chan
压缩空气,ya'suo'kong'qi
烟道阀,yan'dao'fa
严重损坏,yan'zhong'sun'huai
冶炼强度,ye'lian'qiang'du
冶炼要求,ye'lian'yao'qiu
液态渣铁,ye'tai'zha'tie
仪表,yi'biao
一层平台,yi'ceng'ping'tai
萤石,ying'shi
涌渣,yong'zha
炸瘤,zha'liu
渣皮,zha'pi
渣皮脱落,zha'pi'tuo'luo
渣铁,zha'tie
蒸气,zheng'qi
蒸汽,zheng'qi
征兆,zheng'zhao
支撑作用,zhi'cheng'zuo'yong
直吹管烧穿,zhi'chui'guan'shao'chuan
质量差,zhi'liang'cha
中心温度,zhong'xin'wen'du
砖衬,zhuan'chen
专人,zhuan'ren
装料制度,zhuang'liao'zhi'du
酌情,zhuo'qing
自动测量,zi'dong'ce'liang
自动调节,zi'dong'tiao'jie
总焦比,zong'jiao'bi
组织更换,zu'zhi'geng'huan
