阿婆,a'po
阿也,a'ye
騃痴,ai'chi
挨次,ai'ci
挨次得死,ai'ci'de'si
爱答不理,ai'da'bu'li
挨得死,ai'de'si
娭毑,ai'jie
爱理不理,ai'li'bu'li
碍难,ai'nan
碍事,ai'shi
爱相,ai'xiang
碍眼,ai'yan
暗门子,an'men'zi
埯子,an'zi
熬不得夜,ao'bu'de'ye
熬实,ao'shi
傲腿,ao'tui
巴不得,ba'bu'de
霸缸,ba'gang
八卦人家的事情,ba'gua'ren'jia'de'shi'qing
拔火罐,ba'huo'guan
八家湾村,ba'jia'wan'cun
拔尖,ba'jian
八角溪村,ba'jiao'xi'cun
巴了锅了,ba'le'guo'le
霸蛮,ba'man
霸脑壳,ba'nao'ke
八石村,ba'shi'cun
坝塘村,ba'tang'cun
坝塘社区,ba'tang'she'qu
把兄弟,ba'xiong'di
八一社区,ba'yi'she'qu
八月日头追着晒,ba'yue'ri'tou'zhui'zhe'shai
拜把子,bai'ba'zi
白菜帮子,bai'cai'bang'zi
白花村,bai'hua'cun
白龙村,bai'long'cun
白马村,bai'ma'cun
白马桥,bai'ma'qiao
拜你所赐,bai'ni'suo'ci
拜年,bai'nian
白日梦,bai'ri'meng
白师傅,bai'shi'fu
摆摊子,bai'tan'zi
白洋村,bai'yang'cun
白玉村,bai'yu'cun
白云新村,bai'yun'xin'cun
扮矮,ban'ai
拌菜,ban'cai
板车子,ban'che'zi
绊哒脑壳,ban'da'nao'ke
半吊子,ban'diao'zi
搬谷,ban'gu
拌禾,ban'he
绊坏哒,ban'huai'da
扳机,ban'ji
扮俏,ban'qiao
扮式样,ban'shi'yang
扳手,ban'shou
板牙,ban'ya
半夜不怕鬼敲门,ban'ye'bu'pa'gui'qiao'men
板油,ban'you
拌嘴,ban'zui
帮倒忙,bang'dao'mang
帮人帮到底送佛送到西,bang'ren'bang'dao'di'song'fo'song'dao'xi
保安村,bao'an'cun
报废,bao'fei
宝里宝气,bao'li'bao'qi
宝妹子,bao'mei'zi
暴脑壳,bao'nao'ke
宝气,bao'qi
宝云村,bao'yun'cun
背带子,bei'dai'zi
背黑锅,bei'hei'guo
背篓,bei'lou
被褥,bei'ru
背时,bei'shi
背运,bei'yun
彼此彼此,bi'ci'bi'ci
秕谷子,bi'gu'zi
避孕套,bi'yun'tao
扁你,bian'ni
别针,bie'zhen
别嘴硬,bie'zui'ying
滨江新外滩,bin'jiang'xin'wai'tan
伯伯起大屋麻雀住现屋,bo'bo'qi'da'wu'ma'que'zhu'xian'wu
簸箕,bo'ji
伯外婆,bo'wai'po
跛子,bo'zi
伯祖,bo'zu
伯祖母,bo'zu'mu
不睬你,bu'cai'ni
不齿你,bu'chi'ni
不此人,bu'ci'ren
不带爱相,bu'dai'ai'xiang
不得不,bu'de'bu
不得了,bu'de'liao
不对劲,bu'dui'jin
不罕颠,bu'han'dian
不焊定,bu'han'ding
不会看的看热闹,bu'hui'kan'de'kan're'nao
不济事,bu'ji'shi
不见得,bu'jian'de
不下手,bu'xia'shou
不晓得,bu'xiao'de
不秀气,bu'xiu'qi
不至于,bu'zhi'yu
不做声,bu'zuo'sheng
擦黑,ca'hei
蔡佳勇,cai'jia'yong
菜篮子,cai'lan'zi
菜土,cai'tu
踩一脚,cai'yi'jiao
草冲,cao'chong
草冲村,cao'chong'cun
糙米,cao'mi
操你妈,cao'ni'ma
操神,cao'shen
策得死,ce'de'si
策神,ce'shen
策粟壳,ce'su'ke
曾丽思,ceng'li'si
曾练,ceng'lian
曾孝武,ceng'xiao'wu
插菜麻公,cha'cai'ma'gong
茶匙,cha'chi
插杠,cha'gang
叉胡子,cha'hu'zi
插花村,cha'hua'cun
插田,cha'tian
茶亭寺村,cha'ting'si'cun
叉腰,cha'yao
差之毫厘谬以千里,cha'zhi'hao'li'miu'yi'qian'li
槎梓桥村,cha'zi'qiao'cun
掺假,chan'jia
缠绕茎,chan'rao'jing
长冲村,chang'chong'cun
唱调子,chang'diao'zi
长丰村,chang'feng'cun
长联村,chang'lian'cun
常青村,chang'qing'cun
长盛村,chang'sheng'cun
菖丝村,chang'si'cun
长田村,chang'tian'cun
长新村,chang'xin'cun
长兴村,chang'xing'cun
炒地皮,chao'di'pi
扯后腿,che'hou'tui
扯谎,che'huang
扯谈,che'tan
陈灿,chen'can
陈谷子烂芝麻,chen'gu'zi'lan'zhi'ma
陈家桥村,chen'jia'qiao'cun
陈乐,chen'le
陈明,chen'ming
陈伟,chen'wei
陈文茜,chen'wen'qian
陈喜兰,chen'xi'lan
陈小方,chen'xiao'fang
陈珍,chen'zhen
成功塘,cheng'gong'tang
成功塘村,cheng'gong'tang'cun
城郊乡,cheng'jiao'xiang
称一称自己几斤几两,cheng'yi'cheng'zi'ji'ji'jin'ji'liang
翅膀太硬了,chi'bang'tai'ying'le
吃饱了撑着,chi'bao'le'cheng'zhe
赤膊,chi'bo
吃不了兜着走,chi'bu'liao'dou'zhe'zou
痴呆越享痴呆福,chi'dai'yue'xiang'chi'dai'fu
吃得消,chi'de'xiao
吃荤,chi'hun
赤脚板,chi'jiao'ban
