哎耶,ai'ye
安源,an'yuan
安源区,an'yuan'qu
安源中学,an'yuan'zhong'xue
芭芭拉,ba'ba'la
八景,ba'jing
白源,bai'yuan
拌粉,ban'fen
扁平疣,bian'ping'you
不得和,bu'de'he
不得完,bu'de'wan
不好干嘛,bu'hao'gan'ma
不好撒,bu'hao'sa
不好样,bu'hao'yang
不好怎么,bu'hao'zen'me
不好怎么说,bu'hao'zen'me'shuo
不肯我,bu'ken'wo
长平,chang'ping
吃了饭吗,chi'le'fan'ma
赤山,chi'shan
赤西仁,chi'xi'ren
丑货,chou'huo
凑么,cou'me
打瞌睡了,da'ke'shui'le
到萍乡,dao'ping'xiang
登岸,deng'an
等几,deng'ji
颠婆子,dian'po'zi
东方巴黎,dong'fang'ba'li
东源,dong'yuan
杜荣林,du'rong'lin
多几,duo'ji
鹅湖,e'hu
鹅湖公园,e'hu'gong'yuan
发耶,fa'ye
坊楼,fang'lou
菲特尼斯,fei'te'ni'si
丰城,feng'cheng
富丽大厦,fu'li'da'sha
干豆,gan'dou
高安,gao'an
高坑,gao'keng
高咋个,gao'za'ge
搞砸里,gao'za'li
高专,gao'zhuan
个不是,ge'bu'shi
滚之,gun'zhi
还占,hai'zhan
好够,hao'gou
好喂,hao'wei
花蝴蝶,hua'hu'die
欢乐基,huan'le'ji
回萍乡,hui'ping'xiang
吉安县,ji'an'xian
积德,ji'de
几多几,ji'duo'ji
鸡冠山,ji'guan'shan
几时几,ji'shi'ji
家不,jia'bu
江西萍乡,jiang'xi'ping'xiang
叫班,jiao'ban
金山角,jin'shan'jiao
凯旋会,kai'xuan'hui
看的去,kan'de'qu
瞌困,ke'kun
肯不要,ken'bu'yao
来不赢,lai'bu'ying
来萍乡,lai'ping'xiang
蓝波湾,lan'bo'wan
累死去,lei'si'qu
莲花县,lian'hua'xian
芦溪,lu'xi
芦溪县,lu'xi'xian
芦溪中学,lu'xi'zhong'xue
芦中,lu'zhong
卵吧,luan'ba
绿豆稀,lv'dou'xi
麻山,ma'shan
蚂蚱别,ma'zha'bie
蛮女,man'nv
毛带,mao'dai
毛家湾,mao'jia'wan
么气,me'qi
妹几,mei'ji
煤校,mei'xiao
米粉肉,mi'fen'rou
明月山,ming'yue'shan
魔气,mo'qi
乃古,nai'gu
乃几,nai'ji
南百,nan'bai
南昌百货,nan'chang'bai'huo
南昌县,nan'chang'xian
南坑,nan'keng
男子人,nan'zi'ren
你哟里,ni'yo'li
女几,nv'ji
彭高,peng'gao
萍钢,ping'gang
萍矿,ping'kuang
萍实,ping'shi
萍师附小,ping'shi'fu'xiao
萍水,ping'shui
萍水河,ping'shui'he
萍乡,ping'xiang
萍乡的,ping'xiang'de
萍乡电影院,ping'xiang'dian'ying'yuan
萍乡话,ping'xiang'hua
萍乡了,ping'xiang'le
萍乡人,ping'xiang'ren
萍乡市,ping'xiang'shi
萍乡中学,ping'xiang'zhong'xue
萍中,ping'zhong
婆娘人,po'niang'ren
起来里,qi'lai'li
恰不消,qia'bu'xiao
秋收起义,qiu'shou'qi'yi
去萍乡,qu'ping'xiang
泉江,quan'jiang
泉塘,quan'tang
热死去,re'si'qu
塞纳名城,sai'na'ming'cheng
啥里,sha'li
上埠,shang'bu
上栗,shang'li
上栗县,shang'li'xian
上栗中学,shang'li'zhong'xue
守店,shou'dian
四季花城,si'ji'hua'cheng
塔克堡,ta'ke'bao
天堂湖,tian'tang'hu
桐木,tong'mu
万龙山,wan'long'shan
万龙湾,wan'long'wan
我打瞌睡,wo'da'ke'shui
我在萍乡,wo'zai'ping'xiang
武功山,wu'gong'shan
下埠,xia'bu
峡山口,xia'shan'kou
硖石,xia'shi
湘东,xiang'dong
湘东区,xiang'dong'qu
湘东中学,xiang'dong'zhong'xue
香溪美林,xiang'xi'mei'lin
晓得里,xiao'de'li
晓得么,xiao'de'me
小乃,xiao'nai
歇到,xie'dao
写礼,xie'li
新农村,xin'nong'cun
新泉,xin'quan
宣风,xuan'feng
学样,xue'yang
呀几,ya'ji
样个,yang'ge
杨兰艳,yang'lan'yan
杨岐,yang'qi
夜不,ye'bu
一般几,yi'ban'ji
宜春,yi'chun
宜春的,yi'chun'de
宜春了,yi'chun'le
宜春市,yi'chun'shi
宜春学院,yi'chun'xue'yuan
一扎,yi'zha
哟里,yo'li
优岛,you'dao
优岛网,you'dao'wang
有魔,you'mo
有痛,you'tong
有歇,you'xie
玉湖,yu'hu
鱼几,yu'ji
袁州,yuan'zhou
袁州区,yuan'zhou'qu
咋里,za'li
在冒,zai'mao
在乃里,zai'nai'li
在萍乡,zai'ping'xiang
在宜春,zai'yi'chun
真个是,zhen'ge'shi
只不要,zhi'bu'yao
作呕,zuo'ou
