暗裥袋,an'jian'dai
巴厘纱,ba'li'sha
摆衩,bai'cha
摆缝,bai'feng
摆缝拷边,bai'feng'kao'bian
百褶裙,bai'zhe'qun
半朴,ban'pu
包缝边宽,bao'feng'bian'kuan
包烫门里襟,bao'tang'men'li'jin
包烫小领并划线,bao'tang'xiao'ling'bing'hua'xian
背衩,bei'cha
背衩搭叠过,bei'cha'da'die'guo
背衩豁开,bei'cha'huo'kai
背缝,bei'feng
背开衩,bei'kai'cha
背心,bei'xin
背中缝,bei'zhong'feng
比肩,bi'jian
蝙蝠袖,bian'fu'xiu
边缘缺棉,bian'yuan'que'mian
驳口,bo'kou
驳口不直,bo'kou'bu'zhi
驳头川,bo'tou'chuan
驳头反翘,bo'tou'fan'qiao
驳头起皱,bo'tou'qi'zhou
驳头外口紧,bo'tou'wai'kou'jin
驳头外口松,bo'tou'wai'kou'song
不倒绒,bu'dao'rong
彩条汗布,cai'tiao'han'bu
侧摆衩,ce'bai'cha
侧缝,ce'feng
插袋,cha'dai
长裤,chang'ku
长裙,chang'qun
朝服,chao'fu
衬衫,chen'shan
衬衫领,chen'shan'ling
衬衫袖,chen'shan'xiu
衬衫袖口,chen'shan'xiu'kou
尺码不符,chi'ma'bu'fu
尺码号,chi'ma'hao
串口,chuan'kou
串口不直,chuan'kou'bu'zhi
垂摆,chui'bai
纯棉,chun'mian
春亚纺,chun'ya'fang
粗花呢,cu'hua'ni
粗平布,cu'ping'bu
大带,da'dai
大底襟,da'di'jin
打号位置,da'hao'wei'zhi
大襟,da'jin
大襟里,da'jin'li
搭门,da'men
大腿围,da'tui'wei
大袖,da'xiu
袋布,dai'bu
袋唇,dai'chun
袋盖,dai'gai
袋盖不直,dai'gai'bu'zhi
袋盖反翘,dai'gai'fan'qiao
袋盖反吐,dai'gai'fan'tu
袋盖压双线,dai'gai'ya'shuang'xian
袋盖压线,dai'gai'ya'xian
袋口角起皱,dai'kou'jiao'qi'zhou
袋口裂,dai'kou'lie
袋爿袋,dai'pan'dai
袋贴,dai'tie
担干,dan'gan
单耗,dan'hao
单排扣,dan'pai'kou
单嵌线袋,dan'qian'xian'dai
裆缝断线,dang'feng'duan'xian
刀背缝,dao'bei'feng
倒挂领,dao'gua'ling
倒毛,dao'mao
灯笼袖,deng'long'xiu
底边,di'bian
底边起,di'bian'qi
底襟宽,di'jin'kuan
底领,di'ling
底领里起皱,di'ling'li'qi'zhou
底领伸出,di'ling'shen'chu
底领缩进,di'ling'suo'jin
底领外露,di'ling'wai'lu
底上线不合,di'shang'xian'bu'he
涤塔夫,di'ta'fu
钿钗礼衣,dian'chai'li'yi
靛蓝青年布,dian'lan'qing'nian'bu
貂蝉冠,diao'chan'guan
吊带,diao'dai
吊袋,diao'dai
吊带衫,diao'dai'shan
吊脚,diao'jiao
吊袢,diao'pan
蹀躞带,die'xie'dai
订袋盖,ding'dai'gai
订栋缝立体袋,ding'dong'feng'li'ti'dai
订后袋,ding'hou'dai
订口袋,ding'kou'dai
订裤袢,ding'ku'pan
订洗唛,ding'xi'mai
