鞍山路口,an'shan'lu'kou
鞍山寨路口,an'shan'zhai'lu'kou
八步街道办事处,ba'bu'jie'dao'ban'shi'chu
八步区街道办事处,ba'bu'qu'jie'dao'ban'shi'chu
八步一中,ba'bu'yi'zhong
八小,ba'xiao
白家寨,bai'jia'zhai
白家寨路口,bai'jia'zhai'lu'kou
车管所,che'guan'suo
车站宿舍,che'zhan'su'she
城西客运站,cheng'xi'ke'yun'zhan
大修厂,da'xiu'chang
担杆岭,dan'gan'ling
担石村,dan'shi'cun
党校,dang'xiao
道石,dao'shi
道西路口,dao'xi'lu'kou
地氮宿舍,di'dan'su'she
地税局,di'shui'ju
电机汽车城,dian'ji'qi'che'cheng
鹅塘路口,e'tang'lu'kou
鹅塘政府,e'tang'zheng'fu
二机厂,er'ji'chang
二级路口,er'ji'lu'kou
法院,fa'yuan
芳林,fang'lin
芳林初中路口,fang'lin'chu'zhong'lu'kou
芳林高中路口,fang'lin'gao'zhong'lu'kou
芳林中学路口,fang'lin'zhong'xue'lu'kou
凤尾岭,feng'wei'ling
富亮大厦,fu'liang'da'sha
供电公司,gong'dian'gong'si
公交大厦,gong'jiao'da'sha
公交公司,gong'jiao'gong'si
工贸,gong'mao
工贸大厦,gong'mao'da'sha
广济医院,guang'ji'yi'yuan
广济医院路口,guang'ji'yi'yuan'lu'kou
光明街,guang'ming'jie
桂东电力,gui'dong'dian'li
桂梧高中,gui'wu'gao'zhong
桂梧中学,gui'wu'zhong'xue
国际大酒店,guo'ji'da'jiu'dian
国际酒店,guo'ji'jiu'dian
蛤蟆井,ha'ma'jing
贺达纸业,he'da'zhi'ye
贺江中学,he'jiang'zhong'xue
贺纸生活区,he'zhi'sheng'huo'qu
贺州学院,he'zhou'xue'yuan
贺州学院东校区,he'zhou'xue'yuan'dong'xiao'qu
贺州学院西区,he'zhou'xue'yuan'xi'qu
恒兴花园,heng'xing'hua'yuan
湖广大市场,hu'guang'da'shi'chang
湖洋坝,hu'yang'ba
环城路口,huan'cheng'lu'kou
黄田,huang'tian
黄田初级中学,huang'tian'chu'ji'zhong'xue
黄田初中学,huang'tian'chu'zhong'xue
黄田加油站,huang'tian'jia'you'zhan
黄田医院,huang'tian'yi'yuan
火车站,huo'che'zhan
火车站路口,huo'che'zhan'lu'kou
稽征所,ji'zheng'suo
加油站,jia'you'zhan
建行,jian'hang
建设银行,jian'she'yin'hang
将军山,jiang'jun'shan
教育局,jiao'yu'ju
街道办事处,jie'dao'ban'shi'chu
金湖加油站,jin'hu'jia'you'zhan
金旗市场,jin'qi'shi'chang
警察学校,jing'cha'xue'xiao
军分区,jun'fen'qu
客运中心,ke'yun'zhong'xin
客运中心路口,ke'yun'zhong'xin'lu'kou
老黄田路口,lao'huang'tian'lu'kou
里宁路口,li'ning'lu'kou
利源酒店,li'yuan'jiu'dian
莲塘,lian'tang
莲塘一中,lian'tang'yi'zhong
凉亭,liang'ting
林业局,lin'ye'ju
灵峰广场,ling'feng'guang'chang
灵峰药业,ling'feng'yao'ye
六路大圆盘,liu'lu'da'yuan'pan
六路加油站,liu'lu'jia'you'zhan
六路圆盘,liu'lu'yuan'pan
龙井村,long'jing'cun
龙山路口,long'shan'lu'kou
卢屋路口,lu'wu'lu'kou
萝卜滩,luo'bo'tan
马峰村,ma'feng'cun
马岭,ma'ling
马蹄塘,ma'ti'tang
美仪市场,mei'yi'shi'chang
庙敦,miao'dun
缪屋路口,miu'wu'lu'kou
摩托车市场,mo'tuo'che'shi'chang
木材市场,mu'cai'shi'chang
南粤家私,nan'yue'jia'si
农机校,nong'ji'xiao
农机学校,nong'ji'xue'xiao
农科站,nong'ke'zhan
农药厂宿舍,nong'yao'chang'su'she
平安西路中,ping'an'xi'lu'zhong
平桂,ping'gui
平桂高中,ping'gui'gao'zhong
汽车总站,qi'che'zong'zhan
奇石市场,qi'shi'shi'chang
清水寨,qing'shui'zhai
区财政小区,qu'cai'zheng'xiao'qu
仁村寨,ren'cun'zhai
荣顺医院,rong'shun'yi'yuan
如凤寨,ru'feng'zhai
三加大队,san'jia'da'dui
沙田,sha'tian
市党校,shi'dang'xiao
市公安局,shi'gong'an'ju
市交通局,shi'jiao'tong'ju
市警校,shi'jing'xiao
石凉亭,shi'liang'ting
师山路口,shi'shan'lu'kou
市水电局,shi'shui'dian'ju
市政府,shi'zheng'fu
市政府广场,shi'zheng'fu'guang'chang
水月宫公园,shui'yue'gong'gong'yuan
四小,si'xiao
穗丰大厦,sui'feng'da'sha
太白市场,tai'bai'shi'chang
糖厂路口,tang'chang'lu'kou
陶瓷厂,tao'ci'chang
体育中心,ti'yu'zhong'xin
田厂,tian'chang
添美食,tian'mei'shi
土城脚,tu'cheng'jiao
万顺车场,wan'shun'che'chang
卫监所,wei'jian'suo
西湾交警队路口,xi'wan'jiao'jing'dui'lu'kou
西站,xi'zhan
香港城,xiang'gang'cheng
香港购物城,xiang'gang'gou'wu'cheng
祥誉驾校,xiang'yu'jia'xiao
新村,xin'cun
新村街口,xin'cun'jie'kou
新华书店,xin'hua'shu'dian
新客运中心,xin'ke'yun'zhong'xin
新世纪大酒店,xin'shi'ji'da'jiu'dian
新寨,xin'zhai
星光化宿舍,xing'guang'hua'su'she
星光化宿舍区,xing'guang'hua'su'she'qu
行知中学路口,xing'zhi'zhong'xue'lu'kou
学院东区,xue'yuan'dong'qu
学院西区,xue'yuan'xi'qu
阳光市场,yang'guang'shi'chang
羊角山,yang'jiao'shan
羊角山路口,yang'jiao'shan'lu'kou
移动公司,yi'dong'gong'si
银洲山庄,yin'zhou'shan'zhuang
永丰宾馆,yong'feng'bin'guan
邮政大楼,you'zheng'da'lou
邮政大厦,you'zheng'da'sha
育才路口,yu'cai'lu'kou
职业教育中心,zhi'ye'jiao'yu'zhong'xin
中国银行,zhong'guo'yin'hang
中行,zhong'hang
中级法院,zhong'ji'fa'yuan
钟家寨,zhong'jia'zhai
中医院,zhong'yi'yuan
邹屋背,zou'wu'bei
