爱哭的毛毛虫,ai'ku'de'mao'mao'chong
白志迪,bai'zhi'di
背锅侠,bei'guo'xia
背锅侠李达康,bei'guo'xia'li'da'kang
部委处长,bu'wei'chu'zhang
蔡成功,cai'cheng'gong
蔡主席,cai'zhu'xi
柴城,chai'cheng
陈海,chen'hai
陈岩石,chen'yan'shi
程度,cheng'du
处长,chu'zhang
大风厂,da'feng'chang
大风服装厂,da'feng'fu'zhuang'chang
达康粉,da'kang'fen
达康书记,da'kang'shu'ji
当代反腐第一大剧,dang'dai'fan'fu'di'yi'da'ju
丁海峰,ding'hai'feng
丁义珍,ding'yi'zhen
杜伯仲,du'bo'zhong
反腐,fan'fu
反腐败,fan'fu'bai
反腐剧,fan'fu'ju
反腐题材,fan'fu'ti'cai
反腐最强音,fan'fu'zui'qiang'yin
反贪局长,fan'tan'ju'chang
反贪总局,fan'tan'zong'ju
范子文,fan'zi'wen
凤凰传奇影业,feng'huang'chuan'qi'ying'ye
冯雷,feng'lei
副市长,fu'shi'zhang
高检影视中心,gao'jian'ying'shi'zhong'xin
高小琴,gao'xiao'qin
高亚麟,gao'ya'lin
高育良,gao'yu'liang
高育民,gao'yu'min
公安局局长,gong'an'ju'ju'zhang
公安厅厅长,gong'an'ting'ting'zhang
工会主席,gong'hui'zhu'xi
公生明,gong'sheng'ming
官场傻白甜,guan'chang'sha'bai'tian
官场生态,guan'chang'sheng'tai
管理即是服务,guan'li'ji'shi'fu'wu
光明湖项目,guang'ming'hu'xiang'mu
汉东,han'dong
汉东省,han'dong'sheng
侯处长,hou'chu'zhang
侯局,hou'ju
侯亮平,hou'liang'ping
侯勇,hou'yong
胡静,hu'jing
湖南卫视,hu'nan'wei'shi
胡玉贵,hu'yu'gui
花斑虎,hua'ban'hu
花式点钞,hua'shi'dian'chao
黄俊鹏,huang'jun'peng
黄品沅,huang'pin'yuan
季昌明,ji'chang'ming
季检,ji'jian
季检察长,ji'jian'cha'zhang
纪帅,ji'shuai
检察官,jian'cha'guan
检察题材,jian'cha'ti'cai
检察长,jian'cha'zhang
江映蓉,jiang'ying'rong
解放军金盾影视中心,jie'fang'jun'jin'dun'ying'shi'zhong'xin
金鹰独播剧场,jin'ying'du'bo'ju'chang
京州,jing'zhou
京州市,jing'zhou'shi
阚犇犇,kan'ben'ben
阚快进,kan'kuai'jin
阚利尿,kan'li'niao
柯蓝,ke'lan
捞黑钱,lao'hei'qian
老戏骨,lao'xi'gu
李达康,li'da'kang
李光复,li'guang'fu
李建义,li'jian'yi
李路,li'lu
李学政,li'xue'zheng
廉生威,lian'sheng'wei
林华华,lin'hua'hua
刘新建,liu'xin'jian
陆毅,lu'yi
陆亦可,lu'yi'ke
秘书帮,mi'shu'bang
欧阳菁,ou'yang'jing
祁同伟,qi'tong'wei
前腐后继,qian'fu'hou'ji
群像大戏,qun'xiang'da'xi
然然,ran'ran
人民检察院影视中心,ren'min'jian'cha'yuan'ying'shi'zhong'xin
沙瑞金,sha'rui'jin
扇面点钞,shan'mian'dian'chao
姗姗,shan'shan
山水庄园,shan'shui'zhuang'yuan
涉案剧,she'an'ju
沈腾,shen'teng
沈腾二叔,shen'teng'er'shu
十九大献礼剧,shi'jiu'da'xian'li'ju
实力派,shi'li'pai
实力演员,shi'li'yan'yuan
市委书记,shi'wei'shu'ji
贪腐,tan'fu
贪腐分子,tan'fu'fen'zi
汤姆丁,tang'mu'ding
唐菀,tang'wan
陶慧敏,tao'hui'min
田国福,tian'guo'fu
天津嘉会,tian'jin'jia'hui
王馥真,wang'fu'zhen
王丽云,wang'li'yun
为人民服务,wei'ren'min'fu'wu
我是农民的儿子,wo'shi'nong'min'de'er'zi
吴刚,wu'gang
吴惠芳,wu'hui'fang
吴惠芬,wu'hui'fen
吴慧芬,wu'hui'fen
吴老师,wu'lao'shi
吴心仪,wu'xin'yi
肖钢玉,xiao'gang'yu
小官巨贪,xiao'guan'ju'tan
徐光宇,xu'guang'yu
许文广,xu'wen'guang
许亚军,xu'ya'jun
以人民的名义,yi'ren'min'de'ming'yi
易学习,yi'xue'xi
有权不能任性,you'quan'bu'neng'ren'xing
有权可以谋私,you'quan'ke'yi'mou'si
育良书记,yu'liang'shu'ji
岳秀清,yue'xiu'qing
翟万臣,zhai'wan'chen
张丰毅,zhang'feng'yi
张凯丽,zhang'kai'li
张树立,zhang'shu'li
张晞临,zhang'xi'lin
张志坚,zhang'zhi'jian
赵处长,zhao'chu'zhang
赵德汉,zhao'de'han
赵东来,zhao'dong'lai
赵立春,zhao'li'chun
赵瑞龙,zhao'rui'long
赵子琪,zhao'zi'qi
政法系,zheng'fa'xi
郑快进,zheng'kuai'jin
郑利尿,zheng'li'niao
郑胜利,zheng'sheng'li
郑西坡,zheng'xi'po
中国顶级政治剧标杆,zhong'guo'ding'ji'zheng'zhi'ju'biao'gan
中国农民那么倒霉,zhong'guo'nong'min'na'me'dao'mei
中国政治小说第一人,zhong'guo'zheng'zhi'xiao'shuo'di'yi'ren
钟小艾,zhong'xiao'ai
钟主任,zhong'zhu'ren
周梅森,zhou'mei'sen
周正,zhou'zheng
