按钮开关,an'niu'kai'guan
安全带,an'quan'dai
安全防护网,an'quan'fang'hu'wang
安全警示带,an'quan'jing'shi'dai
安全网,an'quan'wang
白油漆,bai'you'qi
抱箍,bao'gu
扁铁,bian'tie
变头,bian'tou
不锈钢开水器,bu'xiu'gang'kai'shui'qi
测量伞,ce'liang'san
测绳,ce'sheng
测探仪电瓶充电器,ce'tan'yi'dian'ping'chong'dian'qi
插座,cha'zuo
超声波探伤仪,chao'sheng'bo'tan'shang'yi
触发器,chu'fa'qi
处牙直通,chu'ya'zhi'tong
大车内胎,da'che'nei'tai
大小头,da'xiao'tou
刀片,dao'pian
镝灯灯泡,di'deng'deng'pao
电动门,dian'dong'men
电工刀,dian'gong'dao
电工防水胶布,dian'gong'fang'shui'jiao'bu
电工胶布,dian'gong'jiao'bu
电工小榔头,dian'gong'xiao'lang'tou
电缆,dian'lan
电缆抱箍,dian'lan'bao'gu
电缆剪,dian'lan'jian
电缆线,dian'lan'xian
电流互感器,dian'liu'hu'gan'qi
电源排座,dian'yuan'pai'zuo
电子秤,dian'zi'cheng
电子天平,dian'zi'tian'ping
断路器,duan'lu'qi
对讲机,dui'jiang'ji
对讲机电池,dui'jiang'ji'dian'chi
对讲机耳机,dui'jiang'ji'er'ji
对中杆,dui'zhong'gan
对中架,dui'zhong'jia
二锤,er'chui
二级配电柜,er'ji'pei'dian'gui
帆布手套,fan'bu'shou'tao
反光背心,fan'guang'bei'xin
反光警示条,fan'guang'jing'shi'tiao
防静电服,fang'jing'dian'fu
钢材水塔,gang'cai'shui'ta
钢卷尺,gang'juan'chi
钢丝管,gang'si'guan
钢丝钳,gang'si'qian
钢丝绳,gang'si'sheng
钢丝水管,gang'si'shui'guan
高压绝缘自粘带,gao'ya'jue'yuan'zi'zhan'dai
高压拉闸杆,gao'ya'la'zha'gan
高压试电笔,gao'ya'shi'dian'bi
工具包,gong'ju'bao
管码,guan'ma
国标电缆,guo'biao'dian'lan
国标卸扣,guo'biao'xie'kou
黑油漆,hei'you'qi
红油漆,hong'you'qi
灰刀,hui'dao
回力雨鞋,hui'li'yu'xie
混凝土搅拌机,hun'ning'tu'jiao'ban'ji
活动扳手,huo'dong'ban'shou
货架,huo'jia
计号笔,ji'hao'bi
记号笔,ji'hao'bi
棘轮扳手,ji'lun'ban'shou
急停开关,ji'ting'kai'guan
加压泵,jia'ya'beng
尖嘴钳,jian'zui'qian
尖嘴钳子,jian'zui'qian'zi
胶水,jiao'shui
角弯,jiao'wan
金属卤化灯,jin'shu'lu'hua'deng
金属卤化灯泡,jin'shu'lu'hua'deng'pao
警示带,jing'shi'dai
经纬仪电池,jing'wei'yi'dian'chi
救生圏,jiu'sheng'juan
救生圈,jiu'sheng'quan
救生绳,jiu'sheng'sheng
救生衣,jiu'sheng'yi
锯弓,ju'gong
锯条,ju'tiao
卷尺,juan'chi
绝缘手套,jue'yuan'shou'tao
绝缘鞋子,jue'yuan'xie'zi
军用水壶,jun'yong'shui'hu
卡簧钳,ka'huang'qian
开光总闸,kai'guang'zong'zha
开口扳手,kai'kou'ban'shou
开口铜鼻子,kai'kou'tong'bi'zi
空压机,kong'ya'ji
快速两用扳手,kuai'su'liang'yong'ban'shou
篮球架,lan'qiu'jia
榔头,lang'tou
力古,li'gu
力矩扳手,li'ju'ban'shou
链子锁,lian'zi'suo
量筒,liang'tong
螺栓,luo'shuan
螺丝刀,luo'si'dao
滤纸,lv'zhi
麻绳,ma'sheng
毛笔,mao'bi
美工刀,mei'gong'dao
梅花扳手,mei'hua'ban'shou
梅花起子,mei'hua'qi'zi
密目网,mi'mu'wang
秒表,miao'biao
灭火器,mie'huo'qi
灭火器箱,mie'huo'qi'xiang
墨镜,mo'jing
内六角扳手,nei'liu'jiao'ban'shou
内牙弯,nei'ya'wan
泥浆静切力计,ni'jiang'jing'qie'li'ji
泥浆三件套,ni'jiang'san'jian'tao
尼龙绳,ni'long'sheng
排笔,pai'bi
篷布,peng'bu
膨胀螺丝,peng'zhang'luo'si
皮尺,pi'chi
片状塞尺,pian'zhuang'sai'chi
漂浮救生绳,piao'fu'jiu'sheng'sheng
平口钳,ping'kou'qian
钳表大,qian'biao'da
潜水泵,qian'shui'beng
钳型表,qian'xing'biao
钳型万用表,qian'xing'wan'yong'biao
强光电筒,qiang'guang'dian'tong
强光手电筒,qiang'guang'shou'dian'tong
撬棍,qiao'gun
球伐,qiu'fa
全站仪充电器,quan'zhan'yi'chong'dian'qi
全站仪脚架,quan'zhan'yi'jiao'jia
热水管,re'shui'guan
人力三轮车,ren'li'san'lun'che
日本日井直吸泵,ri'ben'ri'jing'zhi'xi'beng
容量筒,rong'liang'tong
软管,ruan'guan
三叉,san'cha
三叉扳手,san'cha'ban'shou
三级配电箱,san'ji'pei'dian'xiang
三角套筒,san'jiao'tao'tong
三相四线电表,san'xiang'si'xian'dian'biao
砂筛,sha'shai
生料带,sheng'liao'dai
世达梅花扳手,shi'da'mei'hua'ban'shou
试电笔,shi'dian'bi
试模,shi'mo
食用水管,shi'yong'shui'guan
实用五金手册,shi'yong'wu'jin'shou'ce
试纸,shi'zhi
十字螺丝刀,shi'zi'luo'si'dao
