阿炳,a'bing
阿拉伯风格曲,a'la'bo'feng'ge'qu
阿勒曼舞曲,a'le'man'wu'qu
爱奥尼亚调式,ai'ao'ni'ya'diao'shi
哀悼的,ai'dao'de
埃尔加,ai'er'jia
艾夫斯,ai'fu'si
艾涅斯库,ai'nie'si'ku
奥尔夫,ao'er'fu
奥克冈,ao'ke'gang
奥涅格,ao'nie'ge
巴比特,ba'bi'te
八大锤,ba'da'chui
拔根芦柴花,ba'gen'lu'chai'hua
巴拉吉列夫,ba'la'ji'lie'fu
巴拉基列夫,ba'la'ji'lie'fu
八六拍,ba'liu'pai
巴洛克时期,ba'luo'ke'shi'qi
八三拍,ba'san'pai
霸王别姬,ba'wang'bie'ji
白诚仁,bai'cheng'ren
白登云,bai'deng'yun
白毛女,bai'mao'nv
百鸟引,bai'niao'yin
板胡,ban'hu
半减七和弦半音阶,ban'jian'qi'he'xian'ban'yin'jie
邦波蒂,bang'bo'di
梆子腔,bang'zi'qiang
保持音,bao'chi'yin
保持着的,bao'chi'zhe'de
鲍罗丁,bao'luo'ding
刨洋芋,bao'yang'yu
鲍元恺,bao'yuan'kai
悲怆的,bei'chuang'de
贝多芬,bei'duo'fen
贝尔格,bei'er'ge
倍减,bei'jian
倍减音程,bei'jian'yin'cheng
北京单弦,bei'jing'dan'xian
贝里奥,bei'li'ao
贝利尼,bei'li'ni
倍增,bei'zeng
倍增音程,bei'zeng'yin'cheng
倍重音,bei'zhong'yin
变格终止,bian'ge'zhong'zhi
变宫,bian'gong
变化半音,bian'hua'ban'yin
变化拍子,bian'hua'pai'zi
变化全音,bian'hua'quan'yin
变化音,bian'hua'yin
变化音程,bian'hua'yin'cheng
卞留念,bian'liu'nian
变速记号,bian'su'ji'hao
变音记号,bian'yin'ji'hao
变徵,bian'zhi
变奏曲,bian'zou'qu
卞祖善,bian'zu'shan
表情,biao'qing
表演,biao'yan
表演艺术,biao'yan'yi'shu
表演艺术家,biao'yan'yi'shu'jia
标准音,biao'zhun'yin
伯恩斯坦,bo'en'si'tan
博凯里尼,bo'kai'li'ni
勃拉姆斯,bo'la'mu'si
波音,bo'yin
布雷瓦尔,bu'lei'wa'er
布里顿,bu'li'dun
布列兹,bu'lie'zi
布鲁克纳,bu'lu'ke'na
布鲁斯音阶,bu'lu'si'yin'jie
不完满终止,bu'wan'man'zhong'zhi
不完全小节,bu'wan'quan'xiao'jie
不完全协和音程,bu'wan'quan'xie'he'yin'cheng
不稳定音程,bu'wen'ding'yin'cheng
不稳定音级,bu'wen'ding'yin'ji
不协和音程,bu'xie'he'yin'cheng
擦琴布,ca'qin'bu
蔡良玉,cai'liang'yu
猜调,cai'tiao
曹安和,cao'an'he
曹火星,cao'huo'xing
草原巡逻兵,cao'yuan'xun'luo'bing
茶花女,cha'hua'nv
柴可夫斯基,chai'ke'fu'si'ji
柴一,chai'yi
颤音,chan'yin
长坂坡,chang'ban'po
长笛,chang'di
长号,chang'hao
唱名,chang'ming
唱念做打舞,chang'nian'zuo'da'wu
唱腔,chang'qiang
长倚音,chang'yi'yin
长音重音,chang'yin'zhong'yin
潮剧,chao'ju
陈澄雄,chen'cheng'xiong
陈德霖,chen'de'lin
陈钢,chen'gang
陈培勋,chen'pei'xun
陈燮阳,chen'xie'yang
程长庚,cheng'chang'geng
程继先,cheng'ji'xian
程砚秋,cheng'yan'qiu
持续音,chi'xu'yin
重唱,chong'chang
崇高伟大的,chong'gao'wei'da'de
重奏,chong'zou
丑角,chou'jue
储望华,chu'wang'hua
船歌,chuan'ge
川剧,chuan'ju
传奇曲,chuan'qi'qu
创意曲,chuang'yi'qu
吹腔,chui'qiang
纯八度,chun'ba'du
春祭,chun'ji
春江花月夜,chun'jiang'hua'yue'ye
纯律,chun'lv
纯四度,chun'si'du
春台班,chun'tai'ban
纯五度,chun'wu'du
纯一度,chun'yi'du
纯音程,chun'yin'cheng
匆忙的,cong'mang'de
催赶的,cui'gan'de
大调类,da'diao'lei
大二度,da'er'du
大鼓,da'gu
大管,da'guan
大号,da'hao
打金枝,da'jin'zhi
达拉皮科拉,da'la'pi'ke'la
大六度,da'liu'du
大锣,da'luo
大吕,da'lv
大谱表,da'pu'biao
大七度,da'qi'du
大七和弦,da'qi'he'xian
大齐奏,da'qi'zou
大阮,da'ruan
大三度,da'san'du
大三和弦,da'san'he'xian
大提琴,da'ti'qin
大小七和弦,da'xiao'qi'he'xian
打严嵩,da'yan'song
大音程,da'yin'cheng
大音阶,da'yin'jie
打渔杀家,da'yu'sha'jia
打枣,da'zao
大字组,da'zi'zu
戴留斯,dai'liu'si
戴玉强,dai'yu'qiang
单纯分拍,dan'chun'fen'pai
单纯复拍子,dan'chun'fu'pai'zi
单纯音符,dan'chun'yin'fu
丹第,dan'di
单附点,dan'fu'dian
单符干,dan'fu'gan
单簧管,dan'huang'guan
旦角,dan'jue
单拍子,dan'pai'zi
单音程,dan'yin'cheng
单音音乐,dan'yin'yin'yue
挡马,dang'ma
导七和弦,dao'qi'he'xian
导音,dao'yin
倒影,dao'ying
德彪西,de'biao'xi
德累斯顿国立交响乐团,de'lei'si'dun'guo'li'jiao'xiang'yue'tuan
德沃夏克,de'wo'xia'ke
等和弦,deng'he'xian
等音,deng'yin
等音程,deng'yin'cheng
等音调,deng'yin'diao
第二交响曲,di'er'jiao'xiang'qu
第三潮流音乐,di'san'chao'liu'yin'yue
第三交响曲,di'san'jiao'xiang'qu
第四交响曲,di'si'jiao'xiang'qu
第五交响曲,di'wu'jiao'xiang'qu
第一交响曲,di'yi'jiao'xiang'qu
低音谱表,di'yin'pu'biao
低音谱号,di'yin'pu'hao
低音提琴,di'yin'ti'qin
笛子,di'zi
调号,diao'hao
调律,diao'lv
调式,diao'shi
调式和声,diao'shi'he'sheng
调式交替,diao'shi'jiao'ti
调式色彩,diao'shi'se'cai
调式音阶,diao'shi'yin'jie
调性,diao'xing
调性并置,diao'xing'bing'zhi
丁善德,ding'shan'de
定音鼓,ding'yin'gu
杜卡斯,du'ka'si
杜鸣心,du'ming'xin
杜兆植,du'zhao'zhi
短笛,duan'di
短断音,duan'duan'yin
短分弓,duan'fen'gong
短倚音,duan'yi'yin
断音记号,duan'yin'ji'hao
对称音阶,dui'chen'yin'jie
对等拍子,dui'deng'pai'zi
对花,dui'hua
对位,dui'wei
多曹尔,duo'cao'er
