白鬓,bai'bin
白发,bai'fa
白发斑斑,bai'fa'ban'ban
白发苍苍,bai'fa'cang'cang
白发如银,bai'fa'ru'yin
斑白,ban'bai
斑斑白发,ban'ban'bai'fa
辫儿,bian'er
辫子,bian'zi
辫子短粗,bian'zi'duan'cu
鬓发,bin'fa
鬓发斑白,bin'fa'ban'bai
鬓脚,bin'jiao
鬓角,bin'jiao
鬓角斑白,bin'jiao'ban'bai
鬓角花白,bin'jiao'hua'bai
鬓如银霜,bin'ru'yin'shuang
鬓若刀裁,bin'ruo'dao'cai
鬓若银霜,bin'ruo'yin'shuang
波浪发式,bo'lang'fa'shi
波浪起伏,bo'lang'qi'fu
波浪式,bo'lang'shi
长辫,chang'bian
长辫垂胸,chang'bian'chui'xiong
长发披肩,chang'fa'pi'jian
垂髫,chui'tiao
刺猬头,ci'wei'tou
粗硬,cu'ying
短辫,duan'bian
发白如银,fa'bai'ru'yin
发辫,fa'bian
发不遮顶,fa'bu'zhe'ding
发茬粗黑,fa'cha'cu'hei
发髻,fa'ji
发如乱麻,fa'ru'luan'ma
钢丝发,gang'si'fa
皓首白发,hao'shou'bai'fa
鹤发,he'fa
鹤发童颜,he'fa'tong'yan
黑鬓,hei'bin
黑发,hei'fa
黑发如云,hei'fa'ru'yun
黑色瀑布,hei'se'pu'bu
黑油油,hei'you'you
红颜银须,hong'yan'yin'xu
蝴蝶髻,hu'die'ji
鹄发,hu'fa
花白,hua'bai
华发,hua'fa
华发苍颜,hua'fa'cang'yan
灰白,hui'bai
金发,jin'fa
金发碧眼,jin'fa'bi'yan
卷发,juan'fa
卷毛发,juan'mao'fa
两鬓斑白,liang'bin'ban'bai
两鬓苍苍,liang'bin'cang'cang
两鬓染霜,liang'bin'ran'shuang
亮泽,liang'ze
刘海儿,liu'hai'er
乱发,luan'fa
乱蓬蓬,luan'peng'peng
绿鬓,lv'bin
绿发,lv'fa
马尾辫,ma'wei'bian
满头飞絮,man'tou'fei'xu
满头青丝,man'tou'qing'si
满头银发,man'tou'yin'fa
满头银丝,man'tou'yin'si
墨玉,mo'yu
奶毛,nai'mao
浓黑,nong'hei
浓密,nong'mi
浓密柔润,nong'mi'rou'run
盘桓髻,pan'huan'ji
庞眉皓发,pang'mei'hao'fa
蓬松,peng'song
蓬松卷发,peng'song'juan'fa
蓬松如云,peng'song'ru'yun
蓬松自然,peng'song'zi'ran
披肩长发,pi'jian'chang'fa
披肩发,pi'jian'fa
披肩散发,pi'jian'san'fa
披头散发,pi'tou'san'fa
齐耳短发,qi'er'duan'fa
齐眉刘海,qi'mei'liu'hai
青丝,qing'si
染霜,ran'shuang
茸茸短发,rong'rong'duan'fa
柔软,rou'ruan
柔软光洁,rou'ruan'guang'jie
深黑,shen'hei
丝丝白发,si'si'bai'fa
胎发,tai'fa
胎毛,tai'mao
烫发,tang'fa
头发,tou'fa
头发描写词,tou'fa'miao'xie'ci
头发浓密,tou'fa'nong'mi
头发蓬乱,tou'fa'peng'luan
头发稀疏,tou'fa'xi'shu
头髻,tou'ji
透亮,tou'liang
秃顶,tu'ding
乌鬓,wu'bin
乌发,wu'fa
乌黑,wu'hei
乌黑长发,wu'hei'chang'fa
乌黑光洁,wu'hei'guang'jie
乌黑光亮,wu'hei'guang'liang
乌亮,wu'liang
稀散,xi'san
稀疏,xi'shu
纤细长辫,xian'xi'chang'bian
小辫儿,xiao'bian'er
小平头,xiao'ping'tou
秀发柔美,xiu'fa'rou'mei
须发皆白,xu'fa'jie'bai
须发如银,xu'fa'ru'yin
须髯飘飘,xu'ran'piao'piao
宣发,xuan'fa
漩涡发式,xuan'wo'fa'shi
学生发,xue'sheng'fa
雅髻,ya'ji
羊角辫,yang'jiao'bian
一绺头发,yi'liu'tou'fa
银鬓,yin'bin
银发,yin'fa
银髯飘拂,yin'ran'piao'fu
银丝,yin'si
油亮,you'liang
油亮光洁,you'liang'guang'jie
圆圆发髻,yuan'yuan'fa'ji
云鬓,yun'bin
云髻,yun'ji
