阿尔必阶,a'er'bi'jie
阿尔必期,a'er'bi'qi
阿基坦阶,a'ji'tan'jie
阿基坦期,a'ji'tan'qi
阿林阶,a'lin'jie
阿林期,a'lin'qi
阿木山组,a'mu'shan'zu
阿普特阶,a'pu'te'jie
阿普特期,a'pu'te'qi
阿瑟尔阶,a'se'er'jie
阿瑟尔期,a'se'er'qi
阿山头组,a'shan'tou'zu
艾费尔阶,ai'fei'er'jie
艾费尔期,ai'fei'er'qi
埃洛石,ai'luo'shi
埃姆斯阶,ai'mu'si'jie
埃姆斯期,ai'mu'si'qi
埃唐日阶,ai'tang'ri'jie
埃唐日期,ai'tang'ri'qi
暗淡煤,an'dan'mei
安定组,an'ding'zu
安多矿,an'duo'kuang
安康矿,an'kang'kuang
暗煤,an'mei
安尼阶,an'ni'jie
安尼期,an'ni'qi
安全岛,an'quan'dao
暗色矿物,an'se'kuang'wu
暗色岩,an'se'yan
暗色指数,an'se'zhi'shu
安山岩,an'shan'yan
鞍山岩群,an'shan'yan'qun
鞍状脉,an'zhuang'mai
奥长石,ao'chang'shi
奥陶纪,ao'tao'ji
奥陶系,ao'tao'xi
凹凸接触,ao'tu'jie'chu
巴东组,ba'dong'zu
巴顿阶,ba'dun'jie
巴顿期,ba'dun'qi
灞河组,ba'he'zu
巴列姆阶,ba'lie'mu'jie
巴列姆期,ba'lie'mu'qi
八面体,ba'mian'ti
靶区优选,ba'qu'you'xuan
巴柔阶,ba'rou'jie
巴柔期,ba'rou'qi
巴通阶,ba'tong'jie
巴通期,ba'tong'qi
巴西试验,ba'xi'shi'yan
巴西双晶,ba'xi'shuang'jing
白垩,bai'e
白垩纪,bai'e'ji
白垩系,bai'e'xi
白岗岩,bai'gang'yan
白磷钙石,bai'lin'gai'shi
白榴石,bai'liu'shi
白榴岩,bai'liu'yan
白片岩,bai'pian'yan
白铅矿,bai'qian'kuang
白沙阶,bai'sha'jie
白沙期,bai'sha'qi
白沙组,bai'sha'zu
白钨矿,bai'wu'kuang
白杨河组,bai'yang'he'zu
白云母,bai'yun'mu
白云石,bai'yun'shi
白云石化,bai'yun'shi'hua
白云岩,bai'yun'yan
摆佐组,bai'zuo'zu
半暗煤,ban'an'mei
板垫作用,ban'dian'zuo'yong
板间地震,ban'jian'di'zhen
斑晶,ban'jing
