阿斯儿子,a'si'er'zi
阿斯儿子圣典,a'si'er'zi'sheng'dian
堡主,bao'zhu
堡主和卡尔,bao'zhu'he'ka'er
堡主舍,bao'zhu'she
帝国防卫军,di'guo'fang'wei'jun
帝国海军,di'guo'hai'jun
帝皇,di'huang
帝王,di'wang
皇帝,huang'di
皇帝陛下,huang'di'bi'xia
皇帝的儿子,huang'di'de'er'zi
皇帝的死亡天使,huang'di'de'si'wang'tian'shi
黄金王座,huang'jin'wang'zuo
黄金王座在上,huang'jin'wang'zuo'zai'shang
寂静修女,ji'jing'xiu'nv
极限战士,ji'xian'zhan'shi
极限战士第一连,ji'xian'zhan'shi'di'yi'lian
监察者,jian'cha'zhe
禁军,jin'jun
卡迪安,ka'di'an
卡尔,ka'er
卡舍津,ka'she'jin
狼王,lang'wang
黎曼鲁斯,li'man'lu'si
神皇,shen'huang
神圣地球,shen'sheng'di'qiu
圣典团,sheng'dian'tuan
他老人家说的才算,ta'lao'ren'jia'shuo'de'cai'suan
太空野狼,tai'kong'ye'lang
太空野狼十三连,tai'kong'ye'lang'shi'san'lian
为了皇帝,wei'le'huang'di
星际战士,xing'ji'zhan'shi
血天使,xue'tian'shi
长牙,zhang'ya
