阿古,a'gu
阿拉蕾,a'la'lei
阿乐,a'le
阿纳特,a'na'te
艾尔,ai'er
安妮,an'ni
奥古玛,ao'gu'ma
巴布鲁斯,ba'bu'lu'si
巴达克,ba'da'ke
巴达克之章,ba'da'ke'zhi'zhang
巴菲迪,ba'fei'di
巴里康,ba'li'kang
巴特,ba'te
巴兹尔,ba'zi'er
拜高安,bai'gao'an
贝比,bei'bi
贝尔盖莫,bei'er'gai'mo
贝吉塔,bei'ji'ta
贝吉特,bei'ji'te
北界王,bei'jie'wang
贝拉贝博士,bei'la'bei'bo'shi
比达,bi'da
碧黛,bi'dai
比迪丽,bi'di'li
碧儿,bi'er
毕菲迪,bi'fei'di
比克,bi'ke
比克大魔王,bi'ke'da'mo'wang
毕拉夫,bi'la'fu
比鲁斯,bi'lu'si
别把破坏当做享受,bie'ba'po'huai'dang'zuo'xiang'shou
波波,bo'bo
勃拉,bo'la
布尔玛,bu'er'ma
布拉,bu'la
布罗利,bu'luo'li
布萝莉,bu'luo'li
布玛,bu'ma
布欧,bu'ou
布帕,bu'pa
才可以保护我爱的人,cai'ke'yi'bao'hu'wo'ai'de'ren
猜拳,cai'quan
残像拳,can'xiang'quan
操气弹,cao'qi'dan
草秦,cao'qin
草尾毅,cao'wei'yi
超二,chao'er
超级号,chao'ji'hao
超级赛亚人,chao'ji'sai'ya'ren
超级赛亚人之二,chao'ji'sai'ya'ren'zhi'er
超级赛亚人之三,chao'ji'sai'ya'ren'zhi'san
超级赛亚人之神,chao'ji'sai'ya'ren'zhi'shen
超级一星龙,chao'ji'yi'xing'long
超三,chao'san
超神水,chao'shen'shui
超四,chao'si
超五,chao'wu
超一,chao'yi
程龙,cheng'long
创造之前是破坏,chuang'zao'zhi'qian'shi'po'huai
达尔,da'er
大界王,da'jie'wang
达雷斯,da'lei'si
达列斯,da'lie'si
丹巴林,dan'ba'lin
地球超级大决战,di'qiu'chao'ji'da'jue'zhan
笛子魔童,di'zi'mo'tong
懂得放弃是很重要的,dong'de'fang'qi'shi'hen'zhong'yao'de
动动波,dong'dong'bo
洞洞波,dong'dong'bo
东界王,dong'jie'wang
东界王神,dong'jie'wang'shen
杜拉格斯,du'la'ge'si
短笛,duan'di
多多利亚,duo'duo'li'ya
多拉姆,duo'la'mu
二次残影拳,er'ci'can'ying'quan
菲利,fei'li
弗利萨,fu'li'sa
弗利扎,fu'li'zha
高进博士,gao'jin'bo'shi
格罗博士,ge'luo'bo'shi
格瓦斯,ge'wa'si
给你十秒活的时间,gei'ni'shi'miao'huo'de'shi'jian
古川登志夫,gu'chuan'deng'zhi'fu
古拉,gu'la
古雷格利,gu'lei'ge'li
龟派气功,gui'pai'qi'gong
龟派气功波,gui'pai'qi'gong'bo
龟仙流,gui'xian'liu
龟仙人,gui'xian'ren
海龟,hai'gui
汉娜西亚,han'na'xi'ya
鹤弘美,he'hong'mei
河利布,he'li'bu
鹤仙人,he'xian'ren
黑空,hei'kong
黑悟空,hei'wu'kong
黑星龙珠,hei'xing'long'zhu
红绸军,hong'chou'jun
红缎带攻防战,hong'duan'dai'gong'fang'zhan
红缎带军,hong'duan'dai'jun
猴拳,hou'quan
花梨圣地,hua'li'sheng'di
花梨塔,hua'li'ta
怀特将军,huai'te'jiang'jun
基拉恩,ji'la'en
吉拉文,ji'la'wen
吉连,ji'lian
吉鲁,ji'lu
基纽,ji'niu
基纽特战队,ji'niu'te'zhan'dui
吉斯,ji'si
集英社,ji'ying'she
煎锅山,jian'guo'shan
饺子,jiao'zi
界王,jie'wang
界王拳,jie'wang'quan
界王神,jie'wang'shen
界王神剑,jie'wang'shen'jian
界王神凯伊,jie'wang'shen'kai'yi
筋斗云,jin'dou'yun
金吉,jin'ji
精神时光屋,jing'shen'shi'guang'wu
精神树,jing'shen'shu
卡卡罗特,ka'ka'luo'te
克林,ke'lin
克维拉,ke'wei'la
空气炮,kong'qi'pao
堀川亮,ku'chuan'liang
枯林,ku'lin
库鲁,ku'lu
拉帝兹,la'di'zi
拉蒂兹,la'di'zi
拉凡达,la'fan'da
拉姆,la'mu
兰琪,lan'qi
兰枝,lan'zhi
朗琪,lang'qi
老界王神,lao'jie'wang'shen
乐平,le'ping
雷基克,lei'ji'ke
利尔德,li'er'de
利库姆,li'ku'mu
六星龙,liu'xing'long
龙拳,long'quan
龙珠,long'zhu
龙珠剧场版,long'zhu'ju'chang'ban
龙珠战士,long'zhu'zhan'shi
路德,lu'de
乱世不需要神仙,luan'shi'bu'xu'yao'shen'xian
洛而,luo'er
玛卡丽塔,ma'ka'li'ta
玛朗,ma'lang
马斯鲁塔,ma'si'lu'ta
马西利特博士,ma'xi'li'te'bo'shi
迈向最强之道,mai'xiang'zui'qiang'zhi'dao
猫魔人,mao'mo'ren
猫仙人,mao'xian'ren
美莎,mei'sha
梅塔摩星人,mei'ta'mo'xing'ren
弥次郎兵卫,mi'ci'lang'bing'wei
米饭国武术大会,mi'fan'guo'wu'shu'da'hui
米鲁星,mi'lu'xing
迷你悟饭,mi'ni'wu'fan
弥太郎,mi'tai'lang
冥王,ming'wang
缪博士,miu'bo'shi
魔贯光杀炮,mo'guan'guang'sha'pao
魔光惯杀炮,mo'guang'guan'sha'pao
摩诃不思议大冒险,mo'he'bu'si'yi'da'mao'xian
魔人布欧,mo'ren'bu'ou
魔人欧布,mo'ren'ou'bu
魔闪光,mo'shan'guang
魔少年,mo'shao'nian
魔神城内的睡美人,mo'shen'cheng'nei'de'shui'mei'ren
莫斯可,mo'si'ke
那巴,na'ba
拿迪斯,na'di'si
那美克星,na'mei'ke'xing
南无,na'mo
南界王,nan'jie'wang
鸟山明,niao'shan'ming
牛魔王,niu'mo'wang
欧布,ou'bu
排骨饭,pai'gu'fan
胖布欧,pang'bu'ou
跑路神技,pao'lu'shen'ji
皮拉夫,pi'la'fu
破坏神,po'huai'shen
破坏神味美得,po'huai'shen'wei'mei'de
普尔,pu'er
普兰特,pu'lan'te
奇比特,qi'bi'te
齐尔德,qi'er'de
气功波,qi'gong'bo
气功炮,qi'gong'pao
七龙珠,qi'long'zhu
琪琪,qi'qi
七星龙,qi'xing'long
气元斩,qi'yuan'zhan
人造人,ren'zao'ren
人造人号,ren'zao'ren'hao
如意棒,ru'yi'bang
撒旦,sa'dan
撒旦先生,sa'dan'xian'sheng
赛高,sai'gao
赛亚人,sai'ya'ren
赛亚人灭绝计划,sai'ya'ren'mie'jue'ji'hua
三次残影拳,san'ci'can'ying'quan
沙鲁,sha'lu
沙鲁游戏,sha'lu'you'xi
沙五郎,sha'wu'lang
闪光炮,shan'guang'pao
蛇姬,she'ji
神龟冲击波,shen'gui'chong'ji'bo
神龙,shen'long
神龙传说,shen'long'chuan'shuo
生化布罗利,sheng'hua'bu'luo'li
十倍龟派气功波,shi'bei'gui'pai'qi'gong'bo
史古拉,shi'gu'la
时光机,shi'guang'ji
世界上最强的人,shi'jie'shang'zui'qiang'de'ren
蔬菜人,shu'cai'ren
水晶婆婆,shui'jing'po'po
瞬间移动,shun'jian'yi'dong
斯布比奇,si'bu'bi'qi
斯路,si'lu
四身拳,si'shen'quan
四星龙,si'xing'long
苏诺,su'nuo
孙悟饭,sun'wu'fan
孙悟空,sun'wu'kong
孙悟天,sun'wu'tian
塔布尔,ta'bu'er
太阳拳,tai'yang'quan
桃白白,tao'bai'bai
特兰克斯,te'lan'ke'si
特南克斯,te'nan'ke'si
天迪,tian'di
天地贯穿拳,tian'di'guan'chuan'quan
天津饭,tian'jin'fan
天京饭,tian'jing'fan
天空十字拳,tian'kong'shi'zi'quan
天神,tian'shen
天天,tian'tian
天下第一武道会,tian'xia'di'yi'wu'dao'hui
兔子老大,tu'zi'lao'da
托破,tuo'po
维黛儿,wei'dai'er
威洛博士,wei'luo'bo'shi
维络博士,wei'luo'bo'shi
我是要打倒你的人,wo'shi'yao'da'dao'ni'de'ren
悟饭,wu'fan
悟吉塔,wu'ji'ta
悟空,wu'kong
舞空术,wu'kong'shu
悟空之父,wu'kong'zhi'fu
乌龙,wu'long
乌帕,wu'pa
武泰斗,wu'tai'dou
悟天,wu'tian
悟天克斯,wu'tian'ke'si
武天老师,wu'tian'lao'shi
无闲,wu'xian
五星龙,wu'xing'long
西多拉,xi'duo'la
西界王,xi'jie'wang
希蕾丝,xi'lei'si
希鲁巴,xi'lu'ba
西尾大介,xi'wei'da'jie
仙豆,xian'dou
小方,xiao'fang
小芳,xiao'fang
小林,xiao'lin
小舞,xiao'wu
小吱吱,xiao'zhi'zhi
邪恶军团,xie'e'jun'tuan
邪念波,xie'nian'bo
新狼牙风风拳,xin'lang'ya'feng'feng'quan
雅德拉特星人,ya'de'la'te'xing'ren
亚姆,ya'mu
雅木茶,ya'mu'cha
亚其洛呗,ya'qi'luo'bei
野蛮人,ye'man'ren
野泽雅子,ye'ze'ya'zi
伊鲁,yi'lu
一星龙,yi'xing'long
勇气的证明,yong'qi'de'zheng'ming
由琳,you'lin
宇宙海贼,yu'zhou'hai'zei
怨念战士,yuan'nian'zhan'shi
元气弹,yuan'qi'dan
元气蛋,yuan'qi'dan
元气斩,yuan'qi'zhan
奘子,zang'zi
则卷阿拉蕾,ze'juan'a'la'lei
则卷宝瓜,ze'juan'bao'gua
则卷千兵卫,ze'juan'qian'bing'wei
扎马斯,zha'ma'si
占卜婆婆,zhan'bu'po'po
只有自己够强,zhi'you'zi'ji'gou'qiang
芝芝,zhi'zhi
重制版龙珠,zhong'zhi'ban'long'zhu
猪鹿蝶,zhu'lu'die
住友纪人,zhu'you'ji'ren
自己去平息,zi'ji'qu'ping'xi
自己挑起战争,zi'ji'tiao'qi'zhan'zheng
紫色忍者,zi'se'ren'zhe
最强对最强,zui'qiang'dui'zui'qiang
