岸岸,an'an
岸想,an'xiang
坳口,ao'kou
熬泥,ao'ni
扒蚬,ba'xian
白粉仔,bai'fen'zai
菠萝园,bo'luo'yuan
博头山,bo'tou'shan
才改,cai'gai
铲山,chan'shan
吃晚未,chi'wan'wei
吃宵夜,chi'xiao'ye
吃嘢吃,chi'ye'chi
打玻珠,da'bo'zhu
大大个,da'da'ge
打公仔,da'gong'zai
打交,da'jiao
打交仔,da'jiao'zai
大头狗,da'tou'gou
道老鼠,dao'lao'shu
等墟,deng'xu
等墟等过夜,deng'xu'deng'guo'ye
抵力,di'li
抵力个,di'li'ge
叼捏奶,diao'nie'nai
鄂爸,e'ba
鄂伯,e'bo
鄂哥,e'ge
鄂公,e'gong
恶鸡优,e'ji'you
鄂姐,e'jie
鄂妈,e'ma
鄂妹,e'mei
鹅乸饭,e'na'fan
鄂婆,e'po
鄂叔,e'shu
鄂屋,e'wu
犯仔佬,fan'zai'lao
费事理你,fei'shi'li'ni
粪六,fen'liu
粉皮,fen'pi
粪头堆,fen'tou'dui
夫娘乸,fu'niang'na
夫娘婆,fu'niang'po
戆出一床屎,gang'chu'yi'chuang'shi
戆到死去,gang'dao'si'qu
戆佬,gang'lao
戆妹,gang'mei
戆你住上树,gang'ni'zhu'shang'shu
戆婆,gang'po
戆仔,gang'zai
割禾,ge'he
蛤蚧,ge'jie
蛤乸,ge'na
拱爽个,gong'shuang'ge
公仔,gong'zai
狗雌,gou'ci
狗利仔,gou'li'zai
古两个嘢有路个,gu'liang'ge'ye'you'lu'ge
禾虾,he'xia
鸡斗,ji'dou
几靓,ji'liang
鸡项,ji'xiang
煎糍,jian'ci
煎糍仔,jian'ci'zai
剪头毛,jian'tou'mao
酒杯印,jiu'bei'yin
焗番薯,ju'fan'shu
看鹅,kan'e
看鹅仔,kan'e'zai
烂镬撑,lan'huo'cheng
烂仔,lan'zai
塱柄氹,lang'bing'dang
捞街,lao'jie
佬仔,lao'zai
雷公蛇,lei'gong'she
靓妹,liang'mei
靓仔,liang'zai
留鼻鱼,liu'bi'yu
妈仔,ma'zai
买豉油,mai'chi'you
买嘢,mai'ye
卖嘢,mai'ye
盲黎,mang'li
盲黎过狗,mang'li'guo'gou
妹记,mei'ji
妹仔,mei'zai
掹草,meng'cao
掹地豆,meng'di'dou
掹豆,meng'dou
你吃晚未,ni'chi'wan'wei
尿瓮,niao'weng
牛牯,niu'gu
牛乸,niu'na
牛叔,niu'shu
牛仔抄,niu'zai'chao
便宜柴煲烂镬,pian'yi'chai'bao'lan'huo
婆仔,po'zai
铺仔,pu'zai
青山戆佬院,qing'shan'gang'lao'yuan
去边试,qu'bian'shi
去等墟,qu'deng'xu
却个,que'ge
却屋,que'wu
收杂货,shou'za'huo
水瓮,shui'weng
汤都你,tang'dou'ni
剃头,ti'tou
天收,tian'shou
挖番薯,wa'fan'shu
王天,wang'tian
喂屎你,wei'shi'ni
无得闲理你,wu'de'xian'li'ni
无耳装,wu'er'zhuang
无恨你个,wu'hen'ni'ge
屋几,wu'ji
无捞你个,wu'lao'ni'ge
无天装,wu'tian'zhuang
无系,wu'xi
无系古样个,wu'xi'gu'yang'ge
系古样先,xi'gu'yang'xian
巷沟,xiang'gou
行公路,xing'gong'lu
行青,xing'qing
学个戆个样,xue'ge'gang'ge'yang
嘢吃,ye'chi
叶贴,ye'tie
阴功咯,yin'gong'ge
饮伢仔屎,yin'ya'zai'shi
有路个,you'lu'ge
有你住吃啦,you'ni'zhu'chi'la
芋头糕,yu'tou'gao
鱼眼忽,yu'yan'hu
杂货佬,za'huo'lao
灶忽,zao'hu
着衫,zhe'shan
猪肠碌,zhu'chang'lu
猪郎,zhu'lang
猪乸皮,zhu'na'pi
猪乸走水,zhu'na'zou'shui
猪尿氹,zhu'niao'dang
捉仔佬,zhuo'zai'lao
走山,zou'shan
做妈,zuo'ma
做咪古样个,zuo'mi'gu'yang'ge
