啊呀,a'ya
挨刀鬼,ai'dao'gui
挨点,ai'dian
挨骂,ai'ma
俺都快,an'dou'kuai
俺孩,an'hai
俺家,an'jia
俺家来,an'jia'lai
俺家有,an'jia'you
俺姐姐,an'jie'jie
俺老娘,an'lao'niang
俺妈,an'ma
俺奈,an'nai
安排安排,an'pai'an'pai
俺去,an'qu
俺有,an'you
俺这,an'zhe
熬点,ao'dian
熬点绿豆,ao'dian'lv'dou
凹函数,ao'han'shu
熬几锅,ao'ji'guo
熬姜汤,ao'jiang'tang
熬拉,ao'la
熬里,ao'li
熬上,ao'shang
熬夜,ao'ye
熬夜啊,ao'ye'a
八格牙路,ba'ge'ya'lu
白皮铁脸,bai'pi'tie'lian
扳啦,ban'la
崩娄,beng'lou
崩楼,beng'lou
扁食,bian'shi
脖项骨,bo'xiang'gu
不该照,bu'gai'zhao
不机米,bu'ji'mi
不劳儿,bu'lao'er
不占,bu'zhan
菜里,cai'li
草鸡,cao'ji
草鸡烦,cao'ji'fan
草鸡里不行,cao'ji'li'bu'xing
草鸡麻爬,cao'ji'ma'pa
潮落远远里,chao'luo'yuan'yuan'li
吃盘,chi'pan
吃甚来,chi'shen'lai
倒灶,dao'zao
倒灶鬼,dao'zao'gui
敌囊,di'nang
敌上,di'shang
滴手,di'shou
跌接,die'jie
跌老一厥,die'lao'yi'jue
跌里瓦,die'li'wa
跌六上,die'liu'shang
豆不,dou'bu
豆是囊,dou'shi'nang
恶硬,e'ying
恶硬里,e'ying'li
二不愣,er'bu'leng
二不楞,er'bu'leng
放毒里,fang'du'li
戈登,ge'deng
圪顶盖,ge'ding'gai
咯挤马眼,ge'ji'ma'yan
胳接上,ge'jie'shang
各揪,ge'jiu
各揪下,ge'jiu'xia
格溢,ge'yi
咯吱窝,ge'zhi'wo
鼓堆儿瓦沿,gu'dui'er'wa'yan
光头,guang'tou
光志亮,guang'zhi'liang
鬼头喝马,gui'tou'he'ma
果搓,guo'cuo
果搓嘛趴,guo'cuo'ma'pa
国搓麻眼,guo'cuo'ma'yan
埚洞,guo'dong
国抡钻,guo'lun'zuan
果洛,guo'luo
国牛,guo'niu
国牛里,guo'niu'li
国圈马趴,guo'quan'ma'pa
憨水,han'shui
河捞,he'lao
河捞床,he'lao'chuang
黑灯瞎火,hei'deng'xia'huo
黑地半夜,hei'di'ban'ye
宏鸿,hong'hong
宏亮,hong'liang
胡采,hu'cai
忽略郎当,hu'lue'lang'dang
胡撇,hu'pie
黄上,huang'shang
活略老腾,huo'lue'lao'teng
铰节节,jiao'jie'jie
浇臊面,jiao'sao'mian
接二片三,jie'er'pian'san
接三片二,jie'san'pian'er
解在点,jie'zai'dian
蹶蹬,jue'deng
客流,ke'liu
克是也,ke'shi'ye
克是也囊,ke'shi'ye'nang
磕头捣蒜,ke'tou'dao'suan
克咋,ke'za
口泼,kou'po
浪甚了,lang'shen'le
老恶硬,lao'e'ying
老门不尿你,lao'men'bu'niao'ni
唠窝草鸡,lao'wo'cao'ji
唠窝的草鸡,lao'wo'de'cao'ji
楞森,leng'sen
李华,li'hua
李静,li'jing
里瓦,li'wa
李雅琴,li'ya'qin
李云岗,li'yun'gang
李占江,li'zhan'jiang
凌旭红,ling'xu'hong
路宏鸿,lu'hong'hong
路西,lu'xi
路西把式,lu'xi'ba'shi
麻爬,ma'pa
么粘蛙,me'zhan'wa
迷瞪,mi'deng
闽咯逗,min'ge'dou
民民锅,min'min'guo
