暗娼,an'chang
包庇罪,bao'bi'zui
报复陷害罪,bao'fu'xian'hai'zui
暴力,bao'li
暴力干涉婚姻自由罪,bao'li'gan'she'hun'yin'zi'you'zui
爆炸罪,bao'zha'zui
背叛祖国罪,bei'pan'zu'guo'zui
逼供信,bi'gong'xin
逼奸,bi'jian
逼人自杀,bi'ren'zi'sha
变造公文证件印章罪,bian'zao'gong'wen'zheng'jian'yin'zhang'zui
变造国家货币,bian'zao'guo'jia'huo'bi
剥夺勋章奖章和荣誉称号,bo'duo'xun'zhang'jiang'zhang'he'rong'yu'cheng'hao
不纯正渎职罪,bu'chun'zheng'du'zhi'zui
不动产,bu'dong'chan
财产,cai'chan
参见罪状,can'jian'zui'zhuang
策动叛变罪,ce'dong'pan'bian'zui
策动叛乱罪,ce'dong'pan'luan'zui
策反,ce'fan
持械聚众叛乱罪,chi'xie'ju'zhong'pan'luan'zui
持有物,chi'you'wu
重婚罪,chong'hun'zui
处断刑,chu'duan'xing
传授犯罪方法罪,chuan'shou'fan'zui'fang'fa'zui
纯正渎职罪,chun'zheng'du'zhi'zui
从属关系,cong'shu'guan'xi
错告,cuo'gao
大脑机能停止活动说,da'nao'ji'neng'ting'zhi'huo'dong'shuo
盗伐林木罪,dao'fa'lin'mu'zui
倒卖计划供应票证罪,dao'mai'ji'hua'gong'ying'piao'zheng'zui
盗窃公文证件印章罪,dao'qie'gong'wen'zheng'jian'yin'zhang'zui
盗窃枪支弹药罪,dao'qie'qiang'zhi'dan'yao'zui
盗窃罪,dao'qie'zui
盗运珍贵文物出口罪,dao'yun'zhen'gui'wen'wu'chu'kou'zui
定期刑,ding'qi'xing
定着物,ding'zhe'wu
动产,dong'chan
赌博罪,du'bo'zui
赌棍,du'gun
独立呼吸说,du'li'hu'xi'shuo
独立燃烧说,du'li'ran'shao'shuo
毒品,du'pin
赌头,du'tou
渎职罪,du'zhi'zui
断带说,duan'dai'shuo
法定刑,fa'ding'xing
法定刑上限,fa'ding'xing'shang'xian
法定刑下限,fa'ding'xing'xia'xian
发声说,fa'sheng'shuo
反动会道门,fan'dong'hui'dao'men
反革命集团,fan'ge'ming'ji'tuan
反革命破坏罪,fan'ge'ming'po'huai'zui
反革命杀人罪,fan'ge'ming'sha'ren'zui
反革命伤人罪,fan'ge'ming'shang'ren'zui
反革命宣传煽动罪,fan'ge'ming'xuan'chuan'shan'dong'zui
反革命罪,fan'ge'ming'zui
贩卖毒品罪,fan'mai'du'pin'zui
贩卖假药罪,fan'mai'jia'yao'zui
贩卖淫书淫画罪,fan'mai'yin'shu'yin'hua'zui
贩私,fan'si
贩运伪造的国家货币罪,fan'yun'wei'zao'de'guo'jia'huo'bi'zui
妨害公务罪,fang'hai'gong'wu'zui
妨害婚姻家庭罪,fang'hai'hun'yin'jia'ting'zui
妨害社会管理秩序罪,fang'hai'she'hui'guan'li'zhi'xu'zui
妨害邮电通讯罪,fang'hai'you'dian'tong'xun'zui
放火罪,fang'huo'zui
诽谤罪,fei'bang'zui
非法剥夺宗教信仰自由罪,fei'fa'bo'duo'zong'jiao'xin'yang'zi'you'zui
非法捕捞水产品罪,fei'fa'bu'lao'shui'chan'pin'zui
非法管制罪,fei'fa'guan'zhi'zui
非法拘禁罪,fei'fa'ju'jin'zui
非法买卖枪支弹药罪,fei'fa'mai'mai'qiang'zhi'dan'yao'zui
非法侵入住宅罪,fei'fa'qin'ru'zhu'zhai'zui
非法狩猎罪,fei'fa'shou'lie'zui
非法搜查罪,fei'fa'sou'cha'zui
非法运输枪支弹药罪,fei'fa'yun'shu'qiang'zhi'dan'yao'zui
非法制造枪支弹药罪,fei'fa'zhi'zao'qiang'zhi'dan'yao'zui
废弃物,fei'qi'wu
概述,gai'shu
个人财产,ge'ren'cai'chan
公娼,gong'chang
公共财产,gong'gong'cai'chan
公共危险,gong'gong'wei'xian
公共秩序,gong'gong'zhi'xu
公然性,gong'ran'xing
公文证件印章,gong'wen'zheng'jian'yin'zhang
故意毁坏财物罪,gu'yi'hui'huai'cai'wu'zui
故意杀人罪,gu'yi'sha'ren'zui
故意伤害罪,gu'yi'shang'hai'zui
拐卖,guai'mai
拐卖人口罪,guai'mai'ren'kou'zui
拐骗儿童罪,guai'pian'er'tong'zui
惯骗,guan'pian
惯窃,guan'qie
国家机密,guo'jia'ji'mi
国境边境,guo'jing'bian'jing
过失爆炸罪,guo'shi'bao'zha'zui
过失决水罪,guo'shi'jue'shui'zui
过失破坏交通工具罪,guo'shi'po'huai'jiao'tong'gong'ju'zui
过失破坏交通设备罪,guo'shi'po'huai'jiao'tong'she'bei'zui
过失破坏通讯设备罪,guo'shi'po'huai'tong'xun'she'bei'zui
过失破坏易燃易爆设备罪,guo'shi'po'huai'yi'ran'yi'bao'she'bei'zui
过失杀人罪,guo'shi'sha'ren'zui
过失引起中毒罪,guo'shi'yin'qi'zhong'du'zui
过失重伤罪,guo'shi'zhong'shang'zui
黑市经济,hei'shi'jing'ji
呼吸终止说,hu'xi'zhong'zhi'shuo
贿赂物,hui'lu'wu
毁灭公文证件印章罪,hui'mie'gong'wen'zheng'jian'yin'zhang'zui
毁容,hui'rong
贿选,hui'xuan
积极贿赂,ji'ji'hui'lu
鸡奸,ji'jian
祭葬物,ji'zang'wu
假冒商标罪,jia'mao'shang'biao'zui
假冒专利罪,jia'mao'zhuan'li'zui
假药,jia'yao
简单罪状,jian'dan'zui'zhuang
间谍,jian'die
间谍罪,jian'die'zui
奸尸,jian'shi
奸淫,jian'yin
奸淫幼女罪,jian'yin'you'nv'zui
交通肇事罪,jiao'tong'zhao'shi'zui
教养关系,jiao'yang'guan'xi
界碑界桩,jie'bei'jie'zhuang
接触说,jie'chu'shuo
借迷信造谣罪,jie'mi'xin'zao'yao'zui
借迷信诈骗罪,jie'mi'xin'zha'pian'zui
介绍贿赂罪,jie'shao'hui'lu'zui
拒不执行判决裁定罪,ju'bu'zhi'xing'pan'jue'cai'ding'zui
居间牟利,ju'jian'mou'li
聚众,ju'zhong
聚众打砸抢罪,ju'zhong'da'za'qiang'zui
聚众斗殴,ju'zhong'dou'ou
聚众劫狱罪,ju'zhong'jie'yu'zui
聚众扰乱公共场所秩序罪,ju'zhong'rao'luan'gong'gong'chang'suo'zhi'xu'zui
聚众扰乱交通秩序罪,ju'zhong'rao'luan'jiao'tong'zhi'xu'zui
绝对不确定的法定刑,jue'dui'bu'que'ding'de'fa'ding'xing
绝对确定的法定刑,jue'dui'que'ding'de'fa'ding'xing
绝对宣告刑,jue'dui'xuan'gao'xing
决水罪,jue'shui'zui
军法,jun'fa
军法从严原则,jun'fa'cong'yan'yuan'ze
军内在编职工,jun'nei'zai'bian'zhi'gong
军人残害战区无辜居民罪,jun'ren'can'hai'zhan'qu'wu'gu'ju'min'zui
军人盗窃军用物资罪,jun'ren'dao'qie'jun'yong'wu'zi'zui
