暗合页,an'he'ye
按摩室,an'mo'shi
按摩浴缸,an'mo'yu'gang
按钮开关,an'niu'kai'guan
安全,an'quan
安全检查口,an'quan'jian'cha'kou
安全门,an'quan'men
安全区,an'quan'qu
安装,an'zhuang
暗装插座,an'zhuang'cha'zuo
吧凳,ba'deng
吧台,ba'tai
白炽灯,bai'chi'deng
白灰,bai'hui
白铁皮,bai'tie'pi
百叶,bai'ye
百叶窗,bai'ye'chuang
板,ban
板材,ban'cai
办公大堂,ban'gong'da'tang
办公建筑,ban'gong'jian'zhu
办公区,ban'gong'qu
办公桌,ban'gong'zhuo
半径,ban'jing
板式楼梯,ban'shi'lou'ti
棒球场,bang'qiu'chang
保安监控,bao'an'jian'kong
保安室,bao'an'shi
薄壁型钢,bao'bi'xing'gang
包房,bao'fang
保护层,bao'hu'ceng
包间,bao'jian
宝丽板,bao'li'ban
保龄球,bao'ling'qiu
保龄球厅,bao'ling'qiu'ting
保温层,bao'wen'ceng
备餐间,bei'can'jian
背景音乐,bei'jing'yin'yue
北立面,bei'li'mian
背立面,bei'li'mian
北配楼,bei'pei'lou
泵房,beng'fang
壁挂空调,bi'gua'kong'tiao
壁柜,bi'gui
避雷带,bi'lei'dai
避雷针,bi'lei'zhen
比例,bi'li
闭路电视,bi'lu'dian'shi
避难层,bi'nan'ceng
壁球室,bi'qiu'shi
壁纸,bi'zhi
变电室,bian'dian'shi
扁钢,bian'gang
变配电室,bian'pei'dian'shi
变形缝,bian'xing'feng
变压器,bian'ya'qi
变压器室,bian'ya'qi'shi
标高,biao'gao
标准层,biao'zhun'ceng
别墅,bie'shu
冰箱,bing'xiang
玻化砖,bo'hua'zhuan
玻璃钢,bo'li'gang
玻璃门,bo'li'men
玻璃棉,bo'li'mian
玻璃幕墙,bo'li'mu'qiang
玻璃纤维,bo'li'xian'wei
玻璃砖,bo'li'zhuan
布纹玻璃,bu'wen'bo'li
不锈钢扶手,bu'xiu'gang'fu'shou
不锈钢管,bu'xiu'gang'guan
布艺沙发,bu'yi'sha'fa
布置,bu'zhi
布置图,bu'zhi'tu
采光,cai'guang
材料,cai'liao
材料库,cai'liao'ku
材料做法,cai'liao'zuo'fa
采暖,cai'nuan
餐厅,can'ting
餐饮部,can'yin'bu
餐桌,can'zhuo
仓储,cang'chu
仓库,cang'ku
操场,cao'chang
槽钢,cao'gang
槽形板,cao'xing'ban
侧立面,ce'li'mian
厕所,ce'suo
茶室,cha'shi
场地,chang'di
常绿树,chang'lv'shu
厂前区,chang'qian'qu
厂区,chang'qu
长条硬木企口长条地板背面刷氟化钠防腐剂,chang'tiao'ying'mu'qi'kou'chang'tiao'di'ban'bei'mian'shua'fu'hua'na'fang'fu'ji
长条硬木企口地板背面刷氟化钠防腐剂,chang'tiao'ying'mu'qi'kou'di'ban'bei'mian'shua'fu'hua'na'fang'fu'ji
车道详图,che'dao'xiang'tu
车间,che'jian
车库,che'ku
车库出口,che'ku'chu'kou
车库入口,che'ku'ru'kou
车棚,che'peng
沉淀池,chen'dian'chi
成套设备,cheng'tao'she'bei
初步设计,chu'bu'she'ji
厨房,chu'fang
厨房大样,chu'fang'da'yang
橱柜,chu'gui
出口指示灯,chu'kou'zhi'shi'deng
出入口,chu'ru'kou
储物柜,chu'wu'gui
除油池,chu'you'chi
穿孔,chuan'kong
穿孔板,chuan'kong'ban
穿孔铝扣板,chuan'kong'lv'kou'ban
窗帘盒,chuang'lian'he
窗纱,chuang'sha
窗式空调,chuang'shi'kong'tiao
窗台,chuang'tai
窗套,chuang'tao
吹拔,chui'ba
垂花门,chui'hua'men
醇酸清漆,chun'suan'qing'qi
瓷砖,ci'zhuan
磁砖,ci'zhuan
大班台,da'ban'tai
大便槽,da'bian'cao
大理石,da'li'shi
大堂,da'tang
大堂经理,da'tang'jing'li
大堂上空,da'tang'shang'kong
大厅,da'ting
大芯板,da'xin'ban
大衣柜,da'yi'gui
打字桌,da'zi'zhuo
带蓖洗涤盆,dai'bi'xi'di'pen
单跑楼梯,dan'pao'lou'ti
单人床,dan'ren'chuang
单人沙发,dan'ren'sha'fa
弹涂墙面,dan'tu'qiang'mian
单相暗插座,dan'xiang'an'cha'zuo
单相三极暗插座,dan'xiang'san'ji'an'cha'zuo
单相三极插座,dan'xiang'san'ji'cha'zuo
弹药库,dan'yao'ku
单元放大平面,dan'yuan'fang'da'ping'mian
道路分仓图,dao'lu'fen'cang'tu
登机口,deng'ji'kou
地板,di'ban
底层平面,di'ceng'ping'mian
地插座,di'cha'zuo
地沟,di'gou
地基,di'ji
地基梁,di'ji'liang
地梁,di'liang
地面,di'mian
地面标高,di'mian'biao'gao
地坪,di'ping
地上部分,di'shang'bu'fen
地毯,di'tan
地下部分,di'xia'bu'fen
地下层平面,di'xia'ceng'ping'mian
地下车库出口,di'xia'che'ku'chu'kou
地下车库入口,di'xia'che'ku'ru'kou
地下室,di'xia'shi
地形,di'xing
低压配电,di'ya'pei'dian
低压配电柜,di'ya'pei'dian'gui
低压配电箱,di'ya'pei'dian'xiang
地砖,di'zhuan
电冰箱,dian'bing'xiang
垫层,dian'ceng
电动机,dian'dong'ji
电动门,dian'dong'men
电焊条,dian'han'tiao
电话插座,dian'hua'cha'zuo
电话间,dian'hua'jian
电话总机,dian'hua'zong'ji
电淋浴器,dian'lin'yu'qi
电铃,dian'ling
电脑台,dian'nao'tai
电热水器,dian're'shui'qi
点式玻璃,dian'shi'bo'li
点式支承,dian'shi'zhi'cheng
电梯,dian'ti
电梯机房平面,dian'ti'ji'fang'ping'mian
电梯间,dian'ti'jian
电梯厅,dian'ti'ting
电源开关,dian'yuan'kai'guan
电子游戏,dian'zi'you'xi
电子镇流器,dian'zi'zhen'liu'qi
吊灯,diao'deng
吊顶,diao'ding
吊柜,diao'gui
雕塑,diao'su
跌水井,die'shui'jing
顶层,ding'ceng
顶层平面,ding'ceng'ping'mian
顶棚,ding'peng
定时开关,ding'shi'kai'guan
东立面,dong'li'mian
东配楼,dong'pei'lou
董事长办公室,dong'shi'zhang'ban'gong'shi
镀锌铁皮,du'xin'tie'pi
断桥铝合金门窗,duan'qiao'lv'he'jin'men'chuang
端子箱,duan'zi'xiang
蹲便器,dun'bian'qi
墩布池,dun'bu'chi
蹲式大便器,dun'shi'da'bian'qi
剁斧石,duo'fu'shi
多功能厅,duo'gong'neng'ting
多乐士,duo'le'shi
多乐士漆,duo'le'shi'qi
二层平面,er'ceng'ping'mian
二段力,er'duan'li
二级钢,er'ji'gang
二毡三油,er'zhan'san'you
阀门井,fa'men'jing
发泡,fa'pao
发泡材料,fa'pao'cai'liao
发泡聚苯乙烯板,fa'pao'ju'ben'yi'xi'ban
翻板插座,fan'ban'cha'zuo
泛光灯,fan'guang'deng
泛水,fan'shui
方案设计,fang'an'she'ji
防爆,fang'bao
防潮,fang'chao
防潮层,fang'chao'ceng
防腐,fang'fu
防滑,fang'hua
防火,fang'huo
防火板,fang'huo'ban
防火分区平面,fang'huo'fen'qu'ping'mian
防火卷帘,fang'huo'juan'lian
防火门,fang'huo'men
防火墙,fang'huo'qiang
放气井,fang'qi'jing
防水,fang'shui
防水层,fang'shui'ceng
防水石膏板,fang'shui'shi'gao'ban
防水条,fang'shui'tiao
防锈漆,fang'xiu'qi
防烟楼梯,fang'yan'lou'ti
分布图,fen'bu'tu
分水线,fen'shui'xian
分体空调,fen'ti'kong'tiao
风机房,feng'ji'fang
风机盘管,feng'ji'pan'guan
风味餐厅,feng'wei'can'ting
浮法玻璃,fu'fa'bo'li
妇女卫生盆,fu'nv'wei'sheng'pen
服务台,fu'wu'tai
改建,gai'jian
改性沥青,gai'xing'li'qing
干衣机,gan'yi'ji
感应门,gan'ying'men
干硬性,gan'ying'xing
干粘石,gan'zhan'shi
钢板网,gang'ban'wang
钢窗,gang'chuang
钢管,gang'guan
钢轨,gang'gui
钢化玻璃,gang'hua'bo'li
钢结构,gang'jie'gou
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土叠合层或现浇钢筋混凝土楼板,gang'jin'hun'ning'tu'die'he'ceng'huo'xian'jiao'gang'jin'hun'ning'tu'lou'ban
钢筋混凝土楼板,gang'jin'hun'ning'tu'lou'ban
钢筋砼结构,gang'jin'tong'jie'gou
钢楼梯,gang'lou'ti
钢门,gang'men
钢木楼梯,gang'mu'lou'ti
钢丝网,gang'si'wang
刚性,gang'xing
高架空活动地板,gao'jia'kong'huo'dong'di'ban
高压开关柜,gao'ya'kai'guan'gui
隔断,ge'duan
隔离开关,ge'li'kai'guan
给水,gei'shui
给水管道,gei'shui'guan'dao
给水平面图,gei'shui'ping'mian'tu
给水系统图,gei'shui'xi'tong'tu
更衣室,geng'yi'shi
工程做法,gong'cheng'zuo'fa
公建,gong'jian
供暖,gong'nuan
供暖平面,gong'nuan'ping'mian
共享大厅,gong'xiang'da'ting
共享空间,gong'xiang'kong'jian
工字钢,gong'zi'gang
工作室,gong'zuo'shi
工作台,gong'zuo'tai
勾缝,gou'feng
构件,gou'jian
构造,gou'zao
固定窗,gu'ding'chuang
刮腻子,gua'ni'zi
挂式小便器,gua'shi'xiao'bian'qi
管道,guan'dao
管道层,guan'dao'ceng
管沟,guan'gou
盥洗槽,guan'xi'cao
观众厅,guan'zhong'ting
观众厅上空,guan'zhong'ting'shang'kong
广场,guang'chang
贵宾房,gui'bin'fang
贵宾候车室,gui'bin'hou'che'shi
贵宾室,gui'bin'shi
轨道灯,gui'dao'deng
硅钙板,gui'gai'ban
硅酸盐水泥,gui'suan'yan'shui'ni
柜台,gui'tai
滚筒洗衣机,gun'tong'xi'yi'ji
过梁,guo'liang
锅炉房,guo'lu'fang
锅炉室,guo'lu'shi
过厅,guo'ting
夯实,hang'shi
合页,he'ye
黑板,hei'ban
红木,hong'mu
候车室,hou'che'shi
厚大理石板正背面及四周边满涂防污剂灌稀水泥浆或彩色水泥浆擦缝,hou'da'li'shi'ban'zheng'bei'mian'ji'si'zhou'bian'man'tu'fang'wu'ji'guan'xi'shui'ni'jiang'huo'cai'se'shui'ni'jiang'ca'feng
厚单层地毯拼缝粘结在找平层上每隔涂宽建筑胶一条拼缝处用烫带或狭条麻袋布条粘结门口处用铝合金压边条收口,hou'dan'ceng'di'tan'pin'feng'nian'jie'zai'zhao'ping'ceng'shang'mei'ge'tu'kuan'jian'zhu'jiao'yi'tiao'pin'feng'chu'yong'tang'dai'huo'xia'tiao'ma'dai'bu'tiao'nian'jie'men'kou'chu'yong'lv'he'jin'ya'bian'tiao'shou'kou
厚防滑地砖建筑胶粘剂粘铺稀水泥浆或彩色水泥浆擦缝,hou'fang'hua'di'zhuan'jian'zhu'jiao'zhan'ji'zhan'pu'xi'shui'ni'jiang'huo'cai'se'shui'ni'jiang'ca'feng
厚干硬性水泥砂浆结合层,hou'gan'ying'xing'shui'ni'sha'jiang'jie'he'ceng
厚干硬性水泥砂浆粘结层,hou'gan'ying'xing'shui'ni'sha'jiang'nian'jie'ceng
厚高聚物改性沥青涂膜防潮层材料或按工程设计,hou'gao'ju'wu'gai'xing'li'qing'tu'mo'fang'chao'ceng'cai'liao'huo'an'gong'cheng'she'ji
厚高聚物改性沥青涂膜防水层材料或按工程设计,hou'gao'ju'wu'gai'xing'li'qing'tu'mo'fang'shui'ceng'cai'liao'huo'an'gong'cheng'she'ji
厚高聚物改性沥青涂膜防水层材料或由设计人定,hou'gao'ju'wu'gai'xing'li'qing'tu'mo'fang'shui'ceng'cai'liao'huo'you'she'ji'ren'ding
厚灰土上皮标高不低于室外地坪,hou'hui'tu'shang'pi'biao'gao'bu'di'yu'shi'wai'di'ping
厚建筑胶水泥砂浆粘结层,hou'jian'zhu'jiao'shui'ni'sha'jiang'nian'jie'ceng
厚聚氨酯涂膜防潮层材料或按工程设计,hou'ju'an'zhi'tu'mo'fang'chao'ceng'cai'liao'huo'an'gong'cheng'she'ji
厚磨光花岗石板正背面及四周边满涂防污剂灌稀水泥浆或掺色擦缝,hou'mo'guang'hua'gang'shi'ban'zheng'bei'mian'ji'si'zhou'bian'man'tu'fang'wu'ji'guan'xi'shui'ni'jiang'huo'chan'se'ca'feng
厚泡沫塑料衬垫,hou'pao'mo'su'liao'chen'dian
厚铺地砖稀水泥浆或彩色水泥浆擦缝,hou'pu'di'zhuan'xi'shui'ni'jiang'huo'cai'se'shui'ni'jiang'ca'feng
厚企口强化复合木地板榫槽榫舌及尾部满涂胶液挤严后铺设,hou'qi'kou'qiang'hua'fu'he'mu'di'ban'sun'cao'sun'she'ji'wei'bu'man'tu'jiao'ye'ji'yan'hou'pu'she
厚软聚氯乙烯塑料地板建筑胶粘剂粘铺基层面与塑料地板背面同时涂胶打上光蜡,hou'ruan'ju'lv'yi'xi'su'liao'di'ban'jian'zhu'jiao'zhan'ji'zhan'pu'ji'ceng'mian'yu'su'liao'di'ban'bei'mian'tong'shi'tu'jiao'da'shang'guang'la
