艾姆氏实验,ai'mu'shi'shi'yan
爱滋病,ai'zi'bing
巴斯德消毒,ba'si'de'xiao'du
包膜病毒,bao'mo'bing'du
孢囊,bao'nang
被动扩散,bei'dong'kuo'san
鞭毛,bian'mao
表型,biao'xing
病原体,bing'yuan'ti
病原学,bing'yuan'xue
补体,bu'ti
超氧离子,chao'yang'li'zi
刺突,ci'tu
单核细胞,dan'he'xi'bao
单克隆抗体,dan'ke'long'kang'ti
单细胞蛋白,dan'xi'bao'dan'bai
二分裂,er'fen'lie
防腐剂,fang'fu'ji
分解代谢,fen'jie'dai'xie
分生孢子,fen'sheng'bao'zi
负染色,fu'ran'se
感染性疾病,gan'ran'xing'ji'bing
干扰素,gan'rao'su
革兰氏染色,ge'lan'shi'ran'se
固氮,gu'dan
光能自养菌,guang'neng'zi'yang'jun
广谱,guang'pu
好氧微生物,hao'yang'wei'sheng'wu
合成代谢,he'cheng'dai'xie
核衣壳,he'yi'ke
呼吸链,hu'xi'lian
化能自养菌,hua'neng'zi'yang'jun
黄曲霉毒素,huang'qu'mei'du'su
混合培养,hun'he'pei'yang
几丁质,ji'ding'zhi
加富培养基,jia'fu'pei'yang'ji
假菌丝,jia'jun'si
荚膜,jia'mo
鉴别培养基,jian'bie'pei'yang'ji
鉴别染色,jian'bie'ran'se
节孢子,jie'bao'zi
菌株,jun'zhu
抗代谢物,kang'dai'xie'wu
抗毒素,kang'du'su
抗生素,kang'sheng'su
抗体,kang'ti
抗血清,kang'xue'qing
抗原,kang'yuan
抗原决定基,kang'yuan'jue'ding'ji
类毒素,lei'du'su
粒细胞,li'xi'bao
螺菌,luo'jun
螺旋体,luo'xuan'ti
酶联免疫,mei'lian'mian'yi
免疫法,mian'yi'fa
免疫球蛋白,mian'yi'qiu'dan'bai
免疫系统,mian'yi'xi'tong
免疫原,mian'yi'yuan
内毒素,nei'du'su
内含物,nei'han'wu
拟核,ni'he
逆转录酶,ni'zhuan'lu'mei
培养物,pei'yang'wu
潜伏,qian'fu
前噬菌体,qian'shi'jun'ti
青霉素,qing'mei'su
球形体,qiu'xing'ti
趋化性,qu'hua'xing
溶酶体,rong'mei'ti
溶原性,rong'yuan'xing
生长因子,sheng'zhang'yin'zi
噬菌体,shi'jun'ti
嗜冷菌,shi'leng'jun
嗜热菌,shi're'jun
嗜盐菌,shi'yan'jun
糖酵解,tang'jiao'jie
外毒素,wai'du'su
温和噬菌体,wen'he'shi'jun'ti
无菌,wu'jun
污染物,wu'ran'wu
细胞介导免疫,xi'bao'jie'dao'mian'yi
性丝,xing'si
选择培养基,xuan'ze'pei'yang'ji
血清型,xue'qing'xing
芽孢,ya'bao
亚单位疫苗,ya'dan'wei'yi'miao
厌氧微生物,yan'yang'wei'sheng'wu
乙醇发酵,yi'chun'fa'jiao
抑菌,yi'jun
衣壳,yi'ke
衣壳粒,yi'ke'li
异养菌,yi'yang'jun
营养物质,ying'yang'wu'zhi
诱变剂,you'bian'ji
有性繁殖,you'xing'fan'zhi
原核细胞,yuan'he'xi'bao
原生质体,yuan'sheng'zhi'ti
窄谱,zhai'pu
致病性,zhi'bing'xing
脂多糖,zhi'duo'tang
质粒,zhi'li
致死温度,zhi'si'wen'du
周质空间,zhou'zhi'kong'jian
主动免疫,zhu'dong'mian'yi
主动运输,zhu'dong'yun'shu
转导,zhuan'dao
转化,zhuan'hua
转座,zhuan'zuo
子囊,zi'nang
自身抗体,zi'shen'kang'ti
自身抗原,zi'shen'kang'yuan
自身免疫疾病,zi'shen'mian'yi'ji'bing
