暗影流光,an'ying'liu'guang
安悦溪,an'yue'xi
把酒临听,ba'jiu'lin'ting
白子画,bai'zi'hua
宝宝,bao'bao
鲍天琦,bao'tian'qi
包子,bao'zi
北方,bei'fang
北方卜元鼎,bei'fang'bu'yuan'ding
碧落剑,bi'luo'jian
般若殿,bo're'dian
般若花,bo're'hua
波若花,bo'ruo'hua
不归砚,bu'gui'yan
不可说,bu'ke'shuo
不死不疯便成魔,bu'si'bu'feng'bian'cheng'mo
卜元鼎,bu'yuan'ding
苍耳,cang'er
沧海遗墨,cang'hai'yi'mo
茶叶蛋,cha'ye'dan
长留,chang'liu
长留海底,chang'liu'hai'di
长留山,chang'liu'shan
长留上仙,chang'liu'shang'xian
长留仙山似画人,chang'liu'xian'shan'si'hua'ren
长留掌门,chang'liu'zhang'men
常小攻,chang'xiao'gong
初识,chu'shi
楚小晨,chu'xiao'chen
春秋不败,chun'qiu'bu'bai
春秋大婶,chun'qiu'da'shen
此生只收一个徒弟,ci'sheng'zhi'shou'yi'ge'tu'di
次仙,ci'xian
茈萸,ci'yu
催泪铃,cui'lei'ling
单春秋,dan'chun'qiu
蛋蛋,dan'dan
登堂,deng'tang
地方,di'fang
地方玄镇尺,di'fang'xuan'zhen'chi
地老天荒,di'lao'tian'huang
董春辉,dong'chun'hui
东方,dong'fang
东方爹爹,dong'fang'die'die
东方流光琴,dong'fang'liu'guang'qin
东方异,dong'fang'yi
东方彧卿,dong'fang'yu'qing
东海,dong'hai
东华,dong'hua
东华上仙,dong'hua'shang'xian
东皇钟,dong'huang'zhong
斗阑干,dou'lan'gan
断肠花,duan'chang'hua
断念剑,duan'nian'jian
夺魂箫,duo'hun'xiao
堕仙,duo'xian
法术,fa'shu
凡念,fan'nian
反噬,fan'shi
繁墟,fan'xu
飞升,fei'sheng
飞天真人,fei'tian'zhen'ren
飞仙,fei'xian
诽颜,fei'yan
绯颜掌门,fei'yan'zhang'men
绯夜剑,fei'ye'jian
分身术,fen'shen'shu
凤凰眼泪,feng'huang'yan'lei
凤三,feng'san
风霜一剑白子画,feng'shuang'yi'jian'bai'zi'hua
浮沉妄念,fu'chen'wang'nian
浮沉珠,fu'chen'zhu
腐木鬼,fu'mu'gui
芙蓉玉带汤,fu'rong'yu'dai'tang
浮世念,fu'shi'nian
浮屠道长,fu'tu'dao'zhang
浮屠三生,fu'tu'san'sheng
伏羲琴,fu'xi'qin
甘草什锦盅,gan'cao'shi'jin'zhong
阁主,ge'zhu
宫带,gong'dai
宫花,gong'hua
宫铃,gong'ling
宫铃碎,gong'ling'sui
宫木,gong'mu
宫石,gong'shi
宫玉,gong'yu
宫羽,gong'yu
勾栏玉,gou'lan'yu
勾玉,gou'yu
骨头,gu'tou
骨头娘亲,gu'tou'niang'qin
归心,gui'xin
海轩木,hai'xuan'mu
昊天塔,hao'tian'ta
哼唧兽,heng'ji'shou
横霜剑,heng'shuang'jian
红尘劫恋,hong'chen'jie'lian
洪荒出世,hong'huang'chu'shi
洪荒之力,hong'huang'zhi'li
红炎影,hong'yan'ying
护妻狂魔,hu'qi'kuang'mo
狐青丘,hu'qing'qiu
花不语,hua'bu'yu
花岛,hua'dao
画骨成沙,hua'gu'cheng'sha
画骨夫妇,hua'gu'fu'fu
花骨冷,hua'gu'leng
花花姐姐,hua'hua'jie'jie
花莲村,hua'lian'cun
花千骨,hua'qian'gu
花千球,hua'qian'qiu
花千殇,hua'qian'shang
画情透骨,hua'qing'tou'gu
花神泪,hua'shen'lei
花碎千骨,hua'sui'qian'gu
花秀才,hua'xiu'cai
幻思铃,huan'si'ling
幻夕颜,huan'xi'yan
黄泉路,huang'quan'lu
火凤,huo'feng
霍建华,huo'jian'hua
火夕,huo'xi
剑断念,jian'duan'nian
江明洋,jiang'ming'yang
蒋欣,jiang'xin
蒋一铭,jiang'yi'ming
结界,jie'jie
静悟,jing'wu
九阁长老,jiu'ge'zhang'lao
九霄塔,jiu'xiao'ta
鞠好儿,ju'hao'er
绝代果果,jue'dai'guo'guo
绝千骨,jue'qian'gu
绝情池,jue'qing'chi
绝情池水,jue'qing'chi'shui
绝情殿,jue'qing'dian
绝情镇,jue'qing'zhen
君千幻,jun'qian'huan
君轩墨,jun'xuan'mo
郡主,jun'zhu
勘心,kan'xin
可儿水馨莲,ke'er'shui'xin'lian
崆峒印,kong'tong'yin
旷野天,kuang'ye'tian
旷野星,kuang'ye'xing
昆仑镜,kun'lun'jing
昆仑山,kun'lun'shan
蓝羽灰,lan'yu'hui
蓝雨澜风,lan'yu'lan'feng
朗哥哥,lang'ge'ge
崂山,lao'shan
崂山派,lao'shan'pai
冷月吟荷,leng'yue'yin'he
李纯,li'chun
离歌祭,li'ge'ji
李蒙,li'meng
离宇,li'yu
莲城,lian'cheng
莲城城主,lian'cheng'cheng'zhu
炼妖壶,lian'yao'hu
烈行云,lie'xing'yun
林随意,lin'sui'yi
灵虫,ling'chong
灵机琴,ling'ji'qin
灵人,ling'ren
灵仙,ling'xian
泠魇,ling'yan
聆音,ling'yin
流光琴,liu'guang'qin
流火,liu'huo
流火绯瞳,liu'huo'fei'tong
六界第一高手,liu'jie'di'yi'gao'shou
六界第一口是心非,liu'jie'di'yi'kou'shi'xin'fei
六界第一冷漠,liu'jie'di'yi'leng'mo
六界第一美男,liu'jie'di'yi'mei'nan
六界第一装腔作势,liu'jie'di'yi'zhuang'qiang'zuo'shi
六界灭,liu'jie'mie
六界全书,liu'jie'quan'shu
六界最美之人,liu'jie'zui'mei'zhi'ren
琉璃挂,liu'li'gua
琉夏,liu'xia
流芸,liu'yun
洛河东,luo'he'dong
洛麒,luo'qi
珞清璃,luo'qing'li
落十一,luo'shi'yi
洛书,luo'shu
洛轩,luo'xuan
落嫣诗涵,luo'yan'shi'han
绿鞘,lv'qiao
马可,ma'ke
蛮荒,man'huang
蛮荒陷,man'huang'xian
漫天,man'tian
茅山,mao'shan
茅山派,mao'shan'pai
孟大哥,meng'da'ge
孟玄聪,meng'xuan'cong
孟玄朗,meng'xuan'lang
迷魂百果肉,mi'hun'bai'guo'rou
悯生剑,min'sheng'jian
冥梵仙,ming'fan'xian
冥界,ming'jie
墨冰仙,mo'bing'xian
殁骨,mo'gu
魔界,mo'jie
魔君,mo'jun
蓦浅浅,mo'qian'qian
陌上迟,mo'shang'chi
陌上画骨,mo'shang'hua'gu
摸头杀,mo'tou'sha
墨宛,mo'wan
莫小声,mo'xiao'sheng
摩严,mo'yan
南无月,na'mo'yue
奈何桥,nai'he'qiao
南方,nan'fang
南方幻思铃,nan'fang'huan'si'ling
南弦月,nan'xian'yue
你的宫铃掉了,ni'de'gong'ling'diao'le
霓漫天,ni'man'tian
霓千丈,ni'qian'zhang
霓裳羽衣秘籍,ni'shang'yu'yi'mi'ji
女娲后人,nv'wa'hou'ren
女娲石,nv'wa'shi
盘古斧,pan'gu'fu
蓬莱,peng'lai
蓬莱岛,peng'lai'dao
蓬莱岛岛主霓千丈,peng'lai'dao'dao'zhu'ni'qian'zhang
蓬莱岛岛主之女霓漫天,peng'lai'dao'dao'zhu'zhi'nv'ni'man'tian
蓬莱掌门,peng'lai'zhang'men
泼墨初尘,po'mo'chu'chen
婆娑劫,po'suo'jie
破望,po'wang
栖篁,qi'huang
七绝谱,qi'jue'pu
奇然,qi'ran
七杀,qi'sha
七杀殿,qi'sha'dian
千古,qian'gu
千骨断,qian'gu'duan
千骨画,qian'gu'hua
千骨生花,qian'gu'sheng'hua
千骨子画,qian'gu'zi'hua
千斛伤流景,qian'hu'shang'liu'jing
千江醉月,qian'jiang'zui'yue
千劫未央,qian'jie'wei'yang
千年冰莲,qian'nian'bing'lian
千年风雅,qian'nian'feng'ya
千千心结,qian'qian'xin'jie
茜云,qian'yun
千帜雪,qian'zhi'xue
秦梦韬,qin'meng'tao
清风错,qing'feng'cuo
清风长老,qing'feng'zhang'lao
清怀,qing'huai
青璃,qing'li
清怜,qing'lian
清流,qing'liu
轻水,qing'shui
清虚道长,qing'xu'dao'zhang
清扬长老,qing'yang'zhang'lao
清漪,qing'yi
秋陌夫夫,qiu'mo'fu'fu
屈木,qu'mu
群仙宴,qun'xian'yan
人断情,ren'duan'qing
人界,ren'jie
日月同泣,ri'yue'tong'qi
儒尊,ru'zun
三千妖杀,san'qian'yao'sha
三生池,san'sheng'chi
三尊,san'zun
三尊会审,san'zun'hui'shen
杀姐姐,sha'jie'jie
沙罗双树,sha'luo'shuang'shu
杀美人,sha'mei'ren
杀阡陌,sha'qian'mo
傻丫,sha'ya
上仙,shang'xian
韶白门,shao'bai'men
韶白门掌门,shao'bai'men'zhang'men
少年霜,shao'nian'shuang
舍归,she'gui
摄魂术,she'hun'shu
谁与归,shei'yu'gui
神界,shen'jie
神农鼎,shen'nong'ding
神尊,shen'zun
生方,sheng'fang
生方炎水玉,sheng'fang'yan'shui'yu
圣君,sheng'jun
生死劫,sheng'si'jie
笙箫默,sheng'xiao'mo
十重天,shi'chong'tian
逝方,shi'fang
十方神器,shi'fang'shen'qi
逝方拴天链,shi'fang'shuan'tian'lian
蚀骨长留,shi'gu'chang'liu
狮虎,shi'hu
试炼,shi'lian
十六方神器,shi'liu'fang'shen'qi
食人花,shi'ren'hua
释水封焰,shi'shui'feng'yan
十仙班,shi'xian'ban
湿兄,shi'xiong
是夜,shi'ye
十一师兄,shi'yi'shi'xiong
世尊,shi'zun
蜀山,shu'shan
蜀山剑法,shu'shan'jian'fa
拴天链,shuan'tian'lian
朔风,shuo'feng
硕官娘,shuo'guan'niang
烁月,shuo'yue
死方,si'fang
死方悯生剑,si'fang'min'sheng'jian
四荒经,si'huang'jing
司空破玥,si'kong'po'yue
思颦,si'pin
松砺山,song'li'shan
宿劫,su'jie
苏蕊,su'rui
苏云凡,su'yun'fan
锁心玉,suo'xin'yu
太白门,tai'bai'men
太白山,tai'bai'shan
太上真人,tai'shang'zhen'ren
檀凡上仙,tan'fan'shang'xian
檀梵上仙,tan'fan'shang'xian
贪婪池,tan'lan'chi
贪婪殿,tan'lan'dian
糖宝,tang'bao
糖宝宝,tang'bao'bao
桃花村,tao'hua'cun
桃花羹,tao'hua'geng
桃花祭,tao'hua'ji
桃木剑,tao'mu'jian
桃翁,tao'weng
天地裂,tian'di'lie
天地六界,tian'di'liu'jie
天地同悲,tian'di'tong'bei
天儿,tian'er
天方,tian'fang
天方谪仙伞,tian'fang'zhe'xian'san
天海无贝,tian'hai'wu'bei
天机蜜露羹,tian'ji'mi'lu'geng
天山,tian'shan
天水滴,tian'shui'di
天熙晨,tian'xi'chen
徒儿,tu'er
万福宫,wan'fu'gong
皖汐,wan'xi
晚玄,wan'xuan
万妖,wan'yao
忘川河,wang'chuan'he
望方,wang'fang
望方不归砚,wang'fang'bu'gui'yan
王剑,wang'jian
魍魉森林,wang'liang'sen'lin
望兮臣,wang'xi'chen
王昔日,wang'xi'ri
温丰予,wen'feng'yu
温掌门,wen'zhang'men
五大上仙,wu'da'shang'xian
无敌太白门,wu'di'tai'bai'men
无垢,wu'gou
无垢上仙,wu'gou'shang'xian
舞青萝,wu'qing'luo
五上仙,wu'shang'xian
无妄殿,wu'wang'dian
乌咽萧,wu'yan'xiao
西方,xi'fang
西方浮沉珠,xi'fang'fu'chen'zhu
西蜀,xi'shu
昔夕,xi'xi
夏祈鸢,xia'qi'yuan
夏小浅,xia'xiao'qian
夏紫薰,xia'zi'xun
仙骨,xian'gu
仙剑大会,xian'jian'da'hui
仙界,xian'jie
仙人,xian'ren
仙侠奇缘之花千骨,xian'xia'qi'yuan'zhi'hua'qian'gu
仙侠行,xian'xia'xing
仙缘,xian'yuan
仙尊,xian'zun
笑傲江湖路,xiao'ao'jiang'hu'lu
小不点,xiao'bu'dian
小炒黄花心,xiao'chao'huang'hua'xin
小东皇,xiao'dong'huang
小骨,xiao'gu
销魂殿,xiao'hun'dian
销魂钉,xiao'hun'ding
小梨,xiao'li
小莫妍,xiao'mo'yan
筱希,xiao'xi
斜栏,xie'lan
心之火,xin'zhi'huo
幸魂,xing'hun
朽木清流,xiu'mu'qing'liu
修仙品级,xiu'xian'pin'ji
墟鼎,xu'ding
墟洞,xu'dong
徐海乔,xu'hai'qiao
玄天伞,xuan'tian'san
轩辕剑,xuan'yuan'jian
轩辕朗,xuan'yuan'lang
玄镇尺,xuan'zhen'chi
