阿岁,a'sui
八番队,ba'fan'dui
白河藩,bai'he'fan
板仓胜静,ban'cang'sheng'jing
宝藏院流枪术,bao'zang'yuan'liu'qiang'shu
北辰一刀流,bei'chen'yi'dao'liu
弁天台场,bian'tian'tai'chang
薄樱鬼,bo'ying'gui
参谋,can'mou
长洲藩,chang'zhou'fan
诚字旗,cheng'zi'qi
池田屋事变,chi'tian'wu'shi'bian
池田屋事件,chi'tian'wu'shi'jian
冲田,chong'tian
冲田三叶,chong'tian'san'ye
冲田宗次郎,chong'tian'zong'ci'lang
冲田宗次郎藤原春政,chong'tian'zong'ci'lang'teng'yuan'chun'zheng
冲田总司,chong'tian'zong'si
冲田总司藤原房良,chong'tian'zong'si'teng'yuan'fang'liang
冲田总悟,chong'tian'zong'wu
村麻纱,cun'ma'sha
大阪力士杀害事件,da'ban'li'shi'sha'hai'shi'jian
大河剧,da'he'ju
大和屋事件,da'he'wu'shi'jian
大久保刚,da'jiu'bao'gang
大猩猩,da'xing'xing
大野次郎右卫门,da'ye'ci'lang'you'wei'men
大垣藩,da'yuan'fan
大政奉还,da'zheng'feng'huan
蛋黄酱,dan'huang'jiang
倒幕激进派,dao'mu'ji'jin'pai
倒幕派,dao'mu'pai
岛崎胜太,dao'qi'sheng'tai
岛田魁,dao'tian'kui
岛原料亭之变,dao'yuan'liao'ting'zhi'bian
德川家茂,de'chuan'jia'mao
德川幕府,de'chuan'mu'fu
德川庆喜,de'chuan'qing'xi
队长,dui'zhang
多串君,duo'chuan'jun
二番队,er'fan'dui
二木二郎,er'mu'er'lang
肥前锻冶藤原吉广,fei'qian'duan'ye'teng'yuan'ji'guang
副长,fu'chang
副长辅助,fu'chang'fu'zhu
副长小姓,fu'chang'xiao'xing
副长助勤,fu'chang'zhu'qin
腹黑,fu'hei
伏见鸟羽之战,fu'jian'niao'yu'zhi'zhan
冈田助右卫门,gang'tian'zhu'you'wei'men
宫古湾海战,gong'gu'wan'hai'zhan
谷昌武,gu'chang'wu
古典军事,gu'dian'jun'shi
谷三十郎,gu'san'shi'lang
谷三治郎,gu'san'zhi'lang
谷万太郎,gu'wan'tai'lang
关口流柔术,guan'kou'liu'rou'shu
函馆的左之助,han'guan'de'zuo'zhi'zhu
河合耆三郎,he'he'qi'san'lang
虎铁,hu'tie
会津藩,hui'jin'fan
会津战争,hui'jin'zhan'zheng
吉村贯一郎,ji'cun'guan'yi'lang
激进派,ji'jin'pai
激录新撰组,ji'lu'xin'zhuan'zu
吉田松阴,ji'tian'song'yin
吉田屋,ji'tian'wu
榎本武扬,jia'ben'wu'yang
加贺清光,jia'he'qing'guang
加农炮,jia'nong'pao
甲阳镇抚队,jia'yang'zhen'fu'dui
甲州流兵法,jia'zhou'liu'bing'fa
甲州胜沼之战,jia'zhou'sheng'zhao'zhi'zhan
监察,jian'cha
见回组,jian'hui'zu
见廻组,jian'hui'zu
剑术指导,jian'shu'zhi'dao
江户,jiang'hu
介错,jie'cuo
津藩,jin'fan
近江草津,jin'jiang'cao'jin
禁门政变,jin'men'zheng'bian
禁门之变,jin'men'zhi'bian
近藤,jin'teng
近藤胜五郎,jin'teng'sheng'wu'lang
近藤勇,jin'teng'yong
近藤勇昌宜,jin'teng'yong'chang'yi
近藤周平,jin'teng'zhou'ping
