安亭公园,an'ting'gong'yuan
宝山临江公园,bao'shan'lin'jiang'gong'yuan
宝山区烈士陵园,bao'shan'qu'lie'shi'ling'yuan
滨海公园,bin'hai'gong'yuan
滨海森林公园,bin'hai'sen'lin'gong'yuan
滨江大道,bin'jiang'da'dao
波阳公园,bo'yang'gong'yuan
漕河泾开发区公园,cao'he'jing'kai'fa'qu'gong'yuan
漕溪公园,cao'xi'gong'yuan
曹杨公园,cao'yang'gong'yuan
长风公园,chang'feng'gong'yuan
川沙公园,chuan'sha'gong'yuan
大华行知公园,da'hua'xing'zhi'gong'yuan
大宁灵石公园,da'ning'ling'shi'gong'yuan
东安公园,dong'an'gong'yuan
东平国家森林公园,dong'ping'guo'jia'sen'lin'gong'yuan
方塔公园,fang'ta'gong'yuan
复兴岛公园,fu'xing'dao'gong'yuan
复兴公园,fu'xing'gong'yuan
甘泉公园,gan'quan'gong'yuan
高桥公园,gao'qiao'gong'yuan
工农公园,gong'nong'gong'yuan
共青森林公园,gong'qing'sen'lin'gong'yuan
古城公园,gu'cheng'gong'yuan
古华公园,gu'hua'gong'yuan
古藤园,gu'teng'yuan
管弄公园,guan'nong'gong'yuan
光启公园,guang'qi'gong'yuan
广中公园,guang'zhong'gong'yuan
桂林公园,gui'lin'gong'yuan
海棠公园,hai'tang'gong'yuan
海湾世纪林公园,hai'wan'shi'ji'lin'gong'yuan
航华公园,hang'hua'gong'yuan
衡山公园,heng'shan'gong'yuan
红园,hong'yuan
沪太公园,hu'tai'gong'yuan
华漕公园,hua'cao'gong'yuan
华山儿童公园,hua'shan'er'tong'gong'yuan
淮海公园,huai'hai'gong'yuan
黄浦公园,huang'pu'gong'yuan
黄兴公园,huang'xing'gong'yuan
汇龙潭公园,hui'long'tan'gong'yuan
惠民公园,hui'min'gong'yuan
济阳公园,ji'yang'gong'yuan
嘉定儿童公园,jia'ding'er'tong'gong'yuan
交通公园,jiao'tong'gong'yuan
金桥公园,jin'qiao'gong'yuan
静安公园,jing'an'gong'yuan
泾东公园,jing'dong'gong'yuan
康健园,kang'jian'yuan
兰溪青年公园,lan'xi'qing'nian'gong'yuan
临沂公园,lin'yi'gong'yuan
岭南公园,ling'nan'gong'yuan
龙华烈士陵园,long'hua'lie'shi'ling'yuan
陆家嘴中心绿地,lu'jia'zui'zhong'xin'lv'di
鲁迅公园,lu'xun'gong'yuan
蔓趣公园,man'qu'gong'yuan
梅川公园,mei'chuan'gong'yuan
闵行公园,min'hang'gong'yuan
闵行体育公园,min'hang'ti'yu'gong'yuan
民星公园,min'xing'gong'yuan
名人苑,ming'ren'yuan
南浦广场公园,nan'pu'guang'chang'gong'yuan
南园公园,nan'yuan'gong'yuan
内江公园,nei'jiang'gong'yuan
蓬莱公园,peng'lai'gong'yuan
平凉公园,ping'liang'gong'yuan
普陀公园,pu'tuo'gong'yuan
秋霞圃,qiu'xia'pu
曲水园,qu'shui'yuan
曲阳公园,qu'yang'gong'yuan
人民公园,ren'min'gong'yuan
三泉公园,san'quan'gong'yuan
上海大观园,shang'hai'da'guan'yuan
上海动物园,shang'hai'dong'wu'yuan
上海野生动物园,shang'hai'ye'sheng'dong'wu'yuan
上南公园,shang'nan'gong'yuan
绍兴公园,shao'xing'gong'yuan
世纪公园,shi'ji'gong'yuan
世外桃园,shi'wai'tao'yuan
水霞公园,shui'xia'gong'yuan
泗泾公园,si'jing'gong'yuan
泗塘公园,si'tang'gong'yuan
松鹤公园,song'he'gong'yuan
淞南公园,song'nan'gong'yuan
天山公园,tian'shan'gong'yuan
天原公园,tian'yuan'gong'yuan
未来岛公园,wei'lai'dao'gong'yuan
吴泾公园,wu'jing'gong'yuan
西康公园,xi'kang'gong'yuan
襄阳公园,xiang'yang'gong'yuan
莘庄公园,xin'zhuang'gong'yuan
延安中路大型公共绿地,yan'an'zhong'lu'da'xing'gong'gong'lv'di
延春公园,yan'chun'gong'yuan
延中绿地,yan'zhong'lv'di
杨浦公园,yang'pu'gong'yuan
宜川公园,yi'chuan'gong'yuan
永清苑,yong'qing'yuan
友谊公园,you'yi'gong'yuan
豫园,yu'yuan
月浦公园,yue'pu'gong'yuan
闸北公园,zha'bei'gong'yuan
真光公园,zhen'guang'gong'yuan
中山公园,zhong'shan'gong'yuan
周浦公园,zhou'pu'gong'yuan
醉白池公园,zui'bai'chi'gong'yuan
