凹甲陆龟,ao'jia'lu'gui
八色鸫科,ba'se'dong'ke
白唇鹿,bai'chun'lu
白额雁,bai'e'yan
白腹黑啄木鸟,bai'fu'hei'zhuo'mu'niao
白腹军舰鸟,bai'fu'jun'jian'niao
白鹳,bai'guan
白冠长尾雉,bai'guan'chang'wei'zhi
白鹤,bai'he
白暨豚,bai'ji'tun
白肩雕,bai'jian'diao
白颈长尾雉,bai'jing'chang'wei'zhi
白头鹤,bai'tou'he
白臀鹿,bai'tun'lu
白尾海雕,bai'wei'hai'diao
白鹇,bai'xian
白枕鹤,bai'zhen'he
斑林狸,ban'lin'li
斑羚,ban'ling
斑尾林鸽,ban'wei'lin'ge
斑尾榛鸡,ban'wei'zhen'ji
豹,bao
鸨,bao
北山羊,bei'shan'yang
彩鹮,cai'huan
藏羚,cang'ling
藏酋猴,cang'qiu'hou
藏原羚,cang'yuan'ling
草原斑猫,cao'yuan'ban'mao
豺,chai
长臂猿,chang'bi'yuan
橙胸咬鹃,cheng'xiong'yao'juan
赤斑羚,chi'ban'ling
赤颈鹤,chi'jing'he
穿山甲,chuan'shan'jia
丛林猫,cong'lin'mao
大壁虎,da'bi'hu
大凉疣螈,da'liang'you'yuan
大灵猫,da'ling'mao
大鲵,da'ni
大熊猫,da'xiong'mao
玳瑁,dai'mao
丹顶鹤,dan'ding'he
地龟,di'gui
貂熊,diao'xiong
短尾猴,duan'wei'hou
短尾信天翁,duan'wei'xin'tian'weng
鹅喉羚,e'hou'ling
鳄蜥,e'xi
蜂猴,feng'hou
凤头雨燕,feng'tou'yu'yan
高鼻羚羊,gao'bi'ling'yang
贵州疣螈,gui'zhou'you'yuan
海南山鹧鸪,hai'nan'shan'zhe'gu
海南兔,hai'nan'tu
河麂,he'ji
河狸,he'li
褐马鸡,he'ma'ji
鹤嘴翠鸟,he'zui'cui'niao
黑长尾雉,hei'chang'wei'zhi
黑浮鸥,hei'fu'ou
黑腹沙鸡,hei'fu'sha'ji
黑鹳,hei'guan
黑鹮,hei'huan
黑麂,hei'ji
黑颈长尾雉,hei'jing'chang'wei'zhi
黑颈鹤,hei'jing'he
黑颈鸬鹚,hei'jing'lu'ci
黑颏果鸠,hei'ke'guo'jiu
黑琴鸡,hei'qin'ji
黑头角雉,hei'tou'jiao'zhi
黑鹇,hei'xian
黑熊,hei'xiong
黑胸蜂虎,hei'xiong'feng'hu
黑嘴瑞凤头燕鸥,hei'zui'rui'feng'tou'yan'ou
红腹角雉,hong'fu'jiao'zhi
红胸黑雁,hong'xiong'hei'yan
红胸角雉,hong'xiong'jiao'zhi
虹雉,hong'zhi
虎,hu
虎头海雕,hu'tou'hai'diao
虎纹蛙,hu'wen'wa
胡兀鹫,hu'wu'jiu
花田鸡,hua'tian'ji
花尾榛鸡,hua'wei'zhen'ji
黄腹角雉,huang'fu'jiao'zhi
黄喉貂,huang'hou'diao
皇鸠,huang'jiu
荒漠猫,huang'mo'mao
黄羊,huang'yang
黄嘴白鹭,huang'zui'bai'lu
黄嘴河燕鸥,huang'zui'he'yan'ou
灰腹角雉,hui'fu'jiao'zhi
灰鹤,hui'he
灰喉针尾雨燕,hui'hou'zhen'wei'yu'yan
灰燕,hui'yan
姬田鸡,ji'tian'ji
金雕,jin'diao
锦鸡,jin'ji
金猫,jin'mao
金丝猴,jin'si'hou
鲸目,jing'mu
巨松鼠,ju'song'shu
巨蜥,ju'xi
鹃鸠,juan'jiu
孔雀雉,kong'que'zhi
阔嘴鸟,kuo'zui'niao
蓝耳翠鸟,lan'er'cui'niao
蓝马鸡,lan'ma'ji
蓝鹇,lan'xian
棱皮龟,leng'pi'gui
镰翅鸡,lian'chi'ji
鬣羚,lie'ling
柳雷鸟,liu'lei'niao
绿海龟,lv'hai'gui
绿喉蜂虎,lv'hou'feng'hu
绿鸠,lv'jiu
绿孔雀,lv'kong'que
马来熊,ma'lai'xiong
马鹿,ma'lu
蟒,mang
梅花鹿,mei'hua'lu
蒙古野驴,meng'gu'ye'lv
猕猴,mi'hou
麋鹿,mi'lu
拟兀鹫,ni'wu'jiu
扭角羚,niu'jiao'ling
盘羊,pan'yang
坡鹿,po'lu
普氏原羚,pu'shi'yuan'ling
鳍脚目,qi'jiao'mu
儒艮,ru'gen
三线闭壳龟,san'xian'bi'ke'gui
沙丘鹤,sha'qiu'he
山瑞鳖,shan'rui'bie
勺鸡,shao'ji
麝,she
猞猁,she'li
石貂,shi'diao
水鹿,shui'lu
水獭,shui'ta
四川山鹧鸪,si'chuan'shan'zhe'gu
四爪陆龟,si'zhao'lu'gui
隼科,sun'ke
蓑羽鹤,suo'yu'he
塔里木兔,ta'li'mu'tu
太平洋丽龟,tai'ping'yang'li'gui
台湾猴,tai'wan'hou
台湾鬣羚,tai'wan'lie'ling
天鹅,tian'e
铜翅水雉,tong'chi'shui'zhi
兔狲,tu'sun
豚鹿,tun'lu
豚尾猴,tun'wei'hou
驼鹿,tuo'lu
鼷鹿,xi'lu
细瘰疣螈,xi'luo'you'yuan
喜马拉雅塔尔羊,xi'ma'la'ya'ta'er'yang
犀鸟科,xi'niao'ke
西藏野驴,xi'zang'ye'lv
细痣疣螈,xi'zhi'you'yuan
细嘴松鸡,xi'zui'song'ji
小杓鹬,xiao'biao'yu
小灵猫,xiao'ling'mao
小鸥,xiao'ou
小青脚鹬,xiao'qing'jiao'yu
鸮形目,xiao'xing'mu
小熊猫,xiao'xiong'mao
小爪水獭,xiao'zhao'shui'ta
熊猴,xiong'hou
熊狸,xiong'li
雪豹,xue'bao
雪鸡,xue'ji
雪兔,xue'tu
血雉,xue'zhi
鸦鹃,ya'juan
亚洲象,ya'zhou'xiang
岩雷鸟,yan'lei'niao
岩羊,yan'yang
扬子鳄,yang'zi'e
叶猴,ye'hou
野骆驼,ye'luo'tuo
野马,ye'ma
野牦牛,ye'mao'niu
野牛,ye'niu
遗鸥,yi'ou
鹰科,ying'ke
鹦鹉科,ying'wu'ke
玉带海雕,yu'dai'hai'diao
渔猫,yu'mao
鼋,yuan
原鸡,yuan'ji
鸳鸯,yuan'yang
云豹,yun'bao
云南闭壳龟,yun'nan'bi'ke'gui
藏马鸡,zang'ma'ji
长脚秧鸡,zhang'jiao'yang'ji
镇海疣螈,zhen'hai'you'yuan
雉鹑,zhi'chun
中华白海豚,zhong'hua'bai'hai'tun
中华秋沙鸭,zhong'hua'qiu'sha'ya
朱鹮,zhu'huan
紫貂,zi'diao
棕背田鸡,zong'bei'tian'ji
棕熊,zong'xiong
