风寒袭肺,feng'han'xi'fei
肝胃不和,gan'wei'bu'he
尿浊,niao'zhuo
脾肺气虚,pi'fei'qi'xu
脾肾两虚,pi'shen'liang'xu
脾肾阳虚,pi'shen'yang'xu
脾虚肝旺,pi'xu'gan'wang
气虚湿瘀,qi'xu'shi'yu
气虚痰瘀,qi'xu'tan'yu
气虚血瘀,qi'xu'xue'yu
气虚瘀热,qi'xu'yu're
肾病,shen'bing
湿热中阻,shi're'zhong'zu
湿瘀互结,shi'yu'hu'jie
痰气交阻,tan'qi'jiao'zu
糖尿病,tang'niao'bing
消渴,xiao'ke
心悸,xin'ji
心神失养,xin'shen'shi'yang
胸痹,xiong'bi
