班格尔马辛席,ban'ge'er'ma'xin'xi
刨书,bao'shu
擗咗,bo'zuo
婄腩,bu'nan
啋过你,cai'guo'ni
喳喳,cha'cha
祇系,chi'xi
重重沓沓,chong'chong'ta'ta
畜牲,chu'sheng
抌心口,dan'xin'kou
抌咗,dan'zuo
腍鼻,dian'bi
腍佛,dian'fo
腍啤啤,dian'pi'pi
腍善,dian'shan
腍厣,dian'yan
掟煲,ding'bao
唞凉,dou'liang
唞气,dou'qi
对落,dui'luo
对埋,dui'mai
对面海,dui'mian'hai
对年,dui'nian
对上,dui'shang
对时,dui'shi
对岁,dui'sui
对唔住,dui'wu'zhu
对胸衫,dui'xiong'shan
多得,duo'de
多多,duo'duo
多多少少,duo'duo'shao'shao
多多声,duo'duo'sheng
多多事事,duo'duo'shi'shi
多个香炉多个鬼,duo'ge'xiang'lu'duo'ge'gui
多计,duo'ji
堕角,duo'jiao
多句嘴,duo'ju'zui
躲懒,duo'lan
多箩箩,duo'luo'luo
多罗罗,duo'luo'luo
多少,duo'shao
多事,duo'shi
多士,duo'shi
多事实,duo'shi'shi
铎叔,duo'shu
多数,duo'shu
多谢,duo'xie
多谢晒,duo'xie'shai
多嘴多舌,duo'zui'duo'she
呃秤,e'cheng
屙肚,e'du
呃呃骗骗,e'e'pian'pian
屙啡啡,e'fei'fei
恶瞓,e'fen
饿鬼投胎,e'gui'tou'tai
饿过饥,e'guo'ji
恶亨亨,e'heng'heng
蛾喉,e'hou
屙痢,e'li
蛾眉月,e'mei'yue
屙尿,e'niao
呃人,e'ren
呃神骗鬼,e'shen'pian'gui
屙屎,e'shi
屙屎唔出赖地硬,e'shi'wu'chu'lai'di'ying
扼手,e'shou
恶死,e'si
恶死能登,e'si'neng'deng
额头,e'tou
恶揗揗,e'xun'xun
恶爷,e'ye
恶爷头,e'ye'tou
鳄鱼头,e'yu'tou
恶作,e'zuo
奀雌雌,en'ci'ci
摁钉,en'ding
奀袅鬼命,en'niao'gui'ming
奀袅袅,en'niao'niao
奀瘦,en'shou
奀细,en'xi
二花面,er'hua'mian
而家,er'jia
二奶,er'nai
二撇鸡,er'pie'ji
耳屎,er'shi
二世祖,er'shi'zu
二手,er'shou
二手货,er'shou'huo
二叔,er'shu
儿戏,er'xi
耳仔,er'zi
二仔底,er'zi'di
耳仔竉,er'zi'long
发达,fa'da
发癫,fa'dian
发抖,fa'dou
发风,fa'feng
发吽哣,fa'hong'pou
发花癫,fa'hua'dian
发鷄盲,fa'ji'mang
发鸡盲,fa'ji'mang
发脚,fa'jiao
发姣,fa'jiao
发开口梦,fa'kai'kou'meng
发烂渣,fa'lan'zha
发狼戾,fa'lang'li
发冷,fa'leng
发毛,fa'mao
发矛,fa'mao
发懵,fa'meng
发梦,fa'meng
发木独,fa'mu'du
发嬲,fa'niao
发钱寒,fa'qian'han
发青光,fa'qing'guang
发软蹄,fa'ruan'ti
发烧友,fa'shao'you
发神经,fa'shen'jing
发市,fa'shi
发瘟,fa'wen
发噏风发喑话,fa'xi'feng'fa'yin'hua
发硝,fa'xiao
发牙痕,fa'ya'hen
发羊吊,fa'yang'diao
返本,fan'ben
犯驳,fan'bo
返草,fan'cao
饭铲头,fan'chan'tou
翻抄,fan'chao
返潮话梅又咸又湿,fan'chao'hua'mei'you'xian'you'shi
返扯,fan'che
反斗,fan'dou
反瞓,fan'fen
翻风,fan'feng
幡杆灯笼照远唔照近,fan'gan'deng'long'zhao'yuan'wu'zhao'jin
返工,fan'gong
反骨,fan'gu
反骨仔,fan'gu'zi
番瓜,fan'gua
番鬼,fan'gui
番鬼佬,fan'gui'lao
番鬼佬月饼闷极,fan'gui'lao'yue'bing'men'ji
番鬼荔枝,fan'gui'li'zhi
饭盒,fan'he
番枧,fan'jian
饭焦,fan'jiao
返嚟,fan'li
翻嚟,fan'li
反面,fan'mian
番婆大肚心怀鬼胎,fan'po'da'du'xin'huai'gui'tai
番茄,fan'qie
返去,fan'qu
饭蕊,fan'rui
返生,fan'sheng
凡士林,fan'shi'lin
番薯,fan'shu
番薯跌落灶该煨,fan'shu'die'luo'zao'gai'wei
番薯番薯糖,fan'shu'fan'shu'tang
番薯糖水,fan'shu'tang'shui
番摊,fan'tan
饭汤,fan'tang
翻头嫁,fan'tou'jia
翻头婆,fan'tou'po
反为,fan'wei
反爲,fan'wei
返学,fan'xue
返寻味,fan'xun'wei
番鸭,fan'ya
翻渣,fan'zha
犯衆憎饭铲头,fan'zhong'zeng'fan'chan'tou
犯众憎饭铲头,fan'zhong'zeng'fan'chan'tou
返转头,fan'zhuan'tou
反转猪肚就是屎,fan'zhuan'zhu'du'jiu'shi'shi
反转猪肚就系屎,fan'zhuan'zhu'du'jiu'xi'shi
放白鸽,fang'bai'ge
房车,fang'che
放胆,fang'dan
放低,fang'di
放飞机,fang'fei'ji
放工,fang'gong
放葫芦,fang'hu'lu
放监,fang'jian
放落,fang'luo
放声气,fang'sheng'qi
放水,fang'shui
废柴,fei'chai
非常之,fei'chang'zhi
肥肚腩,fei'du'nan
肥腯腯,fei'dun'dun
飞发,fei'fa
飞发剪,fei'fa'jian
飞发佬,fei'fa'lao
飞发铺,fei'fa'pu
肥肥白白,fei'fei'bai'bai
飞机打交高斗,fei'ji'da'jiao'gao'dou
飞机火烛烧云,fei'ji'huo'zhu'shao'yun
飞机火足烧云,fei'ji'huo'zu'shao'yun
飞机上放屁响的开,fei'ji'shang'fang'pi'xiang'de'kai
飞机师,fei'ji'shi
飞机裇,fei'ji'xu
飞来蜢,fei'lai'meng
肥佬,fei'lao
非礼,fei'li
