阿俊酒家,a'jun'jiu'jia
保福寺路,bao'fu'si'lu
北操,bei'cao
北操篮球场,bei'cao'lan'qiu'chang
北操足球场,bei'cao'zu'qiu'chang
北门,bei'men
北区开水房,bei'qu'kai'shui'fang
北区浴室,bei'qu'yu'shi
避风塘,bi'feng'tang
丙所,bing'suo
博士楼,bo'shi'lou
彩云间,cai'yun'jian
财智大厦,cai'zhi'da'sha
曹光彪馆,cao'guang'biao'guan
成府路,cheng'fu'lu
诚斋,cheng'zhai
出版社,chu'ban'she
川福楼,chuan'fu'lou
创新大厦,chuang'xin'da'sha
创业大厦,chuang'ye'da'sha
大礼堂,da'li'tang
大石桥,da'shi'qiao
第二南北主干道,di'er'nan'bei'zhu'gan'dao
电化工大楼,dian'hua'gong'da'lou
雕刻时光,diao'ke'shi'guang
丁香园,ding'xiang'yuan
东操,dong'cao
东操篮球场,dong'cao'lan'qiu'chang
东操体育馆,dong'cao'ti'yu'guan
东操网球场,dong'cao'wang'qiu'chang
东阶,dong'jie
东阶梯教室,dong'jie'ti'jiao'shi
东门,dong'men
东区开水房,dong'qu'kai'shui'fang
东区浴室,dong'qu'yu'shi
东升大厦,dong'sheng'da'sha
东升乡,dong'sheng'xiang
东王庄,dong'wang'zhuang
东西主干道,dong'xi'zhu'gan'dao
东源大厦,dong'yuan'da'sha
东主楼,dong'zhu'lou
对外学术文化交流中心,dui'wai'xue'shu'wen'hua'jiao'liu'zhong'xin
二教,er'jiao
二校门,er'xiao'men
二员工,er'yuan'gong
风味餐厅,feng'wei'can'ting
附小操场,fu'xiao'cao'chang
附中操场,fu'zhong'cao'chang
干锅居,gan'guo'ju
高培,gao'pei
高压馆,gao'ya'guan
工字厅,gong'zi'ting
古月堂,gu'yue'tang
观畴园,guan'chou'yuan
广播台,guang'bo'tai
光华路,guang'hua'lu
郭林,guo'lin
焊接馆,han'jie'guan
晗亭,han'ting
荷清路,he'qing'lu
荷清苑,he'qing'yuan
何善衡楼,he'shan'heng'lou
荷塘,he'tang
何添楼,he'tian'lou
荷园,he'yuan
荷园餐厅,he'yuan'can'ting
盒子咖啡屋,he'zi'ka'fei'wu
红辣仔,hong'la'zai
