阿魏无真,a'wei'wu'zhen
爱月不梳头,ai'yue'bu'shu'tou
安乐值钱多,an'le'zhi'qian'duo
暗室亏心,an'shi'kui'xin
罢却虎狼之威,ba'que'hu'lang'zhi'wei
八字衙门向南开,ba'zi'ya'men'xiang'nan'kai
百年成之不足,bai'nian'cheng'zhi'bu'zu
百世修来共枕眠,bai'shi'xiu'lai'gong'zhen'mian
白水变酒卖,bai'shui'bian'jiu'mai
百行孝当先,bai'xing'xiao'dang'xian
白云出岫本无心,bai'yun'chu'xiu'ben'wu'xin
半点不由人,ban'dian'bu'you'ren
半夜敲门心不惊,ban'ye'qiao'men'xin'bu'jing
报应甚速,bao'ying'shen'su
杯杯先劝有钱人,bei'bei'xian'quan'you'qian'ren
杯中酒不空,bei'zhong'jiu'bu'kong
壁有耳,bi'you'er
必有近忧,bi'you'jin'you
便失大道,bian'shi'da'dao
便是好人,bian'shi'hao'ren
便是是非人,bian'shi'shi'fei'ren
便是新举子,bian'shi'xin'ju'zi
便作等闲看,bian'zuo'deng'xian'kan
别人骑马我骑驴,bie'ren'qi'ma'wo'qi'lv
病有高人说药方,bing'you'gao'ren'shuo'yao'fang
不擦红粉也风流,bu'ca'hong'fen'ye'feng'liu
不愁无处下金钩,bu'chou'wu'chu'xia'jin'gou
不到白头死,bu'dao'bai'tou'si
不好学者如篙如草,bu'hao'xue'zhe'ru'gao'ru'cao
不好学者则公卿之为庶民,bu'hao'xue'zhe'ze'gong'qing'zhi'wei'shu'min
不会说说屋里,bu'hui'shuo'shuo'wu'li
不击乃无烟,bu'ji'nai'wu'yan
不交僧道,bu'jiao'seng'dao
不可曲中求,bu'ke'qu'zhong'qiu
不可邪而有余,bu'ke'xie'er'you'yu
不可信其无,bu'ke'xin'qi'wu
不怕有后灾,bu'pa'you'hou'zai
不求金玉重重贵,bu'qiu'jin'yu'chong'chong'gui
不忍不耐,bu'ren'bu'nai
不如暗处一灯,bu'ru'an'chu'yi'deng
不如多买经书,bu'ru'duo'mai'jing'shu
不如孤月独明,bu'ru'gu'yue'du'ming
不如友生,bu'ru'you'sheng
不是不报,bu'shi'bu'bao
不是才人莫献诗,bu'shi'cai'ren'mo'xian'shi
不是这般题目,bu'shi'zhe'ban'ti'mu
不是知音莫与弹,bu'shi'zhi'yin'mo'yu'tan
不听自然无,bu'ting'zi'ran'wu
不信但看檐前水,bu'xin'dan'kan'yan'qian'shui
不信但看宴中酒,bu'xin'dan'kan'yan'zhong'jiu
不学亦枉然,bu'xue'yi'wang'ran
不以我为德,bu'yi'wo'wei'de
不饮任他酒价高,bu'yin'ren'ta'jiu'jia'gao
不因渔夫引,bu'yin'yu'fu'yin
不知其何也,bu'zhi'qi'he'ye
不知我者谓我何求,bu'zhi'wo'zhe'wei'wo'he'qiu
材多害人子,cai'duo'hai'ren'zi
财利要分清,cai'li'yao'fen'qing
财钱分明大丈夫,cai'qian'fen'ming'da'zhang'fu
仓廪虚兮岁月乏,cang'lin'xu'xi'sui'yue'fa
草木一春,cao'mu'yi'chun
曾记少年骑竹马,ceng'ji'shao'nian'qi'zhu'ma
差之毫厘,cha'zhi'hao'li
常怀千岁忧,chang'huai'qian'sui'you
长江后浪催前浪,chang'jiang'hou'lang'cui'qian'lang
常将有日思无日,chang'jiang'you'ri'si'wu'ri
常留三分与儿孙,chang'liu'san'fen'yu'er'sun
城门失火,cheng'men'shi'huo
成事莫说,cheng'shi'mo'shuo
痴汉不会饶人,chi'han'bu'hui'rao'ren
痴人畏妇,chi'ren'wei'fu
池塘积水须防旱,chi'tang'ji'shui'xu'fang'han
池养化龙鱼,chi'yang'hua'long'yu
处处有路透长安,chu'chu'you'lu'tou'chang'an
出嫁从夫,chu'jia'cong'fu
触来莫与竞,chu'lai'mo'yu'jing
春来无处不花香,chun'lai'wu'chu'bu'hua'xiang
从俭入奢移,cong'jian'ru'she'yi
从前恩爱反成仇,cong'qian'en'ai'fan'cheng'chou
从奢返俭难,cong'she'fan'jian'nan
寸金难买寸光阴父母恩深终有别,cun'jin'nan'mai'cun'guang'yin'fu'mu'en'shen'zhong'you'bie
大抵选他肌骨好,da'di'xuan'ta'ji'gu'hao
大海终须纳细流,da'hai'zhong'xu'na'xi'liu
大家都是命,da'jia'dou'shi'ming
大家礼义教子弟,da'jia'li'yi'jiao'zi'di
大家做事慌张,da'jia'zuo'shi'huang'zhang
达人知命,da'ren'zhi'ming
大厦千间,da'sha'qian'jian
大限来时各自飞,da'xian'lai'shi'ge'zi'fei
但存方寸土,dan'cun'fang'cun'tu
但将冷眼观螃蟹,dan'jiang'leng'yan'guan'pang'xie
但看三五日,dan'kan'san'wu'ri
但能依本分,dan'neng'yi'ben'fen
但求心无愧,dan'qiu'xin'wu'kui
但行好事,dan'xing'hao'shi
但有绿扬堪系马,dan'you'lv'yang'kan'xi'ma
但愿儿孙个个贤,dan'yuan'er'sun'ge'ge'xian
当家才知盐米贵,dang'jia'cai'zhi'yan'mi'gui
当时若不登高望,dang'shi'ruo'bu'deng'gao'wang
到老偷闲且是闲,dao'lao'tou'xian'qie'shi'xian
到老终无怨恨心,dao'lao'zhong'wu'yuan'hen'xin
刀利伤人指,dao'li'shang'ren'zhi
道路各别,dao'lu'ge'bie
道吾恶者是吾师,dao'wu'e'zhe'shi'wu'shi
道吾好者是吾贼,dao'wu'hao'zhe'shi'wu'zei
道院迎仙客,dao'yuan'ying'xian'ke
盗贼出于赌博,dao'zei'chu'yu'du'bo
得高歌处且高歌,de'gao'ge'chu'qie'gao'ge
得耐且耐,de'nai'qie'nai
得忍且忍,de'ren'qie'ren
得缩头时且缩头,de'suo'tou'shi'qie'suo'tou
得意浓时便可休,de'yi'nong'shi'bian'ke'xiu
等我回头看,deng'wo'hui'tou'kan
地利不如人和,di'li'bu'ru'ren'he
第一莫欺心,di'yi'mo'qi'xin
点点滴在旧窝池,dian'dian'di'zai'jiu'wo'chi
点石化为金,dian'shi'hua'wei'jin
点塔七蹭,dian'ta'qi'ceng
洞口桃花也笑人,dong'kou'tao'hua'ye'xiao'ren
读书须用意,du'shu'xu'yong'yi
多见多闻,duo'jian'duo'wen
多少少年亡,duo'shao'shao'nian'wang
恶必早亡,e'bi'zao'wang
恶妇令夫败,e'fu'ling'fu'bai
恶化有余,e'hua'you'yu
恶人终受恶人磨,e'ren'zhong'shou'e'ren'mo
恶事传千里,e'shi'chuan'qian'li
恶事莫为,e'shi'mo'wei
恶有恶报,e'you'e'bao
恶语伤人恨不消,e'yu'shang'ren'hen'bu'xiao
恶语易施,e'yu'yi'shi
儿孙自有儿孙福,er'sun'zi'you'er'sun'fu
耳闻不如眼见,er'wen'bu'ru'yan'jian
反复之水,fan'fu'zhi'shui
反顾何益,fan'gu'he'yi
烦恼皆因强出头,fan'nao'jie'yin'qiang'chu'tou
凡人不可貌相,fan'ren'bu'ke'mao'xiang
凡事要好,fan'shi'yao'hao
反失一肘羊,fan'shi'yi'zhou'yang
反以我为仇,fan'yi'wo'wei'chou
防意如城,fang'yi'ru'cheng
非亲却是亲,fei'qin'que'shi'qin
风流不在着衣多,feng'liu'bu'zai'zhuo'yi'duo
风流浪子莫教贫,feng'liu'lang'zi'mo'jiao'pin
逢人且说三分话,feng'ren'qie'shuo'san'fen'hua
富从升合起,fu'cong'sheng'he'qi
富贵不须娇,fu'gui'bu'xu'jiao
富贵定要依本分,fu'gui'ding'yao'yi'ben'fen
富贵多忧,fu'gui'duo'you
富贵似花枝,fu'gui'si'hua'zhi
富贵在天,fu'gui'zai'tian
夫妻相和好,fu'qi'xiang'he'hao
夫妻义重也分离,fu'qi'yi'zhong'ye'fen'li
富人思来年,fu'ren'si'lai'nian
浮生空自忙,fu'sheng'kong'zi'mang
覆水难收,fu'shui'nan'shou
富要富得清高,fu'yao'fu'de'qing'gao
富在深山有远亲,fu'zai'shen'shan'you'yuan'qin
父子亲而家不退,fu'zi'qin'er'jia'bu'tui
根深不怕风摇动,gen'shen'bu'pa'feng'yao'dong
更有早行人,geng'you'zao'xing'ren
公道世间唯白发,gong'dao'shi'jian'wei'bai'fa
公侯肚内好撑船,gong'hou'du'nei'hao'cheng'chuan
古人不见今时月,gu'ren'bu'jian'jin'shi'yue
故乡人,gu'xiang'ren
官从何处来,guan'cong'he'chu'lai
官法如炉,guan'fa'ru'lu
观今宜鉴古,guan'jin'yi'jian'gu
观看容颜便得知,guan'kan'rong'yan'bian'de'zhi
官清书吏瘦,guan'qing'shu'li'shou
官有公法,guan'you'gong'fa
光阳似箭,guang'yang'si'jian
贵人头上不曾饶,gui'ren'tou'shang'bu'ceng'rao
国乱思良将,guo'luan'si'liang'jiang
国清才子贵,guo'qing'cai'zi'gui
海水不可斗量,hai'shui'bu'ke'dou'liang
还嫌猪无糟,hai'xian'zhu'wu'zao
还有挑脚汉,hai'you'tiao'jiao'han
蒿草之下还有兰香,hao'cao'zhi'xia'hai'you'lan'xiang
豪强一定受官刑,hao'qiang'yi'ding'shou'guan'xing
好事不出门,hao'shi'bu'chu'men
好事不如无,hao'shi'bu'ru'wu
好学者如禾如稻,hao'xue'zhe'ru'he'ru'dao
好学者则庶民之子为公卿,hao'xue'zhe'ze'shu'min'zhi'zi'wei'gong'qing
好言难得,hao'yan'nan'de
何不回头把己量,he'bu'hui'tou'ba'ji'liang
和得邻里好,he'de'lin'li'hao
合理可作,he'li'ke'zuo
河狭水激,he'xia'shui'ji
何用灵山朝世尊,he'yong'ling'shan'chao'shi'zun
黑发不知勤学早,hei'fa'bu'zhi'qin'xue'zao
红粉佳人休便老,hong'fen'jia'ren'xiu'bian'lao
后到为臣,hou'dao'wei'chen
护短莫从师,hu'duan'mo'cong'shi
虎落平阳被犬欺,hu'luo'ping'yang'bei'quan'qi
虎身犹可近,hu'shen'you'ke'jin
虎生虎儿,hu'sheng'hu'er
壶中日月长,hu'zhong'ri'yue'chang
画龙画虎难画骨,hua'long'hua'hu'nan'hua'gu
画水无风空作浪,hua'shui'wu'feng'kong'zuo'lang
花无百日红,hua'wu'bai'ri'hong
黄河尚有澄清日,huang'he'shang'you'deng'qing'ri
黄金散尽为收书,huang'jin'san'jin'wei'shou'shu
黄金未为贵,huang'jin'wei'wei'gui
黄金无假,huang'jin'wu'jia
诲汝谆谆,hui'ru'zhun'zhun
会使不在家豪富,hui'shi'bu'zai'jia'hao'fu
会说说都市,hui'shuo'shuo'du'shi
昏昏醉到酉,hun'hun'zui'dao'you
祸从天上落,huo'cong'tian'shang'luo
嫉财莫嫉食,ji'cai'mo'ji'shi
记得旧文章,ji'de'jiu'wen'zhang
积德与儿孙,ji'de'yu'er'sun
及第必争先,ji'di'bi'zheng'xian
几多白屋出公卿,ji'duo'bai'wu'chu'gong'qing
既堕釜甑,ji'duo'fu'zeng
积谷防饥,ji'gu'fang'ji
济济之士为酒所伤,ji'ji'zhi'shi'wei'jiu'suo'shang
积金千两,ji'jin'qian'liang
鸡鸣早看天,ji'ming'zao'kan'tian
急难何曾见一人人情似纸张张薄,ji'nan'he'ceng'jian'yi'ren'ren'qing'si'zhi'zhang'zhang'bao
积钱积谷不如积德,ji'qian'ji'gu'bu'ru'ji'de
济人须济急时无,ji'ren'xu'ji'ji'shi'wu
急时报佛脚,ji'shi'bao'fo'jiao
击石原有火,ji'shi'yuan'you'huo
集韵增广,ji'yun'zeng'guang
假缎染就真红色,jia'duan'ran'jiu'zhen'hong'se
家富小儿娇,jia'fu'xiao'er'jiao
家计渐渐消,jia'ji'jian'jian'xiao
家贫思贤妻,jia'pin'si'xian'qi
架上碗儿轮流转,jia'shang'wan'er'lun'liu'zhuan
家无读书子,jia'wu'du'shu'zi
家中不和邻里欺,jia'zhong'bu'he'lin'li'qi
家中有剩饭,jia'zhong'you'sheng'fan
见恶如探汤,jian'e'ru'tan'tang
见官莫向前,jian'guan'mo'xiang'qian
见善如不及,jian'shan'ru'bu'ji
见事莫说,jian'shi'mo'shuo
见者易,jian'zhe'yi
将相头顶堪走马,jiang'xiang'tou'ding'kan'zou'ma
将心比心,jiang'xin'bi'xin
结交须胜己,jie'jiao'xu'sheng'ji
近来学得乌龟法,jin'lai'xue'de'wu'gui'fa
近山识鸟音,jin'shan'shi'niao'yin
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
近水知鱼性,jin'shui'zhi'yu'xing
今月曾经照古人,jin'yue'ceng'jing'zhao'gu'ren
今朝有酒今朝醉,jin'zhao'you'jiu'jin'zhao'zui
静处安身,jing'chu'an'shen
酒不解真愁,jiu'bu'jie'zhen'chou
酒逢知己饮,jiu'feng'zhi'ji'yin
九牛拔不出,jiu'niu'ba'bu'chu
救人一命,jiu'ren'yi'ming
酒中不语真君子,jiu'zhong'bu'yu'zhen'jun'zi
久住令人贱,jiu'zhu'ling'ren'jian
居安思危,ju'an'si'wei
惧法朝朝乐,ju'fa'zhao'zhao'le
举头三尺有神明,ju'tou'san'chi'you'shen'ming
君子爱财,jun'zi'ai'cai
君子安贫,jun'zi'an'pin
君子固穷,jun'zi'gu'qiong
君子乐得做君子,jun'zi'le'de'zuo'jun'zi
看看又是白头翁,kan'kan'you'shi'bai'tou'weng
看你横行到几时,kan'ni'heng'xing'dao'ji'shi
客来主不顾,ke'lai'zhu'bu'gu
渴时一滴如甘露,ke'shi'yi'di'ru'gan'lu
恐防年老不多时,kong'fang'nian'lao'bu'duo'shi
口说不如身逢,kou'shuo'bu'ru'shen'feng
枯木逢春犹再发,ku'mu'feng'chun'you'zai'fa
快生心事过恐生殃,kuai'sheng'xin'shi'guo'kong'sheng'yang
来如风雨,lai'ru'feng'yu
来说是非者,lai'shuo'shi'fei'zhe
老大徒伤悲,lao'da'tu'shang'bei
利剑割体疮犹合,li'jian'ge'ti'chuang'you'he
礼轻仁义重,li'qing'ren'yi'zhong
利如刀割,li'ru'dao'ge
力弱休负重,li'ruo'xiu'fu'zhong
礼义生于富足,li'yi'sheng'yu'fu'zu
两人一条心,liang'ren'yi'tiao'xin
粮田万顷,liang'tian'wan'qing
良药苦口利于病,liang'yao'ku'kou'li'yu'bing
临老始看经,lin'lao'shi'kan'jing
邻里不和说是非,lin'li'bu'he'shuo'shi'fei
留得五湖明月在,liu'de'wu'hu'ming'yue'zai
流水下滩非有意,liu'shui'xia'tan'fei'you'yi
留些阴德在后头,liu'xie'yin'de'zai'hou'tou
留与儿孙夜读书,liu'yu'er'sun'ye'du'shu
留与子孙耕,liu'yu'zi'sun'geng
龙归晚洞云犹湿,long'gui'wan'dong'yun'you'shi
龙生龙子,long'sheng'long'zi
龙游浅水遭虾戏,long'you'qian'shui'zao'xia'xi
路不铲不平,lu'bu'chan'bu'ping
路逢侠客须呈剑,lu'feng'xia'ke'xu'cheng'jian
路逢险处难回避,lu'feng'xian'chu'nan'hui'bi
鹿过春山草木香,lu'guo'chun'shan'cao'mu'xiang
路上有饥人,lu'shang'you'ji'ren
路遥知马力,lu'yao'zhi'ma'li
马行皆因瘦,ma'hang'jie'yin'shou
马牛如襟裾,ma'niu'ru'jin'ju
马善被人骑,ma'shan'bei'ren'qi
马瘦毛长,ma'shou'mao'chang
马无夜草不肥,ma'wu'ye'cao'bu'fei
卖了屋,mai'le'wu
买田买地不如买书,mai'tian'mai'di'bu'ru'mai'shu
茫茫四海人无数,mang'mang'si'hai'ren'wu'shu
茅茨之屋或有侯王,mao'ci'zhi'wu'huo'you'hou'wang
美不美,mei'bu'mei
蒙蒙作公卿,meng'meng'zuo'gong'qing
免得百日之忧,mian'de'bai'ri'zhi'you
苗从地发,miao'cong'di'fa
灭却心头火,mie'que'xin'tou'huo
民有私约,min'you'si'yue
命里无时莫强求,ming'li'wu'shi'mo'qiang'qiu
命里有时终须有,ming'li'you'shi'zhong'xu'you
明日愁来明日忧,ming'ri'chou'lai'ming'ri'you
明知山有虎,ming'zhi'shan'you'hu
莫把无时当有时,mo'ba'wu'shi'dang'you'shi
莫把真心空计较,mo'ba'zhen'xin'kong'ji'jiao
莫待是非来入耳,mo'dai'shi'fei'lai'ru'er
磨刀恨不利,mo'dao'hen'bu'li
莫道君行早,mo'dao'jun'xing'zao
莫将容易得,mo'jiang'rong'yi'de
莫恋浅滩头,mo'lian'qian'tan'tou
莫骂酉时妻,mo'ma'you'shi'qi
莫添一口,mo'tian'yi'kou
莫为儿孙作马牛,mo'wei'er'sun'zuo'ma'niu
莫问前程,mo'wen'qian'cheng
莫羡他人富,mo'xian'ta'ren'fu
莫向虎山行,mo'xiang'hu'shan'xing
莫笑他人老,mo'xiao'ta'ren'lao
莫信直中直,mo'xin'zhi'zhong'zhi
莫饮卯时酒,mo'yin'mao'shi'jiu
莫怨太阳倾,mo'yuan'tai'yang'qing
莫怨天来莫怨人,mo'yuan'tian'lai'mo'yuan'ren
莫怨自己穷,mo'yuan'zi'ji'qiong
牡丹花好空入目,mu'dan'hua'hao'kong'ru'mu
哪个男儿是丈夫美酒酿成缘好客,na'ge'nan'er'shi'zhang'fu'mei'jiu'niang'cheng'yuan'hao'ke
那个人前不说人,na'ge'ren'qian'bu'shuo'ren
那有相打得太平,na'you'xiang'da'de'tai'ping
钠之以礼,na'zhi'yi'li
奈五行,nai'wu'xing
闹里有钱,nao'li'you'qian
逆天者亡,ni'tian'zhe'wang
年年防饥,nian'nian'fang'ji
念念有如临敌日,nian'nian'you'ru'lin'di'ri
鸟为食亡,niao'wei'shi'wang
宁可人负我,ning'ke'ren'fu'wo
宁可信其有,ning'ke'xin'qi'you
宁可正而不足,ning'ke'zheng'er'bu'zu
宁可直中取,ning'ke'zhi'zhong'qu
宁添一斗,ning'tian'yi'dou
贫寒休要怨,pin'han'xiu'yao'yuan
贫居闹市无人问,pin'ju'nao'shi'wu'ren'wen
频来亲也疏,pin'lai'qin'ye'shu
贫穷不用再思量,pin'qiong'bu'yong'zai'si'liang
贫穷自在,pin'qiong'zi'zai
贫无达士将金赠,pin'wu'da'shi'jiang'jin'zeng
贫因不算来,pin'yin'bu'suan'lai
平生莫作皱眉事,ping'sheng'mo'zuo'zhou'mei'shi
平生只会说人短,ping'sheng'zhi'hui'shuo'ren'duan
欺公日日忧,qi'gong'ri'ri'you
岂可教人枉度春,qi'ke'jiao'ren'wang'du'chun
岂可人无得运时得宠思辱,qi'ke'ren'wu'de'yun'shi'de'chong'si'ru
欺老莫欺少,qi'lao'mo'qi'shao
欺人是祸,qi'ren'shi'huo
欺少心不明,qi'shao'xin'bu'ming
妻贤夫祸少,qi'xian'fu'huo'shao
岂知黄雀在后,qi'zhi'huang'que'zai'hou
钱财如粪土,qian'cai'ru'fen'tu
前程暗似漆,qian'cheng'an'si'qi
千金不移,qian'jin'bu'yi
千经万典,qian'jing'wan'dian
千里送毫毛,qian'li'song'hao'mao
千人传实,qian'ren'chuan'shi
墙有缝,qiang'you'feng
强中更有强中手,qiang'zhong'geng'you'qiang'zhong'shou
切莫我负人,qie'mo'wo'fu'ren
亲不亲,qin'bu'qin
勤俭粮满仓,qin'jian'liang'man'cang
琴瑟与笙簧,qin'se'yu'sheng'huang
禽兽之徒,qin'shou'zhi'tu
情理难容,qing'li'nan'rong
请请之水为土所防,qing'qing'zhi'shui'wei'tu'suo'fang
晴天不肯去,qing'tian'bu'ken'qu
穷人思眼前,qiong'ren'si'yan'qian
穷要穷得干净,qiong'yao'qiong'dei'gan'jing
求财恨不多,qiu'cai'hen'bu'duo
求人不如求己,qiu'ren'bu'ru'qiu'ji
求人须求大丈夫,qiu'ren'xu'qiu'da'zhang'fu
秋至满山多秀色,qiu'zhi'man'shan'duo'xiu'se
去时终须去,qu'shi'zhong'xu'qu
去似微尘,qu'si'wei'chen
取之有道,qu'zhi'you'dao
劝君莫将油抄菜,quan'jun'mo'jiang'you'chao'cai
劝人架屋,quan'ren'jia'wu
劝人莫作,quan'ren'mo'zuo
劝人养鹅,quan'ren'yang'e
饶人不是痴汉,rao'ren'bu'shi'chi'han
饶人是福,rao'ren'shi'fu
饶人算之本,rao'ren'suan'zhi'ben
饶一着,rao'yi'zhao
人不风流只为贫,ren'bu'feng'liu'zhi'wei'pin
人不劝不善,ren'bu'quan'bu'shan
人不通古今,ren'bu'tong'gu'jin
人到公门正好修,ren'dao'gong'men'zheng'hao'xiu
人到中年万事休,ren'dao'zhong'nian'wan'shi'xiu
忍得一时之气,ren'de'yi'shi'zhi'qi
人毒不堪亲,ren'du'bu'kan'qin
人恶人怕天不怕,ren'e'ren'pa'tian'bu'pa
人而无信,ren'er'wu'xin
人急计生,ren'ji'ji'sheng
人见白头填,ren'jian'bai'tou'tian
人间私语,ren'jian'si'yu
人老心不老,ren'lao'xin'bu'lao
人贫不语,ren'pin'bu'yu
