董郊原,dong'jiao'yuan
高观澜,gao'guan'lan
胡秉虔,hu'bing'qian
黄钺,huang'yue
郏抡达,jia'lun'da
江采萍,jiang'cai'ping
刘曾騄,liu'ceng'lu
刘彧,liu'yu
潘柽章,pan'cheng'zhang
潘挹奎,pan'yi'kui
沈葆桢,shen'bao'zhen
童赓年,tong'geng'nian
完颜腾宇,wan'yan'teng'yu
王清惠,wang'qing'hui
王驭超,wang'yu'chao
汪兆镛,wang'zhao'yong
吴藻,wu'zao
吴之珽,wu'zhi'ting
谢道韫,xie'dao'yun
谢杲,xie'gao
严蕊,yan'rui
杨循吉,yang'xun'ji
庾信,yu'xin
鱼翼,yu'yi
郑相如,zheng'xiang'ru
左芬,zuo'fen
