阿比比比基拉,a'bi'bi'bi'ji'la
阿尔弗雷德厄特,a'er'fu'lei'de'e'te
阿拉木斯,a'la'mu'si
阿兰米蒙,a'lan'mi'meng
阿明佐杰勒,a'ming'zuo'jie'le
艾迪兰格,ai'di'lan'ge
艾弗里布伦戴奇,ai'fu'li'bu'lun'dai'qi
埃蒙斯,ai'meng'si
艾瓦巴兰格鲁德,ai'wa'ba'lan'ge'lu'de
安打,an'da
鞍马,an'ma
安全上垒,an'quan'shang'lei
奥布莱思,ao'bu'lai'si
奥林匹克,ao'lin'pi'ke
奥林匹克村,ao'lin'pi'ke'cun
奥林匹克颂,ao'lin'pi'ke'song
奥林匹克体育场,ao'lin'pi'ke'ti'yu'chang
奥运冠军,ao'yun'guan'jun
奥运会,ao'yun'hui
奥运会开幕式,ao'yun'hui'kai'mu'shi
奥运会团体成绩排行榜,ao'yun'hui'tuan'ti'cheng'ji'pai'hang'bang
奥运会志愿者,ao'yun'hui'zhi'yuan'zhe
奥运会主题歌,ao'yun'hui'zhu'ti'ge
奥运会组委会,ao'yun'hui'zu'wei'hui
奥运圣火,ao'yun'sheng'huo
巴投,ba'tou
巴震,ba'zhen
白安琪,bai'an'qi
败场,bai'chang
白带,bai'dai
摆短,bai'duan
白发全,bai'fa'quan
白黄带,bai'huang'dai
摆踢,bai'ti
败投,bai'tou
白远韶,bai'yuan'shao
百折不屈,bai'zhe'bu'qu
半长胶,ban'chang'jiao
半防守,ban'fang'shou
邦妮布莱尔,bang'ni'bu'lai'er
棒球,bang'qiu
棒球场,bang'qiu'chang
保持身体,bao'chi'shen'ti
爆冲,bao'chong
抱单腿摔,bao'dan'tui'shuai
包揽,bao'lan
抱双腿摔,bao'shuang'tui'shuai
保送,bao'song
保送上垒,bao'song'shang'lei
暴挑,bao'tiao
暴投,bao'tou
抱腿摔,bao'tui'shuai
背后控制,bei'hou'kong'zhi
背控,bei'kong
背身整理道服,bei'shen'zheng'li'dao'fu
本垒,ben'lei
本垒裁判,ben'lei'cai'pan
本垒打,ben'lei'da
奔球,ben'qiu
蹦床,beng'chuang
崩袈裟固,beng'jia'sha'gu
彼得尤伯罗斯,bi'de'you'bo'luo'si
比赛停止球,bi'sai'ting'zhi'qiu
毕氏转体,bi'shi'zhuan'ti
比约戴利,bi'yue'dai'li
变化球,bian'hua'qiu
边界传,bian'jie'chuan
边线,bian'xian
并步,bing'bu
并十字绞,bing'shi'zi'jiao
博尔特,bo'er'te
波萨那,bo'sa'na
布兰科尔斯科恩,bu'lan'ke'er'si'ke'en
捕手,bu'shou
捕手面罩,bu'shou'mian'zhao
擦棒球,ca'bang'qiu
蔡光亮,cai'guang'liang
蔡家东,cai'jia'dong
蔡赟,cai'yun
蔡泽林,cai'ze'lin
蔡振华,cai'zhen'hua
残垒数,can'lei'shu
曹棉英,cao'mian'ying
曹硕,cao'shuo
曹缘,cao'yuan
曹忠荣,cao'zhong'rong
侧滑步,ce'hua'bu
侧控,ce'kong
侧拧,ce'ning
侧骑乘式,ce'qi'cheng'shi
侧骑乘位,ce'qi'cheng'wei
侧桥,ce'qiao
侧上下,ce'shang'xia
侧踢,ce'ti
侧向控制,ce'xiang'kong'zhi
侧向起桥,ce'xiang'qi'qiao
侧移步,ce'yi'bu
曾春蕾,ceng'chun'lei
柴飚,chai'biao
场地自行车,chang'di'zi'xing'che
常建平,chang'jian'ping
长胶,chang'jiao
常静春,chang'jing'chun
常思,chang'si
场外球,chang'wai'qiu
超身球,chao'shen'qiu
撤步,che'bu
陈程,chen'cheng
陈翠婷倒叉,chen'cui'ting'dao'cha
陈德康,chen'de'kang
陈定,chen'ding
陈飞,chen'fei
陈江华,chen'jiang'hua
陈金,chen'jin
陈锦燕,chen'jin'yan
谌龙,chen'long
陈璐怡,chen'lu'yi
陈楠,chen'nan
陈其遒,chen'qi'qiu
陈倩,chen'qian
陈荣,chen'rong
陈若琳,chen'ruo'lin
陈世益,chen'shi'yi
陈韦伍,chen'wei'wu
陈文斌,chen'wen'bin
陈晓冬,chen'xiao'dong
陈晓君,chen'xiao'jun
陈晓丽,chen'xiao'li
陈雄,chen'xiong
陈一冰,chen'yi'bing
陈寅,chen'yin
陈颖,chen'ying
陈祚,chen'zuo
成昌松,cheng'chang'song
程菲跳,cheng'fei'tiao
程飞轶,cheng'fei'yi
程明,cheng'ming
程文,cheng'wen
程勇民,cheng'yong'min
程志山,cheng'zhi'shan
重根,chong'gen
楚金玲,chu'jin'ling
出局,chu'ju
出赛次数,chu'sai'ci'shu
触身球,chu'shen'qiu
踹燕,chuai'yan
踹转,chuai'zhuan
串毽子小翻,chuan'jian'zi'xiao'fan
传球,chuan'qiu
崔登荣,cui'deng'rong
崔秋霞,cui'qiu'xia
崔树青,cui'shu'qing
崔新东,cui'xin'dong
崔志德,cui'zhi'de
搓长,cuo'chang
搓球,cuo'qiu
大背负落,da'bei'fu'luo
打带跑,da'dai'pao
打点,da'dian
大方靶,da'fang'ba
打击率,da'ji'lv
打击手,da'ji'shou
打击顺序,da'ji'shun'xu
打击位置,da'ji'wei'zhi
打空,da'kong
大力抽杀,da'li'chou'sha
达米拉诺,da'mi'la'nuo
大内刈,da'nei'yi
大外落,da'wai'luo
大外刈,da'wai'yi
达维德杜耶,da'wei'de'du'ye
打席,da'xi
大腰,da'yao
代打,dai'da
戴骏,dai'jun
戴小祥,dai'xiao'xiang
单臂大回环,dan'bi'da'hui'huan
单打,dan'da
单丹娜,dan'dan'na
单杠,dan'gang
