阿尔玛尼格拉,a'er'ma'ni'ge'la
阿卡拉,a'ka'la
阿卡娜,a'ka'na
阿卡娜的符号,a'ka'na'de'fu'hao
阿卡娜的诡计,a'ka'na'de'gui'ji
阿卡娜的死亡之杖,a'ka'na'de'si'wang'zhi'zhang
阿卡娜的头,a'ka'na'de'tou
阿卡娜的血肉,a'ka'na'de'xue'rou
阿凯尼的荣耀,a'kai'ni'de'rong'yao
艾巴当,ai'ba'dang
艾德,ai'de
艾尔,ai'er
艾尔多,ai'er'duo
艾尔多的成长,ai'er'duo'de'cheng'zhang
艾尔多的冷酷凝视,ai'er'duo'de'leng'ku'ning'shi
艾尔多的律动,ai'er'duo'de'lv'dong
艾尔多的欺瞒,ai'er'duo'de'qi'man
艾尔多的守卫,ai'er'duo'de'shou'wei
艾柯,ai'ke
爱里欧克之针,ai'li'ou'ke'zhi'zhen
艾利屈之眼,ai'li'qu'zhi'yan
矮人之星,ai'ren'zhi'xing
艾斯屈塔的脾气,ai'si'qu'ta'de'pi'qi
艾铁力,ai'tie'li
艾文之盾,ai'wen'zhi'dun
安达重生,an'da'chong'sheng
安达门特,an'da'men'te
安达翼面的面貌,an'da'yi'mian'de'mian'mao
安戴尔的全灵,an'dai'er'de'quan'ling
暗黑破坏神,an'hei'po'huai'shen
暗金装备,an'jin'zhuang'bei
安姆,an'mu
安亚,an'ya
奥玛斯,ao'ma'si
巴尔,ba'er
巴尔的仆从,ba'er'de'pu'cong
巴特克的猛击,ba'te'ke'de'meng'ji
白骨矮人,bai'gu'ai'ren
白骨盾牌,bai'gu'dun'pai
白骨头盔,bai'gu'tou'kui
白骨装甲,bai'gu'zhuang'jia
白热,bai're
白色,bai'se
板甲,ban'jia
暴风,bao'feng
暴风雪,bao'feng'xue
暴风之盾,bao'feng'zhi'dun
暴风之结,bao'feng'zhi'jie
暴风之树,bao'feng'zhi'shu
保护盾牌,bao'hu'dun'pai
暴君之棒,bao'jun'zhi'bang
爆开的甲虫,bao'kai'de'jia'chong
爆裂箭,bao'lie'jian
暴怒面甲,bao'nu'mian'jia
剥皮地窖,bao'pi'di'jiao
剥皮森林,bao'pi'sen'lin
剥皮斯特上层,bao'pi'si'te'shang'ceng
剥皮斯特商场,bao'pi'si'te'shang'chang
剥皮斯特梯道,bao'pi'si'te'ti'dao
剥皮斯特下层,bao'pi'si'te'xia'ceng
暴躁外皮,bao'zao'wai'pi
北极号角,bei'ji'hao'jiao
北极捆缚,bei'ji'kun'fu
北极毛皮,bei'ji'mao'pi
北极手套,bei'ji'shou'tao
北极装置,bei'ji'zhuang'zhi
悲痛之厅,bei'tong'zhi'ting
比尔长刀,bi'er'chang'dao
庇护所,bi'hu'suo
庇护之弓,bi'hu'zhi'gong
匕首,bi'shou
毕须博须,bi'xu'bo'xu
碧玉爪,bi'yu'zhao
蝙蝠恶魔,bian'fu'e'mo
辩视卷,bian'shi'juan
辩视卷轴,bian'shi'juan'zhou
辩视书,bian'shi'shu
变形术,bian'xing'shu
边缘,bian'yuan
标枪,biao'qiang
冰弹,bing'dan
冰冻,bing'dong
冰冻高地,bing'dong'gao'di
冰冻怪魔,bing'dong'guai'mo
冰冻苔原,bing'dong'tai'yuan
冰风暴,bing'feng'bao
冰封球,bing'feng'qiu
冰封装甲,bing'feng'zhuang'jia
冰河,bing'he
冰河路径,bing'he'lu'jing
冰箭,bing'jian
冰尖柱,bing'jian'zhu
冰窖,bing'jiao
冰冷之原,bing'leng'zhi'yuan
冰拳,bing'quan
冰鹰,bing'ying
冰之囚,bing'zhi'qiu
剥壳凹槽,bo'ke'ao'cao
波形刀,bo'xing'dao
布尔凯索,bu'er'kai'suo
布尔凯索的部族守护,bu'er'kai'suo'de'bu'zu'shou'hu
布尔凯索的孩子,bu'er'kai'suo'de'hai'zi
布尔凯索的神圣代价,bu'er'kai'suo'de'shen'sheng'dai'jia
布尔凯索之戒,bu'er'kai'suo'zhi'jie
布甲,bu'jia
不洁的凡塔,bu'jie'de'fan'ta
布理撒多凱南,bu'li'sa'duo'kai'nan
布瑞姆,bu'rui'mu
不朽之王,bu'xiu'zhi'wang
不朽之王的灵魂牢宠,bu'xiu'zhi'wang'de'ling'hun'lao'chong
不朽之王的熔炉,bu'xiu'zhi'wang'de'rong'lu
不朽之王的碎魂者,bu'xiu'zhi'wang'de'sui'hun'zhe
不朽之王的琐事,bu'xiu'zhi'wang'de'suo'shi
不朽之王的意志,bu'xiu'zhi'wang'de'yi'zhi
不朽之王之柱,bu'xiu'zhi'wang'zhi'zhu
财富,cai'fu
彩虹刻面,cai'hong'ke'mian
残酷镰刀,can'ku'lian'dao
残酷头盔,can'ku'tou'kui
残酷吓阻,can'ku'xia'zu
残酷之杖,can'ku'zhi'zhang
灿烂,can'lan
查,cha
查姆,cha'mu
长匕首,chang'bi'shou
长柄武器,chang'bing'wu'qi
长柄战斧,chang'bing'zhan'fu
长钉恶魔,chang'ding'e'mo
长杆武器,chang'gan'wu'qi
长弓,chang'gong
长攻城弓,chang'gong'cheng'gong
长棍,chang'gun
长戟,chang'ji
长剑,chang'jian
长巨战弓,chang'ju'zhan'gong
长矛,chang'mao
长枪,chang'qiang
长战斗弓,chang'zhan'dou'gong
嘲弄,chao'nong
