阿氏拖网,a'shi'tuo'wang
埃克曼层,ai'ke'man'ceng
埃克曼抽吸,ai'ke'man'chou'xi
埃克曼螺旋,ai'ke'man'luo'xuan
埃克曼深度,ai'ke'man'shen'du
埃克曼输送,ai'ke'man'shu'song
岸冰,an'bing
岸礁,an'jiao
澳大利亚,ao'da'li'ya
白浪,bai'lang
半潮面,ban'chao'mian
半岛,ban'dao
斑礁,ban'jiao
板块,ban'kuai
板块边界,ban'kuai'bian'jie
斑块分布,ban'kuai'fen'bu
板块构造学,ban'kuai'gou'zao'xue
板块会聚,ban'kuai'hui'ju
板块碰撞,ban'kuai'peng'zhuang
板内火山活动,ban'nei'huo'shan'huo'dong
半潜式钻井装置,ban'qian'shi'zuan'jing'zhuang'zhi
半日潮,ban'ri'chao
瓣鳃类幼体,ban'sai'lei'you'ti
半咸水种,ban'xian'shui'zhong
半远洋沉积,ban'yuan'yang'chen'ji
板桩,ban'zhuang
饱和度异常,bao'he'du'yi'chang
饱和潜水,bao'he'qian'shui
饱和深度,bao'he'shen'du
堡礁,bao'jiao
抱球虫软泥,bao'qiu'chong'ruan'ni
暴涛,bao'tao
暴涌,bao'yong
北冰洋,bei'bing'yang
倍潮,bei'chao
北大西洋深层水,bei'da'xi'yang'shen'ceng'shui
被动大陆边缘,bei'dong'da'lu'bian'yuan
北方两洋分布,bei'fang'liang'yang'fen'bu
北极水,bei'ji'shui
贝类学,bei'lei'xue
北美洲板块,bei'mei'zhou'ban'kuai
贝尼奥夫带,bei'ni'ao'fu'dai
北太浮游生物网,bei'tai'fu'you'sheng'wu'wang
崩碎波,beng'sui'bo
比碱度,bi'jian'du
比容偏差,bi'rong'pian'cha
变温动物,bian'wen'dong'wu
边缘波,bian'yuan'bo
边缘海,bian'yuan'hai
边缘盆地,bian'yuan'pen'di
表层流,biao'ceng'liu
表层取样器,biao'ceng'qu'yang'qi
表层水,biao'ceng'shui
表观耗氧量,biao'guan'hao'yang'liang
标记,biao'ji
标志,biao'zhi
标准海水,biao'zhun'hai'shui
滨外坝,bin'wai'ba
冰川效应,bing'chuan'xiao'ying
冰盖,bing'gai
冰厚,bing'hou
冰架,bing'jia
冰间水道,bing'jian'shui'dao
冰壳,bing'ke
冰期,bing'qi
冰山,bing'shan
冰原,bing'yuan
冰缘线,bing'yuan'xian
波陡,bo'dou
波锋线,bo'feng'xian
波高,bo'gao
渤海,bo'hai
渤海沿岸流,bo'hai'yan'an'liu
波候,bo'hou
波级,bo'ji
波控三角洲,bo'kong'san'jiao'zhou
波浪反射,bo'lang'fan'she
波浪荷载,bo'lang'he'zai
波浪能,bo'lang'neng
波浪爬高,bo'lang'pa'gao
波浪散射,bo'lang'san'she
波浪水槽,bo'lang'shui'cao
波浪水池,bo'lang'shui'chi
波浪推算,bo'lang'tui'suan
波浪衍射,bo'lang'yan'she
波浪预报,bo'lang'yu'bao
波浪折射,bo'lang'zhe'she
波龄,bo'ling
波流,bo'liu
波能谱,bo'neng'pu
波剖面,bo'pou'mian
波群,bo'qun
泊位,bo'wei
波纹,bo'wen
波周期,bo'zhou'qi
补偿流,bu'chang'liu
补偿深度,bu'chang'shen'du
补充群体,bu'chong'qun'ti
补充型捕捞过度,bu'chong'xing'bu'lao'guo'du
不规则波,bu'gui'ze'bo
捕捞过度,bu'lao'guo'du
捕捞能力,bu'lao'neng'li
捕捞强度,bu'lao'qiang'du
捕食,bu'shi
捕食者,bu'shi'zhe
不育分布,bu'yu'fen'bu
参比物质,can'bi'wu'zhi
参比元素,can'bi'yuan'su
残留沉积,can'liu'chen'ji
测波杆,ce'bo'gan
测波仪,ce'bo'yi
侧反射,ce'fan'she
侧扫声呐,ce'sao'sheng'na
测深仪,ce'shen'yi
层化海洋,ceng'hua'hai'yang
叉臂系泊系统,cha'bi'ji'bo'xi'tong
产卵洄游,chan'luan'hui'you
长峰波,chang'feng'bo
常规潜水,chang'gui'qian'shui
长江冲淡水,chang'jiang'chong'dan'shui
长狂涌,chang'kuang'yong
长轻涌,chang'qing'yong
长腕幼体,chang'wan'you'ti
长中涌,chang'zhong'yong
潮波,chao'bo
潮差,chao'cha
潮感电磁场,chao'gan'dian'ci'chang
潮沟,chao'gou
潮混合,chao'hun'he
潮间带,chao'jian'dai
潮控三角洲,chao'kong'san'jiao'zhou
潮龄,chao'ling
潮流,chao'liu
潮流椭圆,chao'liu'tuo'yuan
潮能,chao'neng
潮上带,chao'shang'dai
超深渊带,chao'shen'yuan'dai
超深渊动物,chao'shen'yuan'dong'wu
潮升,chao'sheng
潮滩,chao'tan
潮位,chao'wei
潮位曲线,chao'wei'qu'xian
超微型浮游生物,chao'wei'xing'fu'you'sheng'wu
潮汐,chao'xi
潮汐表,chao'xi'biao
潮汐汊道,chao'xi'cha'dao
潮汐非调和常数,chao'xi'fei'tiao'he'chang'shu
潮汐基准面,chao'xi'ji'zhun'mian
潮汐能,chao'xi'neng
潮汐能发电,chao'xi'neng'fa'dian
潮汐调和常数,chao'xi'tiao'he'chang'shu
潮汐调和分析,chao'xi'tiao'he'fen'xi
潮汐通道,chao'xi'tong'dao
潮下带,chao'xia'dai
潮余流,chao'yu'liu
沉积动力学,chen'ji'dong'li'xue
沉积腐殖质,chen'ji'fu'zhi'zhi
沉积生物,chen'ji'sheng'wu
沉积速率,chen'ji'su'lv
沉积物捕集器,chen'ji'wu'bu'ji'qi
沉积物界面,chen'ji'wu'jie'mian
沉积物通量,chen'ji'wu'tong'liang
沉积作用,chen'ji'zuo'yong
沉井,chen'jing
沉箱,chen'xiang
赤潮,chi'chao
赤道辐合带,chi'dao'fu'he'dai
赤道流,chi'dao'liu
赤道逆流,chi'dao'ni'liu
赤道潜流,chi'dao'qian'liu
重叠冰,chong'die'bing
充分成长风浪,chong'fen'cheng'zhang'feng'lang
虫黄藻,chong'huang'zao
冲击波,chong'ji'bo
冲刷带,chong'shua'dai
重现期,chong'xian'qi
初级生产力,chu'ji'sheng'chan'li
初级生产量,chu'ji'sheng'chan'liang
船舶调头区,chuan'bo'diao'tou'qu
传播异常,chuan'bo'yi'chang
船行波,chuan'hang'bo
船上测定,chuan'shang'ce'ding
船坞,chuan'wu
船用分光光度计,chuan'yong'fen'guang'guang'du'ji
船闸,chuan'zha
垂荡,chui'dang
垂向稳定度,chui'xiang'wen'ding'du
垂直分布,chui'zhi'fen'bu
次表层流,ci'biao'ceng'liu
次表层水,ci'biao'ceng'shui
磁场平静带,ci'chang'ping'jing'dai
次级生产力,ci'ji'sheng'chan'li
次级生产量,ci'ji'sheng'chan'liang
次级种群,ci'ji'zhong'qun
磁条带,ci'tiao'dai
磁蟹幼体,ci'xie'you'ti
存活率,cun'huo'lv
大波平均,da'bo'ping'jun
大潮,da'chao
达尔马提亚岸线,da'er'ma'ti'ya'an'xian
大浪,da'lang
大陆边缘,da'lu'bian'yuan
大陆架,da'lu'jia
大陆架坡折,da'lu'jia'po'zhe
大陆阶地,da'lu'jie'di
大陆隆,da'lu'long
大陆漂移,da'lu'piao'yi
大陆坡,da'lu'po
大陆增生,da'lu'zeng'sheng
大气海盐,da'qi'hai'yan
大气输入,da'qi'shu'ru
大气输送,da'qi'shu'song
大西洋,da'xi'yang
大西洋赤道潜流,da'xi'yang'chi'dao'qian'liu
大西洋型岸线,da'xi'yang'xing'an'xian
大西洋型大陆边缘,da'xi'yang'xing'da'lu'bian'yuan
大西洋中脊,da'xi'yang'zhong'ji
大型底栖生物,da'xing'di'qi'sheng'wu
大型动物,da'xing'dong'wu
大型浮游生物,da'xing'fu'you'sheng'wu
大眼幼体,da'yan'you'ti
大洋板块,da'yang'ban'kuai
大洋对流层,da'yang'dui'liu'ceng
大洋化作用,da'yang'hua'zuo'yong
大洋环流,da'yang'huan'liu
大洋拉斑玄武岩,da'yang'la'ban'xuan'wu'yan
大洋区,da'yang'qu
大洋上层生物,da'yang'shang'ceng'sheng'wu
大洋深层生物,da'yang'shen'ceng'sheng'wu
大洋深渊水层生物,da'yang'shen'yuan'shui'ceng'sheng'wu
大洋生物,da'yang'sheng'wu
大洋中层生物,da'yang'zhong'ceng'sheng'wu
打桩船,da'zhuang'chuan
代表种,dai'biao'zhong
单点系泊,dan'dian'ji'bo
氮磷比,dan'lin'bi
担轮幼体,dan'lun'you'ti
单锚腿,dan'mao'tui
单食性,dan'shi'xing
淡水舌,dan'shui'she
氮循环,dan'xun'huan
单周期,dan'zhou'qi
挡潮堤,dang'chao'di
挡潮闸,dang'chao'zha
导堤,dao'di
导管架桩基平台,dao'guan'jia'zhuang'ji'ping'tai
导航设备,dao'hang'she'bei
岛弧,dao'hu
岛架,dao'jia
岛坡,dao'po
岛式防波堤,dao'shi'fang'bo'di
岛式码头,dao'shi'ma'tou
灯船,deng'chuan
等深流,deng'shen'liu
等深流沉积,deng'shen'liu'chen'ji
灯塔,deng'ta
等温线,deng'wen'xian
等效风区,deng'xiao'feng'qu
等效风时,deng'xiao'feng'shi
等盐线,deng'yan'xian
底表动物,di'biao'dong'wu
底表撬网,di'biao'qiao'wang
底波,di'bo
