矮新星,ai'xin'xing
矮星,ai'xing
矮造父变星,ai'zao'fu'bian'xing
暗伴星,an'ban'xing
暗带,an'dai
暗蓝天体,an'lan'tian'ti
暗星云,an'xing'yun
巴纳德星,ba'na'de'xing
白矮星,bai'ai'xing
半规则变星,ban'gui'ze'bian'xing
半接双星,ban'jie'shuang'xing
伴星,ban'xing
爆发新星,bao'fa'xin'xing
爆后新星,bao'hou'xin'xing
宝女变星型星,bao'nv'bian'xing'xing'xing
爆前超新星,bao'qian'chao'xin'xing
爆前新星,bao'qian'xin'xing
北斗二,bei'dou'er
北斗六,bei'dou'liu
北斗七,bei'dou'qi
北斗三,bei'dou'san
北斗四,bei'dou'si
北斗五,bei'dou'wu
北斗星,bei'dou'xing
北斗一,bei'dou'yi
北河,bei'he
北河三,bei'he'san
北河一,bei'he'yi
北极星,bei'ji'xing
北落师门,bei'luo'shi'men
钡星,bei'xing
本地静止标准,ben'di'jing'zhi'biao'zhun
奔离点,ben'li'dian
臂际星,bi'ji'xing
毕宿,bi'su
毕宿五,bi'su'wu
比星,bi'xing
臂族,bi'zu
扁平次系,bian'ping'ci'xi
扁平子系,bian'ping'zi'xi
变星,bian'xing
不规则变星,bu'gui'ze'bian'xing
不接双星,bu'jie'shuang'xing
不稳定星,bu'wen'ding'xing
参宿,can'su
参宿七,can'su'qi
参宿四,can'su'si
测光解,ce'guang'jie
测光双星,ce'guang'shuang'xing
场星,chang'xing
长周期变星,chang'zhou'qi'bian'xing
长周期造父变星,chang'zhou'qi'zao'fu'bian'xing
超巨星,chao'ju'xing
超新星,chao'xin'xing
尘埃星云,chen'ai'xing'yun
赤比格阿罗天体,chi'bi'ge'a'luo'tian'ti
船帆脉冲唾,chuan'fan'mai'chong'tuo
次星,ci'xing
磁星,ci'xing
窜入星,cuan'ru'xing
大角,da'jiao
大陵,da'ling
大陵变星,da'ling'bian'xing
大陵食变星,da'ling'shi'bian'xing
大陵双星,da'ling'shuang'xing
大陵五,da'ling'wu
大犬型星,da'quan'xing'xing
大质量星,da'zhi'liang'xing
单谱分光双星,dan'pu'fen'guang'shuang'xing
电离氢区,dian'li'qing'qu
陡谱源,dou'pu'yuan
独特变星,du'te'bian'xing
短周期变星,duan'zhou'qi'bian'xing
盾牌型星,dun'pai'xing'xing
发射线星,fa'she'xian'xing
发射星云,fa'she'xing'yun
帆船谱型星,fan'chuan'pu'xing'xing
范马宁星,fan'ma'ning'xing
反射星云,fan'she'xing'yun
反银心方向,fan'yin'xin'fang'xiang
分光解,fen'guang'jie
分光视差,fen'guang'shi'cha
分光双星,fen'guang'shuang'xing
分星,fen'xing
分子云,fen'zi'yun
富氮星,fu'dan'xing
高光度恒星,gao'guang'du'heng'xing
高偏振星,gao'pian'zhen'xing
高速星,gao'su'xing
共重星,gong'zhong'xing
勾陈,gou'chen
古德臂,gu'de'bi
光谱变星,guang'pu'bian'xing
哈佛选区,ha'fo'xuan'qu
氦星,hai'xing
河鼓,he'gu
河鼓二,he'gu'er
核球谱射线源,he'qiu'pu'she'xian'yuan
恒星,heng'xing
恒星包层,heng'xing'bao'ceng
恒星复合体,heng'xing'fu'he'ti
恒星黑子,heng'xing'hei'zi
恒星活动,heng'xing'huo'dong
恒星云,heng'xing'yun
红矮星,hong'ai'xing
红巨星,hong'ju'xing
