阿拉,a'la
巴子,ba'zi
摆标劲,bai'biao'jin
半吊子,ban'diao'zi
宝大祥,bao'da'xiang
触揢,chu'ke
出趟,chu'tang
戳壁脚,chuo'bi'jiao
促狭,cu'xia
抖豁,dou'huo
发飚,fa'biao
翻毛腔,fan'mao'qiang
饭泡粥,fan'pao'zhou
搿搭,ge'da
刮讪,gua'shan
混腔势,hun'qiang'shi
空麻袋背米,kong'ma'dai'bei'mi
赖三,lai'san
落场势,luo'chang'shi
卖相,mai'xiang
面孔,mian'kong
拗造型,niu'zao'xing
侬好,nong'hao
牵丝扳藤,qian'si'ban'teng
腔调,qiang'diao
汰浴,tai'yu
淘浆糊,tao'jiang'hu
头皮翘,tou'pi'qiao
脱头落襻,tuo'tou'luo'pan
殟塞,wen'sai
焐心,wu'xin
吓人捣怪,xia'ren'dao'guai
瞎三话四,xia'san'hua'si
伊拉,yi'la
揝劲,zan'jin
扎台型,zha'tai'xing
