阿拉伯狒狒,a'la'bo'fei'fei
阿拉伯塔尔羊,a'la'bo'ta'er'yang
阿拉伯长角羚,a'la'bo'zhang'jiao'ling
阿氏夜猴,a'shi'ye'hou
安岛海狗,an'dao'hai'gou
安第斯伶猴,an'di'si'ling'hou
安哥拉疣猴,an'ge'la'you'hou
暗黑伶猴,an'hei'ling'hou
暗色斑纹海豚,an'se'ban'wen'hai'tun
鞍纹海豹,an'wen'hai'bao
澳海狮,ao'hai'shi
巴岛花鹿,ba'dao'hua'lu
巴拿马松鼠猴,ba'na'ma'song'shu'hou
巴西三绊犰狳,ba'xi'san'ban'qiu'yu
巴西夜猴,ba'xi'ye'hou
白鼻僧面猴,bai'bi'seng'mian'hou
白唇鹿,bai'chun'lu
白点原海豚,bai'dian'yuan'hai'tun
白额卷尾猴,bai'e'juan'wei'hou
白额叶猴,bai'e'ye'hou
白腹麂羚,bai'fu'ji'ling
白腹鲮鲤,bai'fu'ling'li
白喙斑纹海豚,bai'hui'ban'wen'hai'tun
白脸牛羚,bai'lian'niu'ling
白脸僧面猴,bai'lian'seng'mian'hou
白领白脸猴,bai'ling'bai'lian'hou
白领伶猴,bai'ling'ling'hou
白眉长臂猿,bai'mei'chang'bi'yuan
白鳍豚,bai'qi'tun
白腮猴,bai'sai'hou
白僧面猴,bai'seng'mian'hou
白手长臂猿,bai'shou'chang'bi'yuan
白头喙头海豚,bai'tou'hui'tou'hai'tun
白头狨猴,bai'tou'rong'hou
白头叶猴,bai'tou'ye'hou
白秃猴,bai'tu'hou
白臀叶猴,bai'tun'ye'hou
白尾鹿,bai'wei'lu
白尾牛羚,bai'wei'niu'ling
白腰斑纹海豚,bai'yao'ban'wen'hai'tun
白羽狨,bai'yu'rong
白掌长臂猿,bai'zhang'chang'bi'yuan
白长角羚,bai'zhang'jiao'ling
斑海豹,ban'hai'bao
斑羚,ban'ling
斑纹麂羚,ban'wen'ji'ling
斑鼷鹿,ban'xi'lu
斑原海豚,ban'yuan'hai'tun
豹海豹,bao'hai'bao
北海狮,bei'hai'shi
北黑露脊鲸,bei'hei'lou'ji'jing
北极露脊鲸,bei'ji'lou'ji'jing
贝加尔海豹,bei'jia'er'hai'bao
北露脊海豚,bei'lu'ji'hai'tun
北普度鹿,bei'pu'du'lu
北山羊,bei'shan'yang
贝氏新小羚,bei'shi'xin'xiao'ling
北象海豹,bei'xiang'hai'bao
秘鲁马驼鹿,bi'lu'ma'tuo'lu
秘鲁夜猴,bi'lu'ye'hou
玻利维亚伶猴,bo'li'wei'ya'ling'hou
波斯黇鹿,bo'si'tian'lu
布氏夜猴,bu'shi'ye'hou
苍白绿疣猴,cang'bai'lv'you'hou
藏羚,cang'ling
藏酋猴,cang'qiu'hou
藏麝,cang'she
藏原羚,cang'yuan'ling
糙齿长吻海豚,cao'chi'chang'wen'hai'tun
草原鹿,cao'yuan'lu
查科广绊犰狳,cha'ke'guang'ban'qiu'yu
叉形鼠狐猴,cha'xing'shu'hu'hou
长鼻猴,chang'bi'hou
长臂猿科动物,chang'bi'yuan'ke'dong'wu
长颈羚,chang'jing'ling
长毛吼猴,chang'mao'hou'hou
长毛犰狳,chang'mao'qiu'yu
长头麂羚,chang'tou'ji'ling
长尾鲮鲤,chang'wei'ling'li
长尾叶猴,chang'wei'ye'hou
长吻原海豚,chang'wen'yuan'hai'tun
长须鲸,chang'xu'jing
赤斑羚,chi'ban'ling
赤道僧面猴,chi'dao'seng'mian'hou
赤短角鹿,chi'duan'jiao'lu
赤额瞪羚,chi'e'deng'ling
赤猴,chi'hou
赤麂,chi'ji
赤色倭狐猴,chi'se'wo'hu'hou
赤胁麂羚,chi'xie'ji'ling
川金丝猴,chuan'jin'si'hou
粗毛广绊犰狳,cu'mao'guang'ban'qiu'yu
