八卦封印,ba'gua'feng'yin
白眼,bai'yan
半尾兽化,ban'wei'shou'hua
变身术,bian'shen'shu
波风水门,bo'feng'shui'men
博人传,bo'ren'chuan
查克拉,cha'ke'la
查克拉感知,cha'ke'la'gan'zhi
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
超迷你尾兽玉,chao'mi'ni'wei'shou'yu
超兽伪画,chao'shou'wei'hua
川木,chuan'mu
大蛇丸,da'she'wan
大筒木金式,da'tong'mu'jin'shi
大筒木桃式,da'tong'mu'tao'shi
大玉螺旋带连丸,da'yu'luo'xuan'dai'lian'wan
大玉螺旋丸,da'yu'luo'xuan'wan
地爆天星,di'bao'tian'xing
斗之书,dou'zhi'shu
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
恶意感知,e'yi'gan'zhi
风遁,feng'dun
风遁螺旋丸,feng'dun'luo'xuan'wan
蜂谷钓糸,feng'gu'diao'mi
风魔手里剑,feng'mo'shou'li'jian
枸橘神乐,gou'ju'shen'le
怪力,guai'li
鬼灯水月,gui'deng'shui'yue
海野伊鲁卡,hai'ye'yi'lu'ka
貉强盗团一人,hao'qiang'dao'tuan'yi'ren
后宫之术,hou'gong'zhi'shu
荒谷,huang'gu
火影忍者,huo'ying'ren'zhe
笕堇,jian'jin
结乃岩部,jie'nai'yan'bu
净眼,jing'yan
九喇嘛模式,jiu'la'ma'mo'shi
九尾查克拉模式,jiu'wei'cha'ke'la'mo'shi
九尾查克拉之手,jiu'wei'cha'ke'la'zhi'shou
剧场版,ju'chang'ban
勘九郎,kan'jiu'lang
雷门电气,lei'men'dian'qi
雷闪,lei'shan
镰鼬,lian'you
临之书,lin'zhi'shu
六道,liu'dao
六道仙人模式,liu'dao'xian'ren'mo'shi
螺旋乱丸,luo'xuan'luan'wan
螺旋丸,luo'xuan'wan
螺旋吸丸,luo'xuan'xi'wan
梅塔尔李,mei'ta'er'li
萌黄,meng'huang
鸣人连弹,ming'ren'lian'tan
鸣人两千连弹,ming'ren'liang'qian'lian'tan
鸣人四千连弹,ming'ren'si'qian'lian'tan
鸣人一带连弹,ming'ren'yi'dai'lian'tan
明神门,ming'shen'men
木叶隐村,mu'ye'yin'cun
奈良鹿戴,nai'liang'lu'dai
奈良鹿丸,nai'liang'lu'wan
奈良手鞠,nai'liang'shou'ju
奈良一族,nai'liang'yi'zu
逆后宫之术,ni'hou'gong'zhi'shu
宁次,ning'ci
旗木卡卡西,qi'mu'ka'ka'xi
千年杀,qian'nian'sha
潜影蛇手,qian'ying'she'shou
秋道蝶蝶,qiu'dao'die'die
秋道一族,qiu'dao'yi'zu
求道玉,qiu'dao'yu
雀乃泪,que'nai'lei
忍术,ren'shu
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
柔拳,rou'quan
色诱之术,se'you'zhi'shu
山中井野,shan'zhong'jing'ye
山中井阵,shan'zhong'jing'zhen
山中一族,shan'zhong'yi'zu
蛇分身之术,she'fen'shen'zhi'shu
手鞠,shou'ju
手里剑,shou'li'jian
瞬身之术,shun'shen'zhi'shu
巳月,si'yue
特洛伊,te'luo'yi
替身术,ti'shen'shu
通灵之术,tong'ling'zhi'shu
蛙叩,wa'kou
蛙组手,wa'zu'shou
尾兽化,wei'shou'hua
尾兽玉,wei'shou'yu
我爱罗,wo'ai'luo
雾隐三胞胎,wu'yin'san'bao'tai
五影会谈,wu'ying'hui'tan
仙法,xian'fa
仙法螺旋丸,xian'fa'luo'xuan'wan
仙法尾兽玉,xian'fa'wei'shou'yu
仙狐模式,xian'hu'mo'shi
仙人模式,xian'ren'mo'shi
仙术,xian'shu
香燐,xiang'lin
写轮眼,xie'lun'yan
心转身之术,xin'zhuan'shen'zhi'shu
须佐能乎,xu'zuo'neng'hu
漩涡博人,xuan'wo'bo'ren
漩涡雏田,xuan'wo'chu'tian
漩涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡鸣人,xuan'wo'ming'ren
漩涡向日葵,xuan'wo'xiang'ri'kui
伊豆野山葵,yi'dou'ye'shan'kui
医疗忍术,yi'liao'ren'shu
隐蓑纷,yin'suo'fen
阴阳遁,yin'yang'dun
影分身,ying'fen'shen
影分身之术,ying'fen'shen'zhi'shu
樱花冲,ying'hua'chong
影子模仿术,ying'zi'mo'fang'shu
尤鲁伊,you'lu'yi
油女志乃,you'nv'zhi'nai
宇智波流手里剑,yu'zhi'bo'liu'shou'li'jian
宇智波信,yu'zhi'bo'xin
宇智波一族,yu'zhi'bo'yi'zu
宇智波樱,yu'zhi'bo'ying
宇智波佐良娜,yu'zhi'bo'zuo'liang'na
宇智波佐助,yu'zhi'bo'zuo'zhu
猿飞木叶丸,yuan'fei'mu'ye'wan
远野方助,yuan'ye'fang'zhu
者之书,zhe'zhi'shu
证城寺,zheng'cheng'si
中忍考试,zhong'ren'kao'shi
自来也,zi'lai'ye
佐井,zuo'jing
