被打一巴掌,bei'da'yi'ba'zhang
不爽,bu'shuang
得意,de'yi
發現,fa'xian
放大版,fang'da'ban
放好,fang'hao
懷疑,huai'yi
狡猾,jiao'hua
驚嚇,jing'he
驚訝,jing'ya
蝌蚪,ke'dou
滿足,man'zu
貓咪臉,mao'mi'lian
沒辦法,mo'ban'fa
無奈,mo'nai
沒睡醒,mo'shui'xing
無言,mo'yan
乾杯,qian'bei
生氣,sheng'qi
蝸牛,wo'niu
我想想,wo'xiang'xiang
蟑螂,zhang'lang
章魚,zhang'yu
重創,zhong'chuang
中指凸,zhong'zhi'tu
豬頭,zhu'tou
裝傻,zhuang'sha
