阿斗当皇帝,a'dou'dang'huang'di
阿斗的江山,a'dou'de'jiang'shan
阿公吃黄连,a'gong'chi'huang'lian
阿拉伯数字八字分家,a'la'bo'shu'zi'ba'zi'fen'jia
挨鞭子不挨棍子,ai'bian'zi'bu'ai'gun'zi
挨鞭子的日子到了,ai'bian'zi'de'ri'zi'dao'le
挨刀的货,ai'dao'de'huo
挨了棒的狗,ai'le'bang'de'gou
爱上钩,ai'shang'gou
矮子放屁,ai'zi'fang'pi
矮子爬坡,ai'zi'pa'po
矮子骑大马,ai'zi'qi'da'ma
矮子上楼梯,ai'zi'shang'lou'ti
矮子推掌,ai'zi'tui'zhang
矮子坐高凳,ai'zi'zuo'gao'deng
矮子坐高登,ai'zi'zuo'gao'deng
案板底下放风第,an'ban'di'xia'fang'feng'di
案板上砍骨头,an'ban'shang'kan'gu'tou
岸边的青蛙,an'bian'de'qing'wa
按彩球的乞丐,an'cai'qiu'de'qi'gai
暗地里耍拳,an'di'li'shua'quan
按鸡头啄米,an'ji'tou'zhuo'mi
按老方子吃药,an'lao'fang'zi'chi'yao
安禄山起兵,an'lu'shan'qi'bing
庵庙里的尼姑,an'miao'li'de'ni'gu
暗室里穿针,an'shi'li'chuan'zhen
暗喜欢,an'xi'huan
安营扎寨,an'ying'zha'zhai
按着葫芦挖籽,an'zhe'hu'lu'wa'zi
按着脑袋往火炕里钻,an'zhe'nao'dai'wang'huo'kang'li'zuan
按着牛头喝水,an'zhe'niu'tou'he'shui
暗中活动,an'zhong'huo'dong
八百年前立的旗杆,ba'bai'nian'qian'li'de'qi'gan
巴不得,ba'bu'de
拔草引蛇,ba'cao'yin'she
八个老汉划拳,ba'ge'lao'han'hua'quan
八个歪脖坐一桌,ba'ge'wai'bo'zuo'yi'zhuo
拔尖,ba'jian
芭蕉开花,ba'jiao'kai'hua
芭蕉叶上垒鸟窝,ba'jiao'ye'shang'lei'niao'wo
疤瘌眼长疮,ba'la'yan'zhang'chuang
拔了毛的凤凰,ba'le'mao'de'feng'huang
把脸装进裤裆里,ba'lian'zhuang'jin'ku'dang'li
把你往苦里引,ba'ni'wang'ku'li'yin
把人跌闪得好苦,ba'ren'die'shan'de'hao'ku
八十老人吹灯,ba'shi'lao'ren'chui'deng
霸王别姬,ba'wang'bie'ji
八仙过海,ba'xian'guo'hai
八贤王进宫,ba'xian'wang'jin'gong
八月十五吃元宵,ba'yue'shi'wu'chi'yuan'xiao
八月十五的月亮,ba'yue'shi'wu'de'yue'liang
巴掌穿鞋,ba'zhang'chuan'xie
摆布不开,bai'bu'bu'kai
摆不平,bai'bu'ping
白搭工,bai'da'gong
白费神,bai'fei'shen
白费心机,bai'fei'xin'ji
白骨精化美女,bai'gu'jing'hua'mei'nv
白骨精说人话,bai'gu'jing'shuo'ren'hua
百货大楼卖西装,bai'huo'da'lou'mai'xi'zhuang
百斤重担能上肩一两笔杆提不动,bai'jin'zhong'dan'neng'shang'jian'yi'liang'bi'gan'ti'bu'dong
白蜡材结桂花,bai'la'cai'jie'gui'hua
白了尾巴尖的狐狸,bai'le'wei'ba'jian'de'hu'li
柏马屁拍到蹄子上,bai'ma'pi'pai'dao'ti'zi'shang
白娘子遇许仙,bai'niang'zi'yu'xu'xian
白跑,bai'pao
白日做梦,bai'ri'zuo'meng
白送,bai'song
白疼了一场,bai'teng'liao'yi'chang
白天盼月亮,bai'tian'pan'yue'liang
百万雄师下江南,bai'wan'xiong'shi'xia'jiang'nan
白钻空子,bai'zuan'kong'zi
半道上捡个喇叭,ban'dao'shang'jian'ge'la'ba
半斤对八两,ban'jin'dui'ba'liang
半空中骑马,ban'kong'zhong'qi'ma
斑马的脑袋,ban'ma'de'nao'dai
