爱国会,ai'guo'hui
北京台湾青年会,bei'jing'tai'wan'qing'nian'hui
赤色救护会,chi'se'jiu'hu'hui
创世纪诗社,chuang'shi'ji'shi'she
大学法改革促进会,da'xue'fa'gai'ge'cu'jin'hui
党外编联会,dang'wai'bian'lian'hui
党外公共政策研究会,dang'wai'gong'gong'zheng'ce'yan'jiu'hui
党外公政会,dang'wai'gong'zheng'hui
党外人士助选团,dang'wai'ren'shi'zhu'xuan'tuan
党外中央后援会,dang'wai'zhong'yang'hou'yuan'hui
东京台湾青年会,dong'jing'tai'wan'qing'nian'hui
二二八和平日促进会,er'er'ba'he'ping'ri'cu'jin'hui
反共爱国阵线,fan'gong'ai'guo'zhen'xian
港友会,gang'you'hui
高砂青年会,gao'sha'qing'nian'hui
高雄市大众传播业职业工会,gao'xiong'shi'da'zhong'chuan'bo'ye'zhi'ye'gong'hui
工党,gong'dang
关怀中心,guan'huai'zhong'xin
广东台湾革命青年团,guang'dong'tai'wan'ge'ming'qing'nian'tuan
广东台湾学生联合会,guang'dong'tai'wan'xue'sheng'lian'he'hui
国际狮子会台湾总会,guo'ji'shi'zi'hui'tai'wan'zong'hui
黄埔军校同学会,huang'pu'jun'xiao'tong'xue'hui
计程车司机权利促进会,ji'cheng'che'si'ji'quan'li'cu'jin'hui
教师人权促进会,jiao'shi'ren'quan'cu'jin'hui
抗日复土总联盟会,kang'ri'fu'tu'zong'lian'meng'hui
劳动党,lao'dong'dang
劳工联盟,lao'gong'lian'meng
栎社,li'she
留东同乡会,liu'dong'tong'xiang'hui
美国爱荷华大学国际写作计划在台作家联谊会,mei'guo'ai'he'hua'da'xue'guo'ji'xie'zuo'ji'hua'zai'tai'zuo'jia'lian'yi'hui
民进学生联谊会,min'jin'xue'sheng'lian'yi'hui
闽南台湾学生联合会,min'nan'tai'wan'xue'sheng'lian'he'hui
闽台协会,min'tai'xie'hui
民主进步党,min'zhu'jin'bu'dang
民主自由党,min'zhu'zi'you'dang
南盟会,nan'meng'hui
南社,nan'she
农会,nong'hui
启发会,qi'fa'hui
全国自主劳工联盟,quan'guo'zi'zhu'lao'gong'lian'meng
