暗电流,an'dian'liu
靶理论,ba'li'lun
摆动,bai'dong
本底辐射,ben'di'fu'she
变构,bian'gou
变换,bian'huan
变形性,bian'xing'xing
标度理论,biao'du'li'lun
表观,biao'guan
表面增强拉曼光谱学,biao'mian'zeng'qiang'la'man'guang'pu'xue
泊肃叶方程,bo'su'ye'fang'cheng
卟啉症,bu'lin'zheng
布鲁塞尔子,bu'lu'sai'er'zi
步行机,bu'xing'ji
测声计,ce'sheng'ji
侧向扩散,ce'xiang'kuo'san
场电位,chang'dian'wei
超导生物磁强计,chao'dao'sheng'wu'ci'qiang'ji
超级柱,chao'ji'zhu
超灵敏感觉,chao'ling'min'gan'jue
超锐度,chao'rui'du
超微弱发光,chao'wei'ruo'fa'guang
超氧阴离子,chao'yang'yin'li'zi
触角电位图,chu'jiao'dian'wei'tu
传能线密度,chuan'neng'xian'mi'du
串行加工,chuan'xing'jia'gong
刺激作用,ci'ji'zuo'yong
磁生物学,ci'sheng'wu'xue
磁图,ci'tu
磁旋光分光法,ci'xuan'guang'fen'guang'fa
磁圆二色性,ci'yuan'er'se'xing
从属原理,cong'shu'yuan'li
存活曲线,cun'huo'qu'xian
错编,cuo'bian
错译,cuo'yi
蛋白质折叠,dan'bai'zhi'zhe'die
单层囊泡,dan'ceng'nang'pao
单分子层,dan'fen'zi'ceng
单线态氧,dan'xian'tai'yang
单向变化率敏感性,dan'xiang'bian'hua'lv'min'gan'xing
等发光点,deng'fa'guang'dian
低温防护剂,di'wen'fang'hu'ji
低温生物学,di'wen'sheng'wu'xue
电穿孔,dian'chuan'kong
电磁辐射,dian'ci'fu'she
电化学发光,dian'hua'xue'fa'guang
电离辐射,dian'li'fu'she
电流源密度分析,dian'liu'yuan'mi'du'fen'xi
电融合,dian'rong'he
电泳光散射,dian'yong'guang'san'she
电子自旋共振,dian'zi'zi'xuan'gong'zhen
电子自旋共振成象,dian'zi'zi'xuan'gong'zhen'cheng'xiang
定时因子,ding'shi'yin'zi
动物磁性,dong'wu'ci'xing
对称破缺,dui'chen'po'que
躲避干扰反应,duo'bi'gan'rao'fan'ying
额外电流,e'wai'dian'liu
二级结构,er'ji'jie'gou
二色性,er'se'xing
二维核磁共振波谱学,er'wei'he'ci'gong'zhen'bo'pu'xue
二维相关光谱学,er'wei'xiang'guan'guang'pu'xue
二维荧光光谱,er'wei'ying'guang'guang'pu
发光计,fa'guang'ji
发光器,fa'guang'qi
发光细菌,fa'guang'xi'jun
翻转,fan'zhuan
放射毒理学,fang'she'du'li'xue
放射生态学,fang'she'sheng'tai'xue
放射生物学,fang'she'sheng'wu'xue
仿生学,fang'sheng'xue
房室分析,fang'shi'fen'xi
方向选择性,fang'xiang'xuan'ze'xing
肺磁图描记术,fei'ci'tu'miao'ji'shu
非电离辐射,fei'dian'li'fu'she
非双层脂,fei'shuang'ceng'zhi
非随机效应,fei'sui'ji'xiao'ying
分子动力学,fen'zi'dong'li'xue
分子肺,fen'zi'fei
分子轨道法,fen'zi'gui'dao'fa
分子生物物理学,fen'zi'sheng'wu'wu'li'xue
傅里叶,fu'li'ye
辐射防护,fu'she'fang'hu
辐射防护剂,fu'she'fang'hu'ji
辐射剂量学,fu'she'ji'liang'xue
辐射抗性,fu'she'kang'xing
辐射灭菌,fu'she'mie'jun
辐射敏感性,fu'she'min'gan'xing
辐射敏化剂,fu'she'min'hua'ji
辐射生物物理学,fu'she'sheng'wu'wu'li'xue
辐射生物学,fu'she'sheng'wu'xue
辐射损伤,fu'she'sun'shang
辐射质,fu'she'zhi
辐射致癌,fu'she'zhi'ai
俯仰反应,fu'yang'fan'ying
感光膜,gan'guang'mo
感光性,gan'guang'xing
感夜性,gan'ye'xing
感知机,gan'zhi'ji
跟踪行为,gen'zong'xing'wei
构象涨落,gou'xiang'zhang'luo
构象子态,gou'xiang'zi'tai
光变态反应,guang'bian'tai'fan'ying
光电位,guang'dian'wei
光动力作用,guang'dong'li'zuo'yong
光复活,guang'fu'huo
光黄素,guang'huang'su
光激运动,guang'ji'yun'dong
光降解,guang'jiang'jie
光解,guang'jie
光疗,guang'liao
光敏感性,guang'min'gan'xing
光敏色素,guang'min'se'su
光敏作用,guang'min'zuo'yong
光色素,guang'se'su
光声光谱学,guang'sheng'guang'pu'xue
光生物学,guang'sheng'wu'xue
光学断层显微术,guang'xue'duan'ceng'xian'wei'shu
光氧化,guang'yang'hua
光医学,guang'yi'xue
光运动,guang'yun'dong
光致变色性,guang'zhi'bian'se'xing
光致溶血,guang'zhi'rong'xue
光致生氧,guang'zhi'sheng'yang
光周期性,guang'zhou'qi'xing
光子计数统计学,guang'zi'ji'shu'tong'ji'xue
归航行为,gui'hang'xing'wei
滚动反应,gun'dong'fan'ying
过热,guo're
耗散结构,hao'san'jie'gou
赫布假设,he'bu'jia'she
核磁共振,he'ci'gong'zhen
核磁共振成象,he'ci'gong'zhen'cheng'xiang
黑箱理论,hei'xiang'li'lun
黑脂膜,hei'zhi'mo
化学发光,hua'xue'fa'guang
化学光度计,hua'xue'guang'du'ji
坏死辐射,huai'si'fu'she
环境光生物学,huan'jing'guang'sheng'wu'xue
环境生物物理学,huan'jing'sheng'wu'wu'li'xue
混沌,hun'dun
活性氧,huo'xing'yang
肌伺服模型,ji'ci'fu'mo'xing
肌磁图描记术,ji'ci'tu'miao'ji'shu
肌电控制,ji'dian'kong'zhi
激发复合体,ji'fa'fu'he'ti
激光光解,ji'guang'guang'jie
激光生物学,ji'guang'sheng'wu'xue
剂量当量,ji'liang'dang'liang
积木世界,ji'mu'shi'jie
肌肉,ji'rou
肌肉助推器,ji'rou'zhu'tui'qi
碱基堆积,jian'ji'dui'ji
剪切模量,jian'qie'mo'liang
剪切稀化,jian'qie'xi'hua
介电电泳,jie'dian'dian'yong
结合水,jie'he'shui
界面脂,jie'mian'zhi
解旋,jie'xuan
解折叠,jie'zhe'die
近层水,jin'ceng'shui
近场电位,jin'chang'dian'wei
距离感受器,ju'li'gan'shou'qi
菌紫红质,jun'zi'hong'zhi
开关码,kai'guan'ma
抗辐射效应,kang'fu'she'xiao'ying
拉曼光谱学,la'man'guang'pu'xue
拉曼散射,la'man'san'she
理论生物物理学,li'lun'sheng'wu'wu'li'xue
立体图,li'ti'tu
离子,li'zi
离子通道,li'zi'tong'dao
离子选择通透性,li'zi'xuan'ze'tong'tou'xing
离子载体,li'zi'zai'ti
链间氢键,lian'jian'qing'jian
链内氢键,lian'nei'qing'jian
联想机,lian'xiang'ji
量子生物物理学,liang'zi'sheng'wu'wu'li'xue
量子生物学,liang'zi'sheng'wu'xue
临界指数,lin'jie'zhi'shu
林逆效应,lin'ni'xiao'ying
林效应,lin'xiao'ying
流动镶嵌膜模型,liu'dong'xiang'qian'mo'mo'xing
六角相,liu'jiao'xiang
流式细胞术,liu'shi'xi'bao'shu
笼形结构,long'xing'jie'gou
螺旋度,luo'xuan'du
螺旋结构,luo'xuan'jie'gou
马赫带,ma'he'dai
脉冲辐解,mai'chong'fu'jie
慢化,man'hua
慢性照射,man'xing'zhao'she
密码学,mi'ma'xue
面积模量,mian'ji'mo'liang
免疫电镜术,mian'yi'dian'jing'shu
膜不对称性,mo'bu'dui'chen'xing
膜电流,mo'dian'liu
膜电容,mo'dian'rong
膜电位,mo'dian'wei
膜电阻,mo'dian'zu
膜疾病,mo'ji'bing
膜流动性,mo'liu'dong'xing
模拟神经元,mo'ni'shen'jing'yuan
膜片箝术,mo'pian'qian'shu
膜生物物理学,mo'sheng'wu'wu'li'xue
膜通道,mo'tong'dao
膜通透性,mo'tong'tou'xing
膜整合锥,mo'zheng'he'zhui
膜质子传导,mo'zhi'zi'chuan'dao
脑磁图描记术,nao'ci'tu'miao'ji'shu
内旋转,nei'xuan'zhuan
粘度,nian'du
扭结,niu'jie
扭曲构象,niu'qu'gou'xiang
扭转反应,niu'zhuan'fan'ying
片流,pian'liu
平面脂双层,ping'mian'zhi'shuang'ceng
平行加工,ping'xing'jia'gong
普适性类,pu'shi'xing'lei
启发式,qi'fa'shi
迁延照射,qian'yan'zhao'she
切补修复,qie'bu'xiu'fu
趋触性,qu'chu'xing
趋磁性,qu'ci'xing
趋电性,qu'dian'xing
屈服应力,qu'fu'ying'li
趋光性,qu'guang'xing
趋湿性,qu'shi'xing
趋水性,qu'shui'xing
趋温性,qu'wen'xing
取向选择性,qu'xiang'xuan'ze'xing
趋压性,qu'ya'xing
全反构型,quan'fan'gou'xing
全息记忆,quan'xi'ji'yi
热变性作用,re'bian'xing'zuo'yong
人工膜,ren'gong'mo
融合膜,rong'he'mo
柔性,rou'xing
三股螺旋,san'gu'luo'xuan
三级结构,san'ji'jie'gou
扫描隧道显微术,sao'miao'sui'dao'xian'wei'shu
晒斑,shai'ban
射线吸收近边结构,she'xian'xi'shou'jin'bian'jie'gou
射线吸收精细结构,she'xian'xi'shou'jing'xi'jie'gou
