安定面,an'ding'mian
安定翼,an'ding'yi
安定装置,an'ding'zhuang'zhi
班机,ban'ji
鼻轮起落架,bi'lun'qi'luo'jia
波音,bo'yin
舱口,cang'kou
舱门,cang'men
测试,ce'shi
插销,cha'xiao
撤空,che'kong
冲压驱动,chong'ya'qu'dong
垂直回转仪罗盘,chui'zhi'hui'zhuan'yi'luo'pan
垂直速度指示器,chui'zhi'su'du'zhi'shi'qi
磁场距离指示,ci'chang'ju'li'zhi'shi
错误报告手册,cuo'wu'bao'gao'shou'ce
大气数据计算机,da'qi'shu'ju'ji'suan'ji
挡风玻璃,dang'feng'bo'li
地标位,di'biao'wei
地面操作继电器,di'mian'cao'zuo'ji'dian'qi
地面电源设备发动机牵引,di'mian'dian'yuan'she'bei'fa'dong'ji'qian'yin
地面接近警告,di'mian'jie'jin'jing'gao
地面勤务选择继电器,di'mian'qin'wu'xuan'ze'ji'dian'qi
地面勤务转换继电器,di'mian'qin'wu'zhuan'huan'ji'dian'qi
地面设备,di'mian'she'bei
电控致动器,dian'kong'zhi'dong'qi
电子化飞行仪表,dian'zi'hua'fei'xing'yi'biao
动力传送组件,dong'li'chuan'song'zu'jian
断电器,duan'dian'qi
断路开关,duan'lu'kai'guan
断路器,duan'lu'qi
发电机断电器,fa'dian'ji'duan'dian'qi
发电机断路器,fa'dian'ji'duan'lu'qi
发电机控制继电器,fa'dian'ji'kong'zhi'ji'dian'qi
发电机控制组件,fa'dian'ji'kong'zhi'zu'jian
发动机,fa'dong'ji
发射机,fa'she'ji
反推力器,fan'tui'li'qi
防冰,fang'bing
方向舵,fang'xiang'duo
非对称的,fei'dui'chen'de
飞航呼叫,fei'hang'hu'jiao
飞机,fei'ji
飞机维修手册,fei'ji'wei'xiu'shou'ce
飞控系统,fei'kong'xi'tong
飞行引向器,fei'xing'yin'xiang'qi
副驾驶员,fu'jia'shi'yuan
副翼,fu'yi
副翼电控单元,fu'yi'dian'kong'dan'yuan
副油箱,fu'you'xiang
辅助的动力单元,fu'zhu'de'dong'li'dan'yuan
辅助的动力断电器,fu'zhu'de'dong'li'duan'dian'qi
高度,gao'du
高度计,gao'du'ji
功角,gong'jiao
供气,gong'qi
故障隔离手册,gu'zhang'ge'li'shou'ce
关断阀,guan'duan'fa
惯性参考系统,guan'xing'can'kao'xi'tong
惯性参考组件,guan'xing'can'kao'zu'jian
海拔,hai'ba
航空发动机,hang'kong'fa'dong'ji
航行灯,hang'xing'deng
后缘襟翼,hou'yuan'jin'yi
环绕的,huan'rao'de
回程,hui'cheng
汇流排输出错误,hui'liu'pai'shu'chu'cuo'wu
回转速率,hui'zhuan'su'lv
记录器,ji'lu'qi
机身,ji'shen
机头,ji'tou
机务人员,ji'wu'ren'yuan
机翼,ji'yi
机长,ji'zhang
机组,ji'zu
驾驶舱,jia'shi'cang
驾驶员,jia'shi'yuan
交替的,jiao'ti'de
结构修理手册,jie'gou'xiu'li'shou'ce
接近,jie'jin
接近行进显示,jie'jin'xing'jin'xian'shi
节流阀,jie'liu'fa
紧急情况,jin'ji'qing'kuang
紧急直接引擎指示,jin'ji'zhi'jie'yin'qing'zhi'shi
襟翼,jin'yi
静压空气温度,jing'ya'kong'qi'wen'du
客舱,ke'cang
客舱广播,ke'cang'guang'bo
客机,ke'ji
空客,kong'ke
空气调节,kong'qi'tiao'jie
空气循环机,kong'qi'xun'huan'ji
空速,kong'su
控制显示器,kong'zhi'xian'shi'qi
空中交通管制,kong'zhong'jiao'tong'guan'zhi
空中客车,kong'zhong'ke'che
空中震动监视器,kong'zhong'zhen'dong'jian'shi'qi
快拆卸,kuai'chai'xie
快卸,kuai'xie
雷达高度,lei'da'gao'du
轮档,lun'dang
螺旋桨,luo'xuan'jiang
麦道,mai'dao
密封舱,mi'feng'cang
模式控制面板,mo'shi'kong'zhi'mian'ban
排气,pai'qi
排气尾温,pai'qi'wei'wen
跑道,pao'dao
皮托管,pi'tuo'guan
皮托静压管,pi'tuo'jing'ya'guan
偏航图,pian'hang'tu
频率振汤器,pin'lv'zhen'tang'qi
扑动,pu'dong
气动,qi'dong
气动液压泵,qi'dong'ye'ya'beng
起落架,qi'luo'jia
起落架轮,qi'luo'jia'lun
气象雷达,qi'xiang'lei'da
气压计,qi'ya'ji
气源车,qi'yuan'che
前起落架,qian'qi'luo'jia
牵引,qian'yin
燃油控制器,ran'you'kong'zhi'qi
燃油流量,ran'you'liu'liang
三叉戟,san'cha'ji
刹车刹好,sha'che'sha'hao
刹车已松,sha'che'yi'song
甚高频无线电,shen'gao'pin'wu'xian'dian
升降舵,sheng'jiang'duo
数位化姿态指示器,shu'wei'hua'zi'tai'zhi'shi'qi
水平尾翼,shui'ping'wei'yi
水平状况方位指示器,shui'ping'zhuang'kuang'fang'wei'zhi'shi'qi
松刹车,song'sha'che
速煞,su'sha
随机存取记忆体错误,sui'ji'cun'qu'ji'yi'ti'cuo'wu
塔台,ta'tai
天线,tian'xian
调节器,tiao'jie'qi
调整,tiao'zheng
停机坪,ting'ji'ping
通告,tong'gao
通告器,tong'gao'qi
通用非同步收发传输器,tong'yong'fei'tong'bu'shou'fa'chuan'shu'qi
图波列夫,tu'bo'lie'fu
推出,tui'chu
推进,tui'jin
推力,tui'li
推力比,tui'li'bi
推力比范围,tui'li'bi'fan'wei
外电源接触器,wai'dian'yuan'jie'chu'qi
涡轮,wo'lun
涡轮风扇飞机,wo'lun'feng'shan'fei'ji
无线电导航设备,wu'xian'dian'dao'hang'she'bei
