矮星系,ai'xing'xi
暗物质,an'wu'zhi
奥曲线佯谬,ao'qu'xian'yang'miu
伴星系,ban'xing'xi
棒旋星系,bang'xuan'xing'xi
薄饼模型,bao'bing'mo'xing
爆发星系,bao'fa'xing'xi
暴胀宇宙模型,bao'zhang'yu'zhou'mo'xing
北冕星系团,bei'mian'xing'xi'tuan
北银极支,bei'yin'ji'zhi
本超星系团,ben'chao'xing'xi'tuan
本星系群,ben'xing'xi'qun
闭宇宙,bi'yu'zhou
标准宇宙模型,biao'zhun'yu'zhou'mo'xing
不规则星系,bu'gui'ze'xing'xi
不可见物质,bu'ke'jian'wu'zhi
草帽星系,cao'mao'xing'xi
缠卷困难,chan'juan'kun'nan
场星系,chang'xing'xi
超巨星系,chao'ju'xing'xi
超星系团,chao'xing'xi'tuan
尘埃带,chen'ai'dai
成员星系,cheng'yuan'xing'xi
大爆炸宇宙论,da'bao'zha'yu'zhou'lun
大麦云,da'mai'yun
大数假说,da'shu'jia'shuo
氘丰度,dao'feng'du
等级式宇宙论,deng'ji'shi'yu'zhou'lun
多重星系,duo'chong'xing'xi
发射线星系,fa'she'xian'xing'xi
纺锺状星系,fang'zhong'zhuang'xing'xi
辐射占优期,fu'she'zhan'you'qi
各向特宇宙模型,ge'xiang'te'yu'zhou'mo'xing
各向异性宇宙论,ge'xiang'yi'xing'yu'zhou'lun
共转半径,gong'zhuan'ban'jing
光度演化,guang'du'yan'hua
哈勃半径,ha'bo'ban'jing
哈波常数,ha'bo'chang'shu
哈波关系,ha'bo'guan'xi
哈勃年令,ha'bo'nian'ling
哈勃图,ha'bo'tu
哈波序列,ha'bo'xu'lie
氦丰度,hai'feng'du
宏观图象,hong'guan'tu'xiang
红外星系,hong'wai'xing'xi
互扰星系,hu'rao'xing'xi
化学演化,hua'xue'yan'hua
环状星系,huan'zhuang'xing'xi
活动星系,huo'dong'xing'xi
激变星系,ji'bian'xing'xi
几点相关函数,ji'dian'xiang'guan'han'shu
几体模拟,ji'ti'mo'ni
极早期宇宙,ji'zao'qi'yu'zhou
减速因子,jian'su'yin'zi
近邻星系,jin'lin'xing'xi
金期波长,jin'qi'bo'chang
金期质量,jin'qi'zhi'liang
巨洞,ju'dong
居间星系,ju'jian'xing'xi
巨椭圆星系,ju'tuo'yuan'xing'xi
巨星系,ju'xing'xi
开宇宙,kai'yu'zhou
类星体,lei'xing'ti
锂丰度,li'feng'du
连续创生,lian'xu'chuang'sheng
亮星系数,liang'xing'xi'shu
临界密度,lin'jie'mi'du
罗伯逊特六重星系,luo'bo'xun'te'liu'zhong'xing'xi
罗伯逊沃克度规,luo'bo'xun'wo'ke'du'gui
马赫原理,ma'he'yuan'li
马卡良星系,ma'ka'liang'xing'xi
马宇宙,ma'yu'zhou
麦哲伦云,mai'zhe'lun'yun
密度波,mi'du'bo
密度演化,mi'du'yan'hua
母星系,mu'xing'xi
内禀红移,nei'bing'hong'yi
牛顿宇宙论,niu'dun'yu'zhou'lun
盘星系,pan'xing'xi
喷射星系,pen'she'xing'xi
膨胀宇宙,peng'zhang'yu'zhou
碰撞星系,peng'zhuang'xing'xi
普郎克时间,pu'lang'ke'shi'jian
普特星系,pu'te'xing'xi
前星系,qian'xing'xi
强子期,qiang'zi'qi
球状星系,qiu'zhuang'xing'xi
热改正,re'gai'zheng
热史,re'shi
热演化,re'yan'hua
三重星系,san'chong'xing'xi
三角星系,san'jiao'xing'xi
射电源计数,she'dian'yuan'ji'shu
视超光速运动,shi'chao'guang'su'yun'dong
室女超星系团,shi'nv'chao'xing'xi'tuan
室女星系团,shi'nv'xing'xi'tuan
狮子双重星系,shi'zi'shuang'chong'xing'xi
双重星系,shuang'chong'xing'xi
双类星系,shuang'lei'xing'xi
斯蒂芬五重星系,si'di'fen'wu'zhong'xing'xi
特殊星系,te'shu'xing'xi
天龙星系,tian'long'xing'xi
天炉星系,tian'lu'xing'xi
透镜状星系,tou'jing'zhuang'xing'xi
图案速度,tu'an'su'du
团星系,tuan'xing'xi
退耦期,tui'ou'qi
退行速度,tui'xing'su'du
椭圆星系,tuo'yuan'xing'xi
完全宇宙学原理,wan'quan'yu'zhou'xue'yuan'li
晚型星系,wan'xing'xing'xi
稳衡态宇宙论,wen'heng'tai'yu'zhou'lun
涡状星系,wo'zhuang'xing'xi
武仙星系团,wu'xian'xing'xi'tuan
物质反物质宇宙论,wu'zhi'fan'wu'zhi'yu'zhou'lun
物质格佯谬,wu'zhi'ge'yang'miu
物质占优期,wu'zhi'zhan'you'qi
仙女次星系群,xian'nv'ci'xing'xi'qun
仙女星系,xian'nv'xing'xi
相对论宇宙论,xiang'dui'lun'yu'zhou'lun
小麦云,xiao'mai'yun
小熊星系,xiao'xiong'xing'xi
蝎虎天体,xie'hu'tian'ti
星系,xing'xi
星系对,xing'xi'dui
星系核,xing'xi'he
星系核环,xing'xi'he'huan
星系和星系团表,xing'xi'he'xing'xi'tuan'biao
星系际尘埃,xing'xi'ji'chen'ai
星系际气体,xing'xi'ji'qi'ti
星系际桥,xing'xi'ji'qiao
星系际物质,xing'xi'ji'wu'zhi
星系际吸收,xing'xi'ji'xi'shou
星系际云,xing'xi'ji'yun
星系结构,xing'xi'jie'gou
星系冕,xing'xi'mian
星系盘,xing'xi'pan
星系群,xing'xi'qun
星系团,xing'xi'tuan
星系团内气体,xing'xi'tuan'nei'qi'ti
星系吞食,xing'xi'tun'shi
星系形成,xing'xi'xing'cheng
星系演化,xing'xi'yan'hua
星系晕,xing'xi'yun
星系自转,xing'xi'zi'zhuan
星云星团新总表,xing'yun'xing'tuan'xin'zong'biao
旋臂,xuan'bi
旋涡星系,xuan'wo'xing'xi
哑铃状星系,ya'ling'zhuang'xing'xi
演化效应,yan'hua'xiao'ying
引力不稳定性,yin'li'bu'wen'ding'xing
隐质量,yin'zhi'liang
玉夫星系,yu'fu'xing'xi
宇宙,yu'zhou
宇宙背景辐射,yu'zhou'bei'jing'fu'she
宇宙常数,yu'zhou'chang'shu
宇宙大尺度结构,yu'zhou'da'chi'du'jie'gou
宇宙岛,yu'zhou'dao
宇宙年令,yu'zhou'nian'ling
宇宙平均密度,yu'zhou'ping'jun'mi'du
宇宙奇点,yu'zhou'qi'dian
宇宙世界,yu'zhou'shi'jie
宇宙微波背景辐射,yu'zhou'wei'bo'bei'jing'fu'she
宇宙微波辐射,yu'zhou'wei'bo'fu'she
宇宙位力定理,yu'zhou'wei'li'ding'li
宇宙学,yu'zhou'xue
宇宙学红移,yu'zhou'xue'hong'yi
宇宙学原理,yu'zhou'xue'yuan'li
宇宙宇宙模型,yu'zhou'yu'zhou'mo'xing
原星系,yuan'xing'xi
早期宇宙,zao'qi'yu'zhou
早型星系,zao'xing'xing'xi
正常射线背景辐射,zheng'chang'she'xian'bei'jing'fu'she
正常施涡星系,zheng'chang'shi'wo'xing'xi
正常星系,zheng'chang'xing'xi
质光比,zhi'guang'bi
致密星系,zhi'mi'xing'xi
自转曲线,zi'zhuan'qu'xian
总星系,zong'xing'xi
