按揭,an'jie
按金,an'jin
按市场计价法会计,an'shi'chang'ji'jia'fa'kuai'ji
版权,ban'quan
保管人,bao'guan'ren
报价,bao'jia
包装物,bao'zhuang'wu
备抵法,bei'di'fa
本金当事人,ben'jin'dang'shi'ren
本年利润,ben'nian'li'run
边际贡献,bian'ji'gong'xian
波幅,bo'fu
补仓按金,bu'cang'an'jin
补仓通知,bu'cang'tong'zhi
不动产,bu'dong'chan
不活跃市场,bu'huo'yue'shi'chang
补空,bu'kong
补贴收入,bu'tie'shou'ru
材料成本差异,cai'liao'cheng'ben'cha'yi
财务报表,cai'wu'bao'biao
财务报表分析,cai'wu'bao'biao'fen'xi
财务比率分析,cai'wu'bi'lv'fen'xi
财务费用,cai'wu'fei'yong
财务会计,cai'wu'kuai'ji
财务会计标准,cai'wu'kuai'ji'biao'zhun
财务弹性,cai'wu'tan'xing
财务业绩,cai'wu'ye'ji
财务状况,cai'wu'zhuang'kuang
参与优先股,can'yu'you'xian'gu
残值,can'zhi
长仓,chang'cang
场内交易,chang'nei'jiao'yi
长期待摊费用,chang'qi'dai'tan'fei'yong
长期负债,chang'qi'fu'zhai
长期股权投资,chang'qi'gu'quan'tou'zi
长期借款,chang'qi'jie'kuan
长期投资,chang'qi'tou'zi
长期投资减值准备,chang'qi'tou'zi'jian'zhi'zhun'bei
长期应付款,chang'qi'ying'fu'kuan
长期债权投资,chang'qi'zhai'quan'tou'zi
长期债务率,chang'qi'zhai'wu'lv
长期资产,chang'qi'zi'chan
场外交易,chang'wai'jiao'yi
偿债比率,chang'zhai'bi'lv
偿债能力,chang'zhai'neng'li
车船税,che'chuan'shui
成本法,cheng'ben'fa
成本耗用,cheng'ben'hao'yong
成本与市价孰低原则,cheng'ben'yu'shi'jia'shu'di'yuan'ze
成交金额,cheng'jiao'jin'e
成交量,cheng'jiao'liang
城市维护建税,cheng'shi'wei'hu'jian'shui
持仓,chi'cang
持股公司,chi'gu'gong'si
持续经营,chi'xu'jing'ying
重估调整,chong'gu'tiao'zheng
冲销,chong'xiao
重置成本,chong'zhi'cheng'ben
重组成本,chong'zu'cheng'ben
筹码,chou'ma
筹资产生的现金流量,chou'zi'chan'sheng'de'xian'jin'liu'liang
除权,chu'quan
除息,chu'xi
存货,cun'huo
存货跌价准备,cun'huo'die'jia'zhun'bei
存货周转,cun'huo'zhou'zhuan
存款单,cun'kuan'dan
待处理财产损益,dai'chu'li'cai'chan'sun'yi
代管,dai'guan
贷款合同,dai'kuan'he'tong
贷款契约,dai'kuan'qi'yue
待摊费用,dai'tan'fei'yong
待摊资产价值,dai'tan'zi'chan'jia'zhi
代销商品款,dai'xiao'shang'pin'kuan
担保品,dan'bao'pin
淡静市场,dan'jing'shi'chang
单向市场,dan'xiang'shi'chang
到期日,dao'qi'ri
到期值,dao'qi'zhi
等价,deng'jia
地方教育费附加,di'fang'jiao'yu'fei'fu'jia
低开,di'kai
抵销余额,di'xiao'yu'e
抵押,di'ya
抵押品,di'ya'pin
递延成本,di'yan'cheng'ben
递延收入,di'yan'shou'ru
递延收益,di'yan'shou'yi
递延税款,di'yan'shui'kuan
递延所得税,di'yan'suo'de'shui
低值易耗品,di'zhi'yi'hao'pin
跌停,die'ting
定期贷款,ding'qi'dai'kuan
定期法,ding'qi'fa
董事会,dong'shi'hui
杜邦体系,du'bang'ti'xi
独立审计,du'li'shen'ji
独资经营,du'zi'jing'ying
短多,duan'duo
短期负债,duan'qi'fu'zhai
短期借款,duan'qi'jie'kuan
短期投资,duan'qi'tou'zi
短期投资跌价准备,duan'qi'tou'zi'die'jia'zhun'bei
对冲,dui'chong
对敲,dui'qiao
对销账户,dui'xiao'zhang'hu
多翻空,duo'fan'kong
多杀多,duo'sha'duo
多头陷阱,duo'tou'xian'jing
二板市场,er'ban'shi'chang
二级市场,er'ji'shi'chang
发行股票,fa'xing'gu'piao
发行在外的股份,fa'xing'zai'wai'de'gu'fen
反弹,fan'tan
房产税,fang'chan'shui
非参加优先股,fei'can'jia'you'xian'gu
非经常项目,fei'jing'chang'xiang'mu
非盈利实体,fei'ying'li'shi'ti
非盈利账户,fei'ying'li'zhang'hu
费用,fei'yong
分红,fen'hong
分类资产负债,fen'lei'zi'chan'fu'zhai
分期付款,fen'qi'fu'kuan
分期收款发出商品,fen'qi'shou'kuan'fa'chu'shang'pin
分析性复核,fen'xi'xing'fu'he
分析员,fen'xi'yuan
风险,feng'xian
风险报酬,feng'xian'bao'chou
浮多,fu'duo
服务收益,fu'wu'shou'yi
服务业,fu'wu'ye
附息债务,fu'xi'zhai'wu
负债,fu'zhai
负债比率,fu'zhai'bi'lv
附注,fu'zhu
改良,gai'liang
杠杆比率,gang'gan'bi'lv
杠杆效应,gang'gan'xiao'ying
高开,gao'kai
个人所得税,ge'ren'suo'de'shui
割肉,ge'rou
个体辨认,ge'ti'bian'ren
工程物资,gong'cheng'wu'zi
公允市价,gong'yun'shi'jia
购买法,gou'mai'fa
购买力,gou'mai'li
股本证券,gu'ben'zheng'quan
固定资产,gu'ding'zi'chan
固定资产减值准备,gu'ding'zi'chan'jian'zhi'zhun'bei
固定资产清理,gu'ding'zi'chan'qing'li
固定资产周转,gu'ding'zi'chan'zhou'zhuan
股东,gu'dong
股东权益,gu'dong'quan'yi
股东权益表,gu'dong'quan'yi'biao
股份拆细,gu'fen'chai'xi
沽空,gu'kong
股利,gu'li
股票,gu'piao
股票股利的股票拆分,gu'piao'gu'li'de'gu'piao'chai'fen
股票价格,gu'piao'jia'ge
股票市场,gu'piao'shi'chang
股权公司,gu'quan'gong'si
沽售,gu'shou
沽售价,gu'shou'jia
股息,gu'xi
股息率,gu'xi'lv
管理费用,guan'li'fei'yong
管理决策,guan'li'jue'ce
管理会计,guan'li'kuai'ji
关联交易,guan'lian'jiao'yi
惯压,guan'ya
