白马峪,bai'ma'yu
北梁,bei'liang
财政局,cai'zheng'ju
车管所,che'guan'suo
春秋路口,chun'qiu'lu'kou
灯泡厂,deng'pao'chang
电熔刚玉厂,dian'rong'gang'yu'chang
电业局,dian'ye'ju
东风市场,dong'feng'shi'chang
东花坛,dong'hua'tan
二分厂,er'fen'chang
芳雅亭,fang'ya'ting
风景区,feng'jing'qu
妇科医院,fu'ke'yi'yuan
甘棠变电站,gan'tang'bian'dian'zhan
甘棠路,gan'tang'lu
刚玉厂,gang'yu'chang
高铁客运站,gao'tie'ke'yun'zhan
高中,gao'zhong
公路局,gong'lu'ju
关沟村,guan'gou'cun
虢翠园小区,guo'cui'yuan'xiao'qu
郭氏源头,guo'shi'yuan'tou
韩庄,han'zhuang
宏远市场,hong'yuan'shi'chang
侯家沟,hou'jia'gou
候家沟,hou'jia'gou
侯桥,hou'qiao
湖滨车站,hu'bin'che'zhan
湖滨家园,hu'bin'jia'yuan
化工厂,hua'gong'chang
华意机械,hua'yi'ji'xie
黄河大桥,huang'he'da'qiao
黄河医院,huang'he'yi'yuan
黄金大酒店,huang'jin'da'jiu'dian
黄金技校,huang'jin'ji'xiao
会纺集团,hui'fang'ji'tuan
会兴街,hui'xing'jie
会兴弯道,hui'xing'wan'dao
火车站,huo'che'zhan
基督教会,ji'du'jiao'hui
计生委,ji'sheng'wei
技术学院,ji'shu'xue'yuan
家俱城,jia'ju'cheng
家王庄,jia'wang'zhuang
加油站,jia'you'zhan
建材市场,jian'cai'shi'chang
建设路口,jian'she'lu'kou
交警支队,jiao'jing'zhi'dui
交口乡,jiao'kou'xiang
交通局,jiao'tong'ju
金鼎实业,jin'ding'shi'ye
金盾花园,jin'dun'hua'yuan
金渠集团,jin'qu'ji'tuan
经三路,jing'san'lu
军分区,jun'fen'qu
开发区,kai'fa'qu
康乐医院,kang'le'yi'yuan
康乐园小区,kang'le'yuan'xiao'qu
科技技术中心,ke'ji'ji'shu'zhong'xin
矿山厂,kuang'shan'chang
雷湾村,lei'wan'cun
李家窑西,li'jia'yao'xi
粮管路口,liang'guan'lu'kou
铝厂,lv'chang
吕家崖,lv'jia'ya
马匹沟,ma'pi'gou
茅津北路,mao'jin'bei'lu
茅津路口,mao'jin'lu'kou
茅津南路,mao'jin'nan'lu
南关,nan'guan
南关村,nan'guan'cun
南梁,nan'liang
南山公园,nan'shan'gong'yuan
牛奶厂,niu'nai'chang
汽车城,qi'che'cheng
前进派出所,qian'jin'pai'chu'suo
前进市场,qian'jin'shi'chang
桥头,qiao'tou
区交通局,qu'jiao'tong'ju
人民市场,ren'min'shi'chang
陕县盐业公司,shan'xian'yan'ye'gong'si
陕县医院,shan'xian'yi'yuan
陕县政府,shan'xian'zheng'fu
陕州路口,shan'zhou'lu'kou
上村,shang'cun
上阳路口,shang'yang'lu'kou
上阳苑,shang'yang'yuan
商业银行,shang'ye'yin'hang
市百货大楼,shi'bai'huo'da'lou
市宾馆,shi'bin'guan
时代百货,shi'dai'bai'huo
市二小,shi'er'xiao
市二中,shi'er'zhong
市技校,shi'ji'xiao
市人民医院,shi'ren'min'yi'yuan
市一小,shi'yi'xiao
市医院,shi'yi'yuan
市一中,shi'yi'zhong
石油公司,shi'you'gong'si
市元件厂,shi'yuan'jian'chang
市政府,shi'zheng'fu
市政工程处,shi'zheng'gong'cheng'chu
市中心医院,shi'zhong'xin'yi'yuan
舒馨园,shu'xin'yuan
水工厂,shui'gong'chang
宋会路市场,song'hui'lu'shi'chang
体育场,ti'yu'chang
天鹅湖,tian'e'hu
天河花园,tian'he'hua'yuan
天元铝业,tian'yuan'lv'ye
文化宫,wen'hua'gong
文明路口,wen'ming'lu'kou
温塘,wen'tang
五金厂,wu'jin'chang
武强医院,wu'qiang'yi'yuan
五原路,wu'yuan'lu
五原路口,wu'yuan'lu'kou
西苑小区,xi'yuan'xiao'qu
西站,xi'zhan
向阳,xiang'yang
崤山宾馆,xiao'shan'bin'guan
斜桥,xie'qiao
学院路,xue'yuan'lu
烟草大厦,yan'cao'da'sha
杨家沟,yang'jia'gou
野鹿东,ye'lu'dong
野鹿西,ye'lu'xi
银湖湾小区,yin'hu'wan'xiao'qu
印染厂,yin'ran'chang
迎宾馆,ying'bin'guan
永兴街,yong'xing'jie
尤湾,you'wan
邮政局,you'zheng'ju
豫州商场,yu'zhou'shang'chang
站里村,zhan'li'cun
正和小区,zheng'he'xiao'qu
植物园南门,zhi'wu'yuan'nan'men
植物园小区,zhi'wu'yuan'xiao'qu
制药厂,zhi'yao'chang
职业中专,zhi'ye'zhong'zhuan
中国银行,zhong'guo'yin'hang
中天实业,zhong'tian'shi'ye
中医院,zhong'yi'yuan
中原世纪苑,zhong'yuan'shi'ji'yuan
自来水公司,zi'lai'shui'gong'si
