白虎猖狂,bai'hu'chang'kuang
白虎出力,bai'hu'chu'li
白虎干格,bai'hu'gan'ge
丙辰,bing'chen
丙火入戌墓,bing'huo'ru'xu'mu
丙奇,bing'qi
丙申,bing'shen
丙午,bing'wu
丙辛相合,bing'xin'xiang'he
丙戌,bing'xu
丙子,bing'zi
超神,chao'shen
辰土,chen'tu
丑土,chou'tu
大格,da'ge
地遁,di'dun
地户逢鬼,di'hu'feng'gui
地网高张,di'wang'gao'zhang
地刑玄武,di'xing'xuan'wu
丁丑,ding'chou
丁亥,ding'hai
丁奇,ding'qi
丁壬相合,ding'ren'xiang'he
丁巳,ding'si
丁未,ding'wei
定应期,ding'ying'qi
丁酉,ding'you
杜门,du'men
兑宫,dui'gong
兑七宫,dui'qi'gong
反吟,fan'yin
反吟蛇刑,fan'yin'she'xing
飞鸟归巢,fei'niao'gui'chao
风遁,feng'dun
复见腾蛇,fu'jian'teng'she
伏吟,fu'yin
伏吟天庭,fu'yin'tian'ting
干合悖师,gan'he'bei'shi
干合蛇刑,gan'he'she'xing
艮八宫,gen'ba'gong
艮宫,gen'gong
庚辰,geng'chen
庚申,geng'shen
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
癸丑,gui'chou
癸亥,gui'hai
癸卯,gui'mao
贵人入狱,gui'ren'ru'yu
贵人升殿,gui'ren'sheng'dian
癸巳,gui'si
癸未,gui'wei
亥水,hai'shui
华盖悖师,hua'gai'bei'shi
华盖地户,hua'gai'di'hu
华盖逢星,hua'gai'feng'xing
火悖地户,huo'bei'di'hu
火悖入刑,huo'bei'ru'xing
火入勾陈,huo'ru'gou'chen
火入天罗,huo'ru'tian'luo
己丑,ji'chou
吉格,ji'ge
己亥,ji'hai
己卯,ji'mao
己未,ji'wei
击刑,ji'xing
己酉,ji'you
甲辰,jia'chen
甲辰壬,jia'chen'ren
甲申,jia'shen
甲申庚,jia'shen'geng
甲午,jia'wu
甲午辛,jia'wu'xin
甲戌,jia'xu
甲戌己,jia'xu'ji
甲寅,jia'yin
甲寅癸,jia'yin'gui
甲子戊,jia'zi'wu
接气,jie'qi
惊门,jing'men
景门,jing'men
九地,jiu'di
九天,jiu'tian
开门,kai'men
坎宫,kan'gong
坎一宫,kan'yi'gong
空亡,kong'wang
坤二宫,kun'er'gong
坤宫,kun'gong
困龙被伤,kun'long'bei'shang
离宫,li'gong
离九宫,li'jiu'gong
六仪击刑,liu'yi'ji'xing
龙遁,long'dun
六合,lu'he
卯木,mao'mu
门克宫,men'ke'gong
门迫,men'po
墓神不明,mu'shen'bu'ming
鸟跌穴,niao'die'xue
奇仪顺遂,qi'yi'shun'sui
奇仪相佐,qi'yi'xiang'zuo
乾宫,qian'gong
乾六宫,qian'liu'gong
青龙返首,qing'long'fan'shou
青龙和会,qing'long'he'hui
青龙华盖,qing'long'hua'gai
青龙入天牢,qing'long'ru'tian'lao
青龙逃走,qing'long'tao'zou
青龙耀明,qing'long'yao'ming
青龙折足,qing'long'zhe'zu
青龙转光,qing'long'zhuan'guang
壬辰,ren'chen
人遁,ren'dun
人遁吉格,ren'dun'ji'ge
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
日奇被刑,ri'qi'bei'xing
日奇伏吟,ri'qi'fu'yin
日奇人墓,ri'qi'ren'mu
日奇入地,ri'qi'ru'di
日月并行,ri'yue'bing'xing
入狱自刑,ru'yu'zi'xing
三奇得使,san'qi'dei'shi
三奇六仪,san'qi'liu'yi
三奇入墓,san'qi'ru'mu
三奇受制,san'qi'shou'zhi
三式,san'shi
上格,shang'ge
伤门,shang'men
蛇入地罗,she'ru'di'luo
申金,shen'jin
生门,sheng'men
时干入墓,shi'gan'ru'mu
水蛇人火,shui'she'ren'huo
巳火,si'huo
死门,si'men
太白逢星,tai'bai'feng'xing
太白擒蛇,tai'bai'qin'she
太白入网,tai'bai'ru'wang
太白入荧,tai'bai'ru'ying
太阴,tai'yin
螣蛇,teng'she
腾蛇相缠,teng'she'xiang'chan
腾蛇夭矫,teng'she'yao'jiao
天冲星,tian'chong'xing
天遁,tian'dun
天辅星,tian'fu'xing
天牢华盖,tian'lao'hua'gai
天篷星,tian'peng'xing
天禽星,tian'qin'xing
天任星,tian'ren'xing
天芮星,tian'rui'xing
天网四张,tian'wang'si'zhang
天显时格,tian'xian'shi'ge
天心星,tian'xin'xing
天乙伏宫,tian'yi'fu'gong
天乙合会,tian'yi'he'hui
天英星,tian'ying'xing
天柱星,tian'zhu'xing
亭亭之格,ting'ting'zhi'ge
网盖天牢,wang'gai'tian'lao
旺相休囚,wang'xiang'xiu'qiu
未土,wei'tu
五不遇时,wu'bu'yu'shi
午火,wu'huo
戊申,wu'shen
戊午,wu'wu
戊戌,wu'xu
五阳干,wu'yang'gan
戊寅,wu'yin
五阴干,wu'yin'gan
戊于,wu'yu
小蛇得势,xiao'she'de'shi
