阿康烧烤,a'kang'shao'kao
安宁路,an'ning'lu
安泰经济与管理学院,an'tai'jing'ji'yu'guan'li'xue'yuan
安泰楼,an'tai'lou
昂立书店,ang'li'shu'dian
八佰里面吧,ba'bai'li'mian'ba
板二,ban'er
板副,ban'fu
板规,ban'gui
板聚,ban'ju
板内,ban'nei
板三,ban'san
板务,ban'wu
板主,ban'zhu
宝钱线,bao'qian'xian
宝钱专线,bao'qian'zhuan'xian
包图,bao'tu
包玉刚图书馆,bao'yu'gang'tu'shu'guan
包兆龙图书馆,bao'zhao'long'tu'shu'guan
北景观桥,bei'jing'guan'qiao
本板,ben'ban
宾川路,bin'chuan'lu
冰火四季,bing'huo'si'ji
玻璃房,bo'li'fang
博学楼,bo'xue'lou
博雅厅,bo'ya'ting
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
材料楼,cai'liao'lou
蔡元培,cai'yuan'pei
沧源路,cang'yuan'lu
曹谊林,cao'yi'lin
曹珍富,cao'zhen'fu
曾溢滔,ceng'yi'tao
茶风暴,cha'feng'bao
长今屋,chang'jin'wu
车顺爱,che'shun'ai
陈杜衡,chen'du'heng
陈方若,chen'fang'ruo
陈刚,chen'gang
陈国强,chen'guo'qiang
陈瑞球楼,chen'rui'qiu'lou
陈赛娟,chen'sai'juan
陈善本,chen'shan'ben
陈亚珠,chen'ya'zhu
陈竺,chen'zhu
成都饭店,cheng'du'fan'dian
程浩忠,cheng'hao'zhong
程及美术馆,cheng'ji'mei'shu'guan
成人教育学院,cheng'ren'jiao'yu'xue'yuan
程先华,cheng'xian'hua
程孝刚,cheng'xiao'gang
程旭,cheng'xu
重庆鸡公堡,chong'qing'ji'gong'bao
重庆鸡公煲,chong'qing'ji'gong'bao
川帮菜,chuan'bang'cai
船舶海洋与建筑工程学院,chuan'bo'hai'yang'yu'jian'zhu'gong'cheng'xue'yuan
川菜馆,chuan'cai'guan
船池,chuan'chi
船海建工,chuan'hai'jian'gong
船海建工楼,chuan'hai'jian'gong'lou
川娃子,chuan'wa'zi
川娃子川菜,chuan'wa'zi'chuan'cai
川香苑,chuan'xiang'yuan
船院,chuan'yuan
崔维成,cui'wei'cheng
大学路,da'xue'lu
大学路韩国料理,da'xue'lu'han'guo'liao'li
戴尅戎,dai'kei'rong
淡水河,dan'shui'he
德宏路,de'hong'lu
邓研会,deng'yan'hui
邓子新,deng'zi'xin
第二餐饮大楼,di'er'can'yin'da'lou
第三餐饮大楼,di'san'can'yin'da'lou
第四餐饮大楼,di'si'can'yin'da'lou
第五餐饮大楼,di'wu'can'yin'da'lou
第一餐饮大楼,di'yi'can'yin'da'lou
第一宿舍,di'yi'su'she
电院,dian'yuan
电子信息楼群,dian'zi'xin'xi'lou'qun
电子信息与电气工程学院,dian'zi'xin'xi'yu'dian'qi'gong'cheng'xue'yuan
丁汉,ding'han
丁文江,ding'wen'jiang
鼎鑫旺,ding'xin'wang
东北菜馆,dong'bei'cai'guan
东北春饼王,dong'bei'chun'bing'wang
东北大嫂骨头王,dong'bei'da'sao'gu'tou'wang
东北饺子王,dong'bei'jiao'zi'wang
东北一家人,dong'bei'yi'jia'ren
东川路,dong'chuan'lu
东大门,dong'da'men
东湖餐饮,dong'hu'can'yin
东坪线,dong'ping'xian
东坪专线,dong'ping'zhuan'xian
东区食堂,dong'qu'shi'tang
东三河,dong'san'he
东上院,dong'shang'yuan
东食,dong'shi
东十二楼,dong'shi'er'lou
东下院,dong'xia'yuan
东新河,dong'xin'he
东中院,dong'zhong'yuan
窦晓鸣,dou'xiao'ming
杜朝辉,du'chao'hui
杜蒙饭店,du'meng'fan'dian
法学楼,fa'xue'lou
法学院,fa'xue'yuan
范绪箕,fan'xu'ji
房静远,fang'jing'yuan
奉金高速,feng'jin'gao'su
符鼎升,fu'ding'sheng
傅育熙,fu'yu'xi
筻筻地,gang'gang'di
高峰,gao'feng
高田会堂,gao'tian'hui'tang
高压实验楼,gao'ya'shi'yan'lou
葛修润,ge'xiu'run
莄莄地东北菜,geng'geng'di'dong'bei'cai
工程馆,gong'cheng'guan
顾健人,gu'jian'ren
关赓麟,guan'geng'lin
管院,guan'yuan
光彪楼,guang'biao'lou
光彪桥,guang'biao'qiao
广场路,guang'chang'lu
光明体育场,guang'ming'ti'yu'chang
光体,guang'ti
桂林米粉,gui'lin'mi'fen
国际会议中心桥,guo'ji'hui'yi'zhong'xin'qiao
国际教育学院,guo'ji'jiao'yu'xue'yuan
国际与公共事务学院,guo'ji'yu'gong'gong'shi'wu'xue'yuan
过敏意,guo'min'yi
哈乐餐厅,ha'le'can'ting
海京阁,hai'jing'ge
海科院,hai'ke'yuan
海洋深水试验池,hai'yang'shen'shui'shi'yan'chi
海洋水下工程科学研究院,hai'yang'shui'xia'gong'cheng'ke'xue'yan'jiu'yuan
