阿诗玛,a'shi'ma
白石江,bai'shi'jiang
白石江公园,bai'shi'jiang'gong'yuan
白水电厂生活区,bai'shui'dian'chang'sheng'huo'qu
保渡建材市场,bao'du'jian'cai'shi'chang
北苑东路桥,bei'yuan'dong'lu'qiao
财校,cai'xiao
城关办事处,cheng'guan'ban'shi'chu
驰宏公司,chi'hong'gong'si
大丰集团公司,da'feng'ji'tuan'gong'si
大花桥,da'hua'qiao
大桥,da'qiao
打油巷,da'you'xiang
大转弯,da'zhuan'wan
代河,dai'he
得胜家具城,de'sheng'jia'ju'cheng
第二人民医院,di'er'ren'min'yi'yuan
第三人民医院,di'san'ren'min'yi'yuan
地税局,di'shui'ju
第四人民医院,di'si'ren'min'yi'yuan
第一人民医院,di'yi'ren'min'yi'yuan
地质一大队,di'zhi'yi'da'dui
电厂生活区,dian'chang'sheng'huo'qu
滇东商城,dian'dong'shang'cheng
钉子厂,ding'zi'chang
东辰华都,dong'chen'hua'du
东门街口,dong'men'jie'kou
东盛房地产,dong'sheng'fang'di'chan
东盛路,dong'sheng'lu
东星路口,dong'xing'lu'kou
东星小区,dong'xing'xiao'qu
东星小区二号站,dong'xing'xiao'qu'er'hao'zhan
东星小区二期,dong'xing'xiao'qu'er'qi
东星小区路口,dong'xing'xiao'qu'lu'kou
东星小区三四期,dong'xing'xiao'qu'san'si'qi
东星小区一号站,dong'xing'xiao'qu'yi'hao'zhan
东源小区,dong'yuan'xiao'qu
二检站,er'jian'zhan
方家园,fang'jia'yuan
飞龙机电公司,fei'long'ji'dian'gong'si
丰登,feng'deng
丰登小学,feng'deng'xiao'xue
冯官桥,feng'guan'qiao
凤凰水榭,feng'huang'shui'xie
凤苑路,feng'yuan'lu
福海度假村,fu'hai'du'jia'cun
复烤厂,fu'kao'chang
妇女儿童中心,fu'nv'er'tong'zhong'xin
妇幼保健院,fu'you'bao'jian'yuan
妇幼医院,fu'you'yi'yuan
高家湾,gao'jia'wan
公交金牛停车场,gong'jiao'jin'niu'ting'che'chang
公交三生活区,gong'jiao'san'sheng'huo'qu
公交一生活区,gong'jiao'yi'sheng'huo'qu
公路管理处,gong'lu'guan'li'chu
供排水公司二水厂,gong'pai'shui'gong'si'er'shui'chang
工商学校,gong'shang'xue'xiao
公务员小区,gong'wu'yuan'xiao'qu
官坡寺,guan'po'si
广电大楼,guang'dian'da'lou
广电后门,guang'dian'hou'men
广发银行,guang'fa'yin'hang
国宝大酒店,guo'bao'da'jiu'dian
韩家圩,han'jia'xu
河滨公园,he'bin'gong'yuan
荷花塘,he'hua'tang
宏达钢材市场,hong'da'gang'cai'shi'chang
红日花园,hong'ri'hua'yuan
后门,hou'men
花柯,hua'ke
花柯路,hua'ke'lu
汇宝路,hui'bao'lu
火车站,huo'che'zhan
火车站路口,huo'che'zhan'lu'kou
机动大队,ji'dong'da'dui
机二厂,ji'er'chang
吉玛特,ji'ma'te
吉象园,ji'xiang'yuan
机械厂,ji'xie'chang
建材市场,jian'cai'shi'chang
交警支队,jiao'jing'zhi'dui
交警直属二大队,jiao'jing'zhi'shu'er'da'dui
交通路口,jiao'tong'lu'kou
金家屯,jin'jia'tun
金麟苑,jin'lin'yuan
金龙家具广场,jin'long'jia'ju'guang'chang
