安全打法,an'quan'da'fa
暗手,an'shou
逼叫,bi'jiao
逼叫性加叫,bi'jiao'xing'jia'jiao
逼叫性开叫,bi'jiao'xing'kai'jiao
逼叫性再叫,bi'jiao'xing'zai'jiao
闭室,bi'shi
剥光打法,bo'guang'da'fa
剥光投入,bo'guang'tou'ru
长四,chang'si
长套,chang'tao
超额赢墩,chao'e'ying'dun
超将,chao'jiang
惩罚性加倍,cheng'fa'xing'jia'bei
成局,cheng'ju
成局定约,cheng'ju'ding'yue
成局叫牌,cheng'ju'jiao'pai
穿攻强牌,chuan'gong'qiang'pai
大满贯,da'man'guan
单飞,dan'fei
单缺,dan'que
单张,dan'zhang
宕墩,dang'dun
宕分,dang'fen
低花,di'hua
垫牌,dian'pai
垫失张,dian'shi'zhang
额外墩,e'wai'dun
二盖一,er'gai'yi
二盖一应叫,er'gai'yi'ying'jiao
二三法则,er'san'fa'ze
防守叫牌,fang'shou'jiao'pai
防守赢墩,fang'shou'ying'dun
非均型牌,fei'jun'xing'pai
飞张,fei'zhang
盖叫,gai'jiao
高花,gao'hua
高级花色,gao'ji'hua'se
高间张,gao'jian'zhang
关煞叫,guan'sha'jiao
关煞性跳争叫,guan'sha'xing'tiao'zheng'jiao
关煞性应叫,guan'sha'xing'ying'jiao
关煞性再加叫,guan'sha'xing'zai'jia'jiao
关煞性争叫,guan'sha'xing'zheng'jiao
黑木,hei'mu
黑木问叫,hei'mu'wen'jiao
花色开叫,hua'se'kai'jiao
花色弱应叫,hua'se'ruo'ying'jiao
挤牌,ji'pai
技术性加倍,ji'shu'xing'jia'bei
加倍,jia'bei
加叫,jia'jiao
加一副,jia'yi'fu
坚固长套,jian'gu'chang'tao
坚强长套,jian'qiang'chang'tao
坚强连张,jian'qiang'lian'zhang
间张,jian'zhang
将吃,jiang'chi
将吃垫牌,jiang'chi'dian'pai
将吃飞牌,jiang'chi'fei'pai
将吃飞张,jiang'chi'fei'zhang
将吃挤牌法,jiang'chi'ji'pai'fa
将吃赢墩,jiang'chi'ying'dun
将牌,jiang'pai
将牌超吃,jiang'pai'chao'chi
将牌控制,jiang'pai'kong'zhi
将牌升级,jiang'pai'sheng'ji
将牌首攻,jiang'pai'shou'gong
将牌问叫,jiang'pai'wen'jiao
将牌支持,jiang'pai'zhi'chi
交叉将吃,jiao'cha'jiang'chi
叫第三花色,jiao'di'san'hua'se
叫牌,jiao'pai
叫牌体系,jiao'pai'ti'xi
叫新花色,jiao'xin'hua'se
解封,jie'feng
解封打法,jie'feng'da'fa
接力叫,jie'li'jiao
进局,jin'ju
进局逼叫,jin'ju'bi'jiao
进局试探叫,jin'ju'shi'tan'jiao
进局邀叫,jin'ju'yao'jiao
进张,jin'zhang
竟叫,jing'jiao
局方,ju'fang
局况,ju'kuang
开室,kai'shi
扣叫,kou'jiao
快速赢墩,kuai'su'ying'dun
兰梅花叫牌法,lan'mei'hua'jiao'pai'fa
连张,lian'zhang
罗马关键牌黑木问叫,luo'ma'guan'jian'pai'hei'mu'wen'jiao
满贯,man'guan
满贯叫牌法,man'guan'jiao'pai'fa
满贯首攻,man'guan'shou'gong
满贯约定叫,man'guan'yue'ding'jiao
明手,ming'shou
明手牌,ming'shou'pai
逆叫,ni'jiao
牌墩,pai'dun
牌力,pai'li
牌手,pai'shou
牌型,pai'xing
平衡叫牌,ping'heng'jiao'pai
嵌张,qian'zhang
强迫将吃,qiang'po'jiang'chi
强套,qiang'tao
强无将,qiang'wu'jiang
缺门,que'men
弱花色,ruo'hua'se
弱花色进局试探,ruo'hua'se'jin'ju'shi'tan
弱跳争叫,ruo'tiao'zheng'jiao
弱无将,ruo'wu'jiang
弱应叫,ruo'ying'jiao
深飞,shen'fei
声称,sheng'cheng
失配,shi'pei
示强应叫,shi'qiang'ying'jiao
示缺,shi'que
示弱,shi'ruo
示弱加倍,shi'ruo'jia'bei
示弱应叫,shi'ruo'ying'jiao
示弱止叫,shi'ruo'zhi'jiao
十一法则,shi'yi'fa'ze
失张,shi'zhang
首攻,shou'gong
输墩,shu'dun
输张,shu'zhang
输张垫输张,shu'zhang'dian'shu'zhang
双飞,shuang'fei
双明手,shuang'ming'shou
双向飞牌,shuang'xiang'fei'pai
双张,shuang'zhang
斯台曼问叫,si'tai'man'wen'jiao
逃叫,tao'jiao
特殊跳叫,te'shu'tiao'jiao
特殊无将争叫,te'shu'wu'jiang'zheng'jiao
跳单缺,tiao'dan'que
跳加叫,tiao'jia'jiao
跳叫,tiao'jiao
跳叫高花,tiao'jiao'gao'hua
跳叫新花,tiao'jiao'xin'hua
跳叫新花色,tiao'jiao'xin'hua'se
跳叫原花,tiao'jiao'yuan'hua
跳新花,tiao'xin'hua
跳原花,tiao'yuan'hua
跳争叫,tiao'zheng'jiao
停叫,ting'jiao
投入法,tou'ru'fa
脱手,tuo'shou
问叫,wen'jiao
无局,wu'ju
无局方,wu'ju'fang
五水平,wu'shui'ping
牺牲叫,xi'sheng'jiao
限制性加叫,xian'zhi'xing'jia'jiao
限制性叫牌,xian'zhi'xing'jiao'pai
限制性跳加叫,xian'zhi'xing'tiao'jia'jiao
限制性选择,xian'zhi'xing'xuan'ze
相连大牌,xiang'lian'da'pai
消耗将牌,xiao'hao'jiang'pai
消极防守,xiao'ji'fang'shou
消极首攻,xiao'ji'shou'gong
小满贯,xiao'man'guan
小牌,xiao'pai
新花,xin'hua
新花色应叫,xin'hua'se'ying'jiao
选择性加倍,xuan'ze'xing'jia'bei
要花色信号,yao'hua'se'xin'hao
要花色信号垫牌法,yao'hua'se'xin'hao'dian'pai'fa
邀叫,yao'jiao
一盖一应叫,yi'gai'yi'ying'jiao
赢墩,ying'dun
应叫,ying'jiao
应叫人的再叫,ying'jiao'ren'de'zai'jiao
应叫性加倍,ying'jiao'xing'jia'bei
赢张,ying'zhang
有局,you'ju
有局方,you'ju'fang
右手敌方,you'shou'di'fang
有止张的花色,you'zhi'zhang'de'hua'se
约定叫,yue'ding'jiao
再加倍,zai'jia'bei
再加叫,zai'jia'jiao
再叫套,zai'jiao'tao
争叫,zheng'jiao
止叫,zhi'jiao
止张,zhi'zhang
中间花色,zhong'jian'hua'se
中间连张,zhong'jian'lian'zhang
中间张,zhong'jian'zhang
转移叫,zhuan'yi'jiao
自由飞,zi'you'fei
自由叫,zi'you'jiao
做庄,zuo'zhuang
坐庄,zuo'zhuang
