阿贝比长仪,a'bei'bi'chang'yi
阿贝尔富度,a'bei'er'fu'du
阿波罗型,a'bo'luo'xing
阿尔文波,a'er'wen'bo
阿尔文于,a'er'wen'yu
阿格兰德法,a'ge'lan'de'fa
阿罗天体,a'luo'tian'ti
阿莫尔型,a'mo'er'xing
艾达,ai'da
爱丁顿极限,ai'ding'dun'ji'xian
埃弗谢德效应,ai'fu'xie'de'xiao'ying
埃勒曼炸弹,ai'le'man'zha'dan
埃农,ai'nong
艾卫,ai'wei
矮新星,ai'xin'xing
矮星,ai'xing
矮星系,ai'xing'xi
爱因斯坦,ai'yin'si'tan
爱因斯坦天文台,ai'yin'si'tan'tian'wen'tai
矮造父变星,ai'zao'fu'bian'xing
暗伴星,an'ban'xing
暗带,an'dai
按多方物态方程,an'duo'fang'wu'tai'fang'cheng
安多耶变量,an'duo'ye'bian'liang
暗条,an'tiao
暗物质,an'wu'zhi
暗星云,an'xing'yun
氨钟,an'zhong
奥伯斯佯谬,ao'bo'si'yang'miu
奥尔特提出离太阳,ao'er'te'ti'chu'li'tai'yang
奥尔特云,ao'er'te'yun
巴德窗,ba'de'chuang
巴尔末减幅,ba'er'mo'jian'fu
巴尔末跳跃,ba'er'mo'tiao'yue
白矮星,bai'ai'xing
白道,bai'dao
白洞,bai'dong
拜尔星座,bai'er'xing'zuo
白光耀斑,bai'guang'yao'ban
半长径,ban'chang'jing
斑点干涉测量,ban'dian'gan'she'ce'liang
半峰全宽,ban'feng'quan'kuan
半规则变星,ban'gui'ze'bian'xing
半接双星,ban'jie'shuang'xing
半宽,ban'kuan
伴星,ban'xing
伴星系,ban'xing'xi
半影,ban'ying
半影食,ban'ying'shi
棒旋星系,bang'xuan'xing'xi
薄饼模型,bao'bing'mo'xing
爆发变星,bao'fa'bian'xing
爆发能量集中在,bao'fa'neng'liang'ji'zhong'zai
爆发日珥,bao'fa'ri'er
爆发相,bao'fa'xiang
爆发星系,bao'fa'xing'xi
爆后新星,bao'hou'xin'xing
包括其他恒星,bao'kuo'qi'ta'heng'xing
薄盘,bao'pan
爆前超新星,bao'qian'chao'xin'xing
爆前新星,bao'qian'xin'xing
暴缩,bao'suo
暴胀宇宙模型,bao'zhang'yu'zhou'mo'xing
北半球,bei'ban'qiu
北黄极,bei'huang'ji
北极星序,bei'ji'xing'xu
背景辐射,bei'jing'fu'she
背景星,bei'jing'xing
背景星系,bei'jing'xing'xi
贝利珠,bei'li'zhu
北冕,bei'mian
贝塞尔恒星常数,bei'sai'er'heng'xing'chang'shu
贝塞尔年,bei'sai'er'nian
贝塞尔日数,bei'sai'er'ri'shu
北天极,bei'tian'ji
钡星,bei'xing
北银极,bei'yin'ji
北银极支,bei'yin'ji'zhi
本超星系团,ben'chao'xing'xi'tuan
本初子午线,ben'chu'zi'wu'xian
本地静止标准,ben'di'jing'zhi'biao'zhun
本动,ben'dong
奔赴点,ben'fu'dian
奔离点,ben'li'dian
本轮,ben'lun
本星系群,ben'xing'xi'qun
本星系团,ben'xing'xi'tuan
本影,ben'ying
本影食,ben'ying'shi
本征方向,ben'zheng'fang'xiang
本征基,ben'zheng'ji
臂际星,bi'ji'xing
比较光谱,bi'jiao'guang'pu
比较星,bi'jiao'xing
比较行星学,bi'jiao'xing'xing'xue
闭宇宙,bi'yu'zhou
臂族,bi'zu
变光星云,bian'guang'xing'yun
扁平次系,bian'ping'ci'xi
扁平子系,bian'ping'zi'xi
变象管,bian'xiang'guan
变星,bian'xing
标高,biao'gao
标准星,biao'zhun'xing
标准宇宙模型,biao'zhun'yu'zhou'mo'xing
标准坐标,biao'zhun'zuo'biao
并合星系,bing'he'xing'xi
波长,bo'chang
波得定则,bo'de'ding'ze
波恩星表,bo'en'xing'biao
不变平面,bu'bian'ping'mian
不规则变星,bu'gui'ze'bian'xing
不规则星系,bu'gui'ze'xing'xi
不接双星,bu'jie'shuang'xing
不可见物质,bu'ke'jian'wu'zhi
不明飞行物,bu'ming'fei'xing'wu
不同,bu'tong
不透明度,bu'tou'ming'du
不稳定星,bu'wen'ding'xing
参考大圆,can'kao'da'yuan
参考星,can'kao'xing
仓库,cang'ku
测到,ce'dao
测地岁差,ce'di'sui'cha
测地章动,ce'di'zhang'dong
测光,ce'guang
测光解,ce'guang'jie
测光距离,ce'guang'ju'li
测光双星,ce'guang'shuang'xing
测光系统,ce'guang'xi'tong
测光序,ce'guang'xu
测时,ce'shi
侧向天体,ce'xiang'tian'ti
层的电离度突然增大,ceng'de'dian'li'du'tu'ran'zeng'da
叉式装置,cha'shi'zhuang'zhi
缠卷疑难,chan'juan'yi'nan
产星区,chan'xing'qu
长度等于,chang'du'deng'yu
长庚星,chang'geng'xing
长期光行差,chang'qi'guang'xing'cha
长期极移,chang'qi'ji'yi
长期加速度,chang'qi'jia'su'du
长期摄动,chang'qi'she'dong
长期视差,chang'qi'shi'cha
场强突异,chang'qiang'tu'yi
长蛇,chang'she
常数,chang'shu
场星,chang'xing
场星系,chang'xing'xi
长周期变星,chang'zhou'qi'bian'xing
长周期彗星,chang'zhou'qi'hui'xing
长周期摄动,chang'zhou'qi'she'dong
超巨椭圆星系,chao'ju'tuo'yuan'xing'xi
超巨星,chao'ju'xing
超巨星系,chao'ju'xing'xi
超米粒,chao'mi'li
超米粒组织,chao'mi'li'zu'zhi
超冕,chao'mian
超期运作到,chao'qi'yun'zuo'dao
潮汐假说,chao'xi'jia'shuo
潮汐摩擦,chao'xi'mo'ca
潮汐形变,chao'xi'xing'bian
超新星,chao'xin'xing
超星系团,chao'xing'xi'tuan
尘埃带,chen'ai'dai
尘埃彗尾,chen'ai'hui'wei
尘埃星云,chen'ai'xing'yun
晨出,chen'chu
晨昏蒙影,chen'hun'meng'ying
呈长周期小幅光变的,cheng'chang'zhou'qi'xiao'fu'guang'bian'de
秤动点,cheng'dong'dian
成立于,cheng'li'yu
秤漏,cheng'lou
成员星系,cheng'yuan'xing'xi
赤道,chi'dao
赤道地平视差,chi'dao'di'ping'shi'cha
赤道经纬仪,chi'dao'jing'wei'yi
赤道隆起,chi'dao'long'qi
赤道仪,chi'dao'yi
赤道装置,chi'dao'zhuang'zhi
赤道坐标系,chi'dao'zuo'biao'xi
赤基黄道仪,chi'ji'huang'dao'yi
赤经,chi'jing
赤经圈,chi'jing'quan
赤经岁差,chi'jing'sui'cha
赤经章动,chi'jing'zhang'dong
赤纬,chi'wei
赤纬绝对值大于,chi'wei'jue'dui'zhi'da'yu
赤纬圈,chi'wei'quan
赤纬岁差,chi'wei'sui'cha
出差,chu'chai
