柏灵筠,bai'ling'jun
卞夫人,bian'fu'ren
伯达,bo'da
柏夫人,bo'fu'ren
伯和,bo'he
伯宁,bo'ning
伯仁,bo'ren
伯言,bo'yan
不可断绝,bu'ke'duan'jue
仓舒,cang'shu
曹彪,cao'biao
曹冲,cao'chong
曹洪,cao'hong
曹磊,cao'lei
曹丕,cao'pi
曹丕妻子,cao'pi'qi'zi
曹仁,cao'ren
曹叡生母,cao'rui'sheng'mu
曹魏洧阳亭侯,cao'wei'wei'yang'ting'hou
曹魏文学家,cao'wei'wen'xue'jia
曹休,cao'xiu
曹彰,cao'zhang
曹真,cao'zhen
曹植,cao'zhi
常晋,chang'jin
昌陵乡侯,chang'ling'xiang'hou
长文,chang'wen
陈群,chen'qun
沉吟至今,chen'yin'zhi'jin
陈之辉,chen'zhi'hui
程诚,cheng'cheng
程昱,cheng'yu
褚栓忠,chu'shuan'zhong
春小太岁,chun'xiao'tai'sui
崔申,cui'shen
崔琰,cui'yan
大公主,da'gong'zhu
大军师,da'jun'shi
达来呼里哈,da'lai'hu'li'ha
但为君故,dan'wei'jun'gu
德祖,de'zu
邓艾,deng'ai
丁冲之子,ding'chong'zhi'zi
丁海峰,ding'hai'feng
丁仪,ding'yi
丁廙之兄,ding'yi'zhi'xiong
董承,dong'cheng
董贵人,dong'gui'ren
东汉高庙使,dong'han'gao'miao'shi
东乡公主,dong'xiang'gong'zhu
杜星奇,du'xing'qi
短歌行,duan'ge'xing
对酒当歌,dui'jiu'dang'ge
方伯,fang'bo
奉孝,feng'xiao
扶持士族,fu'chi'shi'zu
公达,gong'da
公干,gong'gan
公明,gong'ming
鼓瑟吹笙,gu'se'chui'sheng
郭嘉,guo'jia
郭家诺,guo'jia'nuo
郭洺宇,guo'ming'yu
郭女王,guo'nv'wang
郭照,guo'zhao
海不厌深,hai'bu'yan'shen
海水知天寒,hai'shui'zhi'tian'han
汉丞相,han'cheng'xiang
汉京兆尹,han'jing'zhao'yin
汉灵帝,han'ling'di
汉少帝,han'shao'di
汉侍中,han'shi'zhong
汉献帝,han'xian'di
汉兖州刺史,han'yan'zhou'ci'shi
汉昭烈皇帝,han'zhao'lie'huang'di
何时可掇,he'shi'ke'duo
何为自苦,he'wei'zi'ku
何以解忧,he'yi'jie'you
何枝可依,he'zhi'ke'yi
弘农杨氏,hong'nong'yang'shi
侯吉,hou'ji
侯桐江,hou'tong'jiang
华佗,hua'tuo
黄俊鹏,huang'jun'peng
黄毅,huang'yi
汲布,ji'bu
季珪,ji'gui
吉平,ji'ping
季重,ji'zhong
贾逵,jia'kui
家使,jia'shi
建公,jian'gong
军师联盟,jun'shi'lian'meng
儁乂,jun'yi
开创新政,kai'chuang'xin'zheng
慨当以慷,kai'dang'yi'kang
开国明主,kai'guo'ming'zhu
枯桑知天风,ku'sang'zhi'tian'feng
来喜,lai'xi
李海鹰,li'hai'ying
李龙,li'long
李晟烨,li'sheng'ye
李佑伟,li'you'wei
李雨洋,li'yu'yang
李振泽,li'zhen'ze
梁道,liang'dao
刘备,liu'bei
六出祁山,liu'chu'qi'shan
刘顾浩,liu'gu'hao
刘宏,liu'hong
柳健,liu'jian
刘凌志,liu'ling'zhi
刘涛,liu'tao
刘协,liu'xie
刘旭,liu'xu
柳玉林,liu'yu'lin
刘岳,liu'yue
刘祯,liu'zhen
陆玲,lu'ling
陆思宇,lu'si'yu
卢星宇,lu'xing'yu
陆逊,lu'xun
陆妍淇,lu'yan'qi
栾浚威,luan'jun'wei
满宠,man'chong
梅子涵,mei'zi'han
孟德,meng'de
明明如月,ming'ming'ru'yue
譬如朝露,pi'ru'zhao'lu
清河公主,qing'he'gong'zhu
青青子衿,qing'qing'zi'jin
求贤令,qiu'xian'ling
去日苦多,qu'ri'ku'duo
绕树三匝,rao'shu'san'za
人生几何,ren'sheng'ji'he
任宇,ren'yu
荣梓杉,rong'zi'shan
入门各自媚,ru'men'ge'zi'mei
山不厌高,shan'bu'yan'gao
上大将军,shang'da'jiang'jun
少年曹叡,shao'nian'cao'rui
施淳,shi'chun
士季,shi'ji
使我心非,shi'wo'xin'fei
食野之苹,shi'ye'zhi'ping
士载,shi'zai
手心杀,shou'xin'sha
叔达,shu'da
谁肯相为言,shui'ken'xiang'wei'yan
司空崔林,si'kong'cui'lin
司马防,si'ma'fang
司马防次子,si'ma'fang'ci'zi
司马孚,si'ma'fu
司马朗,si'ma'lang
司马伦,si'ma'lun
司马师,si'ma'shi
司马懿,si'ma'yi
司马昭,si'ma'zhao
司马昭长女,si'ma'zhao'zhang'nv
孙权,sun'quan
孙吴重臣,sun'wu'zhong'chen
太初,tai'chu
檀健次,tan'jian'ci
谈莎莎,tan'sha'sha
天宝,tian'bao
天下归心,tian'xia'gui'xin
王伯昭,wang'bo'zhao
王东,wang'dong
王虎城,wang'hu'cheng
王劲松,wang'jin'song
王力,wang'li
王洛勇,wang'luo'yong
王茂蕾,wang'mao'lei
王仁君,wang'ren'jun
王琇强,wang'xiu'qiang
枉用相存,wang'yong'xiang'cun
王泽清,wang'ze'qing
王增奇,wang'zeng'qi
王子服,wang'zi'fu
魏陈思王,wei'chen'si'wang
魏大将军,wei'da'jiang'jun
魏大司马,wei'da'si'ma
魏明帝司空,wei'ming'di'si'kong
魏明帝太傅,wei'ming'di'tai'fu
魏明帝太尉,wei'ming'di'tai'wei
魏骠骑将军,wei'piao'qi'jiang'jun
魏司隶校尉,wei'si'li'xiao'wei
魏太常,wei'tai'chang
魏太傅,wei'tai'fu
魏太尉,wei'tai'wei
魏太宰,wei'tai'zai
魏王,wei'wang
卫尉,wei'wei
