阿贝比长仪,a'bei'bi'chang'yi
暧时功率,ai'shi'gong'lv
按比例缩小,an'bi'li'suo'xiao
安规,an'gui
按钮,an'niu
按钮开关,an'niu'kai'guan
按钮联锁,an'niu'lian'suo
安培,an'pei
安培表,an'pei'biao
安培环路定律,an'pei'huan'lu'ding'lv
安培小时,an'pei'xiao'shi
安全电流,an'quan'dian'liu
安全电压,an'quan'dian'ya
安全角度,an'quan'jiao'du
安全生产,an'quan'sheng'chan
安全性,an'quan'xing
安全用电,an'quan'yong'dian
安时计,an'shi'ji
氨压力表,an'ya'li'biao
安匝,an'za
安装,an'zhuang
八木天线,ba'mu'tian'xian
巴特沃思滤波器,ba'te'wo'si'lv'bo'qi
拜拉姆风速表,bai'la'mu'feng'su'biao
摆脱电流,bai'tuo'dian'liu
摆轴,bai'zhou
半波整流,ban'bo'zheng'liu
半波整流电路,ban'bo'zheng'liu'dian'lu
半导体,ban'dao'ti
半导体存储器,ban'dao'ti'cun'chu'qi
半导体二极管,ban'dao'ti'er'ji'guan
半导体器件,ban'dao'ti'qi'jian
半导体三极管,ban'dao'ti'san'ji'guan
半定制集成电路,ban'ding'zhi'ji'cheng'dian'lu
半功率点,ban'gong'lv'dian
半加器,ban'jia'qi
半节网络,ban'jie'wang'luo
半扩散角,ban'kuo'san'jiao
伴热设备,ban're'she'bei
板式滤油机,ban'shi'lv'you'ji
扳手,ban'shou
伴随模型,ban'sui'mo'xing
半无限斜线逼近,ban'wu'xian'xie'xian'bi'jin
棒形电流互感器,bang'xing'dian'liu'hu'gan'qi
保持阶段,bao'chi'jie'duan
抱箍,bao'gu
曝光,bao'guang
饱和,bao'he
饱和区,bao'he'qu
饱和失真,bao'he'shi'zhen
饱和输出电平,bao'he'shu'chu'dian'ping
饱和输出电压,bao'he'shu'chu'dian'ya
饱和温度,bao'he'wen'du
保护,bao'hu
保护断路器,bao'hu'duan'lu'qi
保护环,bao'hu'huan
保护角,bao'hu'jiao
保护接地,bao'hu'jie'di
保护接零,bao'hu'jie'ling
保护匹配,bao'hu'pi'pei
保护器,bao'hu'qi
保护特性,bao'hu'te'xing
保护系统,bao'hu'xi'tong
保护装置,bao'hu'zhuang'zhi
报警单元,bao'jing'dan'yuan
报警汇总画面,bao'jing'hui'zong'hua'mian
报警器,bao'jing'qi
包络,bao'luo
包络检波,bao'luo'jian'bo
保险,bao'xian
保险管,bao'xian'guan
保险丝,bao'xian'si
爆炸极限,bao'zha'ji'xian
爆炸上限,bao'zha'shang'xian
爆炸下限,bao'zha'xia'xian
保真度,bao'zhen'du
被测电阻,bei'ce'dian'zu
被测量,bei'ce'liang
贝弗里奇天线,bei'fu'li'qi'tian'xian
背景,bei'jing
背景噪声,bei'jing'zao'sheng
贝克曼温度计,bei'ke'man'wen'du'ji
贝里斯分布,bei'li'si'fen'bu
倍频,bei'pin
倍频程,bei'pin'cheng
倍频晶体振荡器,bei'pin'jing'ti'zhen'dang'qi
倍频链,bei'pin'lian
倍频器,bei'pin'qi
贝塞尔滤波器,bei'sai'er'lv'bo'qi
背散射电子象,bei'san'she'dian'zi'xiang
贝森测云器,bei'sen'ce'yun'qi
背射天线,bei'she'tian'xian
备用,bei'yong
本底,ben'di
本底质谱,ben'di'zhi'pu
本机振荡器,ben'ji'zhen'dang'qi
本征半导体,ben'zheng'ban'dao'ti
本征吸杂工艺,ben'zheng'xi'za'gong'yi
泵体,beng'ti
崩越二极管,beng'yue'er'ji'guan
壁灯,bi'deng
闭灯巡视,bi'deng'xun'shi
比电阻,bi'dian'zu
比尔定律,bi'er'ding'lv
闭管真空扩散,bi'guan'zhen'kong'kuo'san
闭合,bi'he
闭合回路,bi'he'hui'lu
闭环,bi'huan
闭环控制,bi'huan'kong'zhi
闭环增益,bi'huan'zeng'yi
比较回路,bi'jiao'hui'lu
比较器,bi'jiao'qi
比较式,bi'jiao'shi
避雷器,bi'lei'qi
避雷线,bi'lei'xian
避雷针,bi'lei'zhen
比例运算电路,bi'li'yun'suan'dian'lu
比率鉴频器,bi'lv'jian'pin'qi
比特,bi'te
