阿达,a'da
啊四,a'si
挨挫,ai'cuo
挨头子,ai'tou'zi
安居,an'ju
安四烤肉,an'si'kao'rou
昂么,ang'me
熬羯,ao'jie
八托二,ba'tuo'er
白格生生,bai'ge'sheng'sheng
半拉子,ban'la'zi
板子,ban'zi
包逗,bao'dou
保急,bao'ji
宝塔桥,bao'ta'qiao
宝塔山,bao'ta'shan
屄斗,bi'dou
毕咧,bi'lie
鼻塌憨水,bi'ta'han'shui
冰溜子,bing'liu'zi
薄忽闪闪,bo'hu'shan'shan
卜唻,bu'lai
不灵醒,bu'ling'xing
擦们,ca'men
蚕火,can'huo
餐伙,can'huo
残舞,can'wu
残舞败影,can'wu'bai'ying
茬戏,cha'xi
缠伙,chan'huo
缠活,chan'huo
炒面神,chao'mian'shen
成松蓝,cheng'song'lan
赤钩子,chi'gou'zi
吃蓝么,chi'lan'me
吃了么,chi'le'me
串可蓝,chuan'ke'lan
纯粹,chun'cui
瓷锤子,ci'chui'zi
瓷马二愣,ci'ma'er'leng
瓷嘛二楞,ci'ma'er'leng
瓷脑,ci'nao
瓷实,ci'shi
瓷怂,ci'song
打发娃,da'fa'wa
大原,da'yuan
单蹦人,dan'beng'ren
当旮旯,dang'ga'la
道擦,dao'ca
道仓,dao'cang
倒势,dao'shi
电壶,dian'hu
奠酒,dian'jiu
丢吨,diu'dun
丢盹,diu'dun
都成松蓝,dou'cheng'song'lan
兜兜,dou'dou
逗火,dou'huo
毒子,du'zi
端格争争,duan'ge'zheng'zheng
多乎,duo'hu
多或,duo'huo
饿蓝,e'lan
饿们,e'men
恶水,e'shui
二鳖五,er'bie'wu
二打流,er'da'liu
二道该,er'dao'gai
二杆子,er'gan'zi
二糊糊,er'hu'hu
儿话,er'hua
儿路,er'lu
二马路,er'ma'lu
儿猫,er'mao
二球,er'qiu
儿人,er'ren
儿人儿事,er'ren'er'shi
儿事,er'shi
二庄科,er'zhuang'ke
方塌,fang'ta
浮起,fu'qi
嘎达马西,ga'da'ma'xi
旮旯,ga'la
盖老,gai'lao
干格巴巴,gan'ge'ba'ba
甘谷驿,gan'gu'yi
擀面皮,gan'mian'pi
赶四,gan'si
干早,gan'zao
高峁湾,gao'mao'wan
高四五,gao'si'wu
搞笑,gao'xiao
圪钵,ge'bo
咯戳,ge'chuo
圪洞,ge'dong
圪圪拧拧,ge'ge'ning'ning
圪蹴,ge'jiu
革旧哈,ge'jiu'ha
圪蹴哈,ge'jiu'ha
圪楞,ge'leng
圪梁,ge'liang
圪柳,ge'liu
圪峁,ge'mao
各囊,ge'nang
个泥齉蔵,ge'ni'nang'cang
个品可,ge'pin'ke
各品可,ge'pin'ke
各青马嚓,ge'qing'ma'cha
格生,ge'sheng
圪台,ge'tai
格台,ge'tai
格西打晃,ge'xi'da'huang
格枝,ge'zhi
媾子,gou'zi
骨敛,gu'lian
罟人了,gu'ren'le
罟住兰,gu'zhu'lan
瓜瓜,gua'gua
刮迷失念,gua'mi'shi'nian
刮批,gua'pi
瓜耸,gua'song
瓜娃,gua'wa
瓜熊瓷锤,gua'xiong'ci'chui
拐子巷,guai'zi'xiang
滚远,gun'yuan
过啐,guo'cui
果馅,guo'xian
哈七搅,ha'qi'jiao
哈事,ha'shi
哈水,ha'shui
哈说,ha'shuo
哈怂,ha'song
哈松,ha'song
亥不哈,hai'bu'ha
亥哈,hai'ha
害哈蓝,hai'ha'lan
害哈勒,hai'ha'le
海气里,hai'qi'li
憨儿,han'er
憨流少势,han'liu'shao'shi
酣女子,han'nv'zi
酣小子,han'xiao'zi
酣着了,han'zhe'le
航标,hang'biao
好蓝,hao'lan
好蓝么,hao'lan'me
好利来,hao'li'lai
好事情,hao'shi'qing
嚎哇哭叫,hao'wa'ku'jiao
黑格褚褚,hei'ge'zhu'zhu
黑里倒正,hei'li'dao'zheng
黑龙沟,hei'long'gou
黑天打洞,hei'tian'da'dong
红稻黍,hong'dao'shu
红格丹丹,hong'ge'dan'dan
哄人,hong'ren
红树林,hong'shu'lin
红堂瓜水,hong'tang'gua'shui
后晌,hou'shang
后生,hou'sheng
猴娃,hou'wa
猴小小,hou'xiao'xiao
胡吹冒撂,hu'chui'mao'liao
胡凑,hu'cou
唿二八他,hu'er'ba'ta
唿噜,hu'lu
胡脑髁,hu'nao'ke
胡谝,hu'pian
胡砌,hu'qi
胡设,hu'she
花搅,hua'jiao
花梢,hua'shao
挥笔,hui'bi
灰怂,hui'song
活落,huo'luo
活式,huo'shi
夹夹,jia'jia
佳们,jia'men
煎饼,jian'bing
贱货,jian'huo
煎火,jian'huo
煎水,jian'shui
叫驴,jiao'lv
搅茅棍,jiao'mao'gun
羯羝,jie'di
羯猪,jie'zhu
金稻黍,jin'dao'shu
就那么个,jiu'na'me'ge
局劲,ju'jin
俊格丹丹,jun'ge'dan'dan
尻门子,kao'men'zi
尻子,kao'zi
可儿了,ke'er'le
瞌飞,ke'fei
刻立马嚓,ke'li'ma'cha
瞌睡蓝,ke'shui'lan
啦当,la'dang
拉话,la'hua
拉里了,la'li'le
揽工歌,lan'gong'ge
烂货,lan'huo
拦羊,lan'yang
涝池,lao'chi
牢饭,lao'fan
老家亲,lao'jia'qin
老溘,lao'ke
劳山,lao'shan
老蛙,lao'wa
老碗,lao'wan
老秧歌,lao'yang'ge
立不定,li'bu'ding
两姨,liang'yi
嘹咋咧,liao'za'lie
撩咂咧,liao'za'lie
撩咋咧,liao'za'lie
咧远,lie'yuan
灵醒,ling'xing
溜尻子,liu'kao'zi
龙抓,long'zhua
洛川蹩鼓,luo'chuan'bie'gu
绿格茵茵,lv'ge'yin'yin
驴哈的,lv'ha'de
麻达,ma'da
妈地批,ma'di'pi
马家湾,ma'jia'wan
麻卡,ma'ka
麻利拾翻,ma'li'shi'fan
马塌,ma'ta
麻汤饭,ma'tang'fan
麻眼事,ma'yan'shi
慢格腾腾,man'ge'teng'teng
蛮势,man'shi
茅房,mao'fang
毛鬼神,mao'gui'shen
茅坑,mao'keng
么蓝,me'lan
么麻达,me'ma'da
么麻打,me'ma'da
么门,me'men
么念塞,me'nian'sai
么求意思,me'qiu'yi'si
么怂相,me'song'xiang
没求意思,mei'qiu'yi'si
门汗,men'han
闷松,men'song
猛好蓝,meng'hao'lan
梦胡,meng'hu
米汤,mi'tang
苗格条条,miao'ge'tiao'tiao
抿节,min'jie
明隔,ming'ge
名贵杂豆,ming'gui'za'dou
殁哈,mo'ha
莫麻达,mo'ma'da
莫四,mo'si
莫相,mo'xiang
莫熊相,mo'xiong'xiang
牟乱,mou'luan
木犊,mu'du
木犊娃,mu'du'wa
暮攮,mu'nang
木囊,mu'nang
那达,na'da
哪可也,na'ke'ye
难场,nan'chang
难畅,nan'chang
南常,nan'chang
难活,nan'huo
南门坡,nan'men'po
脑畔,nao'pan
闹一瓶,nao'yi'ping
讷腥,ne'xing
嫩格蛋蛋,nen'ge'dan'dan
能行,neng'xing
你甘没事么,ni'gan'mei'shi'me
你说什嘛,ni'shuo'shen'ma
腻子,ni'zi
捻不处处,nian'bu'chu'chu
念传,nian'chuan
蔫人,nian'ren
年似,nian'si
年四,nian'si
牛不老,niu'bu'lao
钕子,nv'zi
欧锦园,ou'jin'yuan
欧景园,ou'jing'yuan
爬远远,pa'yuan'yuan
排侃,pai'kan
匹比害菜,pi'bi'hai'cai
皮干,pi'gan
皮实,pi'shi
谝闲传,pian'xian'chuan
嫖脑,piao'nao
品麻,pin'ma
泼凡,po'fan
泼烦,po'fan
婆姨,po'yi
齐格争争,qi'ge'zheng'zheng
前个,qian'ge
谴葬,qian'zang
悄班子些,qiao'ban'zi'xie
桥沟,qiao'gou
悄悄的,qiao'qiao'de
怯火,qie'huo
挈子,qie'zi
清格啦啦,qing'ge'la'la
清凉山,qing'liang'shan
卿忙,qing'mang
球不顶,qiu'bu'ding
球蹲脸,qiu'dun'lian
求眉鼠眼,qiu'mei'shu'yan
求脑蛋子,qiu'nao'dan'zi
球势,qiu'shi
球势架子,qiu'shi'jia'zi
求势蓝,qiu'shi'lan
求势子,qiu'shi'zi
球炸二五,qiu'zha'er'wu
然杆子,ran'gan'zi
冉面,ran'mian
瓤人,rang'ren
人风理至,ren'feng'li'zhi
日八歘,ri'ba'chua
日把川,ri'ba'chuan
日韩杆子,ri'han'gan'zi
日毛个喘,ri'mao'ge'chuan
日塌,ri'ta
日眼,ri'yan
芮仁,rui'ren
塞黑拐,sai'hei'guai
三道巷,san'dao'xiang
搡眼,sang'yan
桑眼,sang'yan
骚亲,sao'qin
骚情,sao'qing
骚清,sao'qing
涩皮,se'pi
森人,sen'ren
杀革,sha'ge
上杆子,shang'gan'zi
生格巴巴,sheng'ge'ba'ba
市场构,shi'chang'gou
拾掇,shi'duo
湿格淋淋,shi'ge'lin'lin
失笑,shi'xiao
树不浪,shu'bu'lang
耍一阵,shua'yi'zhen
拴整,shuan'zheng
栓整,shuan'zheng
双青豆,shuang'qing'dou
说话么,shuo'hua'me
似达,si'da
似伙,si'huo
四火,si'huo
死蔫,si'nian
怂人,song'ren
怂相,song'xiang
酸菜面,suan'cai'mian
酸眉流眼,suan'mei'liu'yan
碎猴,sui'hou
碎脑娃娃,sui'nao'wa'wa
碎事,sui'shi
碎怂,sui'song
碎娃,sui'wa
碎娃娃,sui'wa'wa
碎子,sui'zi
碎揍儿,sui'zou'er
孙子差,sun'zi'cha
太熬蓝,tai'ao'lan
太猛蓝,tai'meng'lan
探不见,tan'bu'jian
毯势,tan'shi
谈嫌,tan'xian
调面皮,tiao'mian'pi
秃舌蛋流,tu'she'dan'liu
歪人,wai'ren
万货,wan'huo
腕托,wan'tuo
王帅,wang'shuai
稳格堰堰,wen'ge'yan'yan
窝窝,wo'wo
吴旗香醋,wu'qi'xiang'cu
细发,xi'fa
惜惶,xi'huang
细相,xi'xiang
瞎了,xia'le
瞎熊,xia'xiong
闲传,xian'chuan
线候,xian'hou
显花,xian'hua
献餮,xian'tie
乡党,xiang'dang
相吼,xiang'hou
想你哩,xiang'ni'li
向阳沟,xiang'yang'gou
晓得蓝,xiao'de'lan
笑格迷迷,xiao'ge'mi'mi
笑格盈盈,xiao'ge'ying'ying
逍遥散诞,xiao'yao'san'dan
新格崭崭,xin'ge'zhan'zhan
学谎,xue'huang
伢狗,ya'gou
亚来黑老,ya'lai'hei'lao
亚圣,ya'sheng
严窝,yan'wo
佯打各思,yang'da'ge'si
洋火,yang'huo
洋碱,yang'jian
洋柿子,yang'shi'zi
洋洋务务,yang'yang'wu'wu
洋芋擦擦,yang'yu'ca'ca
洋芋叉叉,yang'yu'cha'cha
姚店,yao'dian
夜隔,ye'ge
叶沟,ye'gou
夜天,ye'tian
宜川花椒,yi'chuan'hua'jiao
宜川柿子,yi'chuan'shi'zi
宜川胸鼓,yi'chuan'xiong'gu
一圪堆,yi'ge'dui
一满,yi'man
尹家沟,yin'jia'gou
油汉,you'han
油馍馍,you'mo'mo
油旋,you'xuan
远咧,yuan'lie
咋个相,za'ge'xiang
杂兰,za'lan
杂了,za'le
咂咧,za'lie
咋咧,za'lie
奘蓝,zang'lan
奘蓝昂,zang'lan'ang
糟怪,zao'guai
蚤鸟,zao'niao
贼起,zei'qi
贼怂,zei'song
贼娃子,zei'wa'zi
扎势,zha'shi
沾布,zhan'bu
展趟,zhan'tang
招识,zhao'shi
折夺,zhe'duo
挣人,zheng'ren
志丹扇鼓,zhi'dan'shan'gu
志丹羊子,zhi'dan'yang'zi
直格挺挺,zhi'ge'ting'ting
吱哇,zhi'wa
肿货,zhong'huo
中心街,zhong'xin'jie
猪唠唠,zhu'lao'lao
子长煎饼,zi'chang'jian'bing
子长唢呐,zi'chang'suo'na
奏是,zou'shi
奏四,zou'si
作哩,zuo'li
做甚了,zuo'shen'le
做甚者了,zuo'shen'zhe'le
