安昭熙,an'zhao'xi
宝蓝,bao'lan
本郷奏多,ben'xiang'zou'duo
蔡妍,cai'yan
仓木麻衣,cang'mu'ma'yi
曺圭贤,cao'gui'xian
昌珉,chang'min
长泽正美,chang'ze'zheng'mei
赤西仁,chi'xi'ren
大好,da'hao
大野智,da'ye'zhi
东方神起,dong'fang'shen'qi
豆花,dou'hua
二宫和也,er'gong'he'ye
广沫凉子,guang'mo'liang'zi
龟梨和也,gui'li'he'ye
韩彩英,han'cai'ying
韩庚,han'geng
后援会,hou'yuan'hui
家族,jia'zu
杰尼斯学院,jie'ni'si'xue'yuan
金东万,jin'dong'wan
金范,jin'fan
金基范,jin'ji'fan
今井翼,jin'jing'yi
金俊秀,jin'jun'xiu
金奎,jin'kui
金起范,jin'qi'fan
金希澈,jin'xi'che
金贤重,jin'xian'zhong
金在中,jin'zai'zhong
金桢勋,jin'zhen'xun
久住小春春饭,jiu'zhu'xiao'chun'chun'fan
具惠善,ju'hui'shan
橘庆太,ju'qing'tai
堀北真希,ku'bei'zhen'xi
堀川亮,ku'chuan'liang
濑户康史,lai'hu'kang'shi
李东海,li'dong'hai
李多海豆,li'duo'hai'dou
李赫宰,li'he'zai
李弘基,li'hong'ji
李敏镐,li'min'gao
李民浩,li'min'hao
李晟敏,li'sheng'min
利特,li'te
李特,li'te
李先镐,li'xian'gao
李孝利,li'xiao'li
李准基,li'zhun'ji
铃木爱理,ling'mu'ai'li
龙泽秀明,long'ze'xiu'ming
米秀,mi'xiu
朴海镇,piao'hai'zhen
朴有仟,pu'you'qian
朴有天,pu'you'tian
朴正秀,pu'zheng'xiu
朴正洙,pu'zheng'zhu
朴忠载,pu'zhong'zai
千叶凉平,qian'ye'liang'ping
权宝儿,quan'bao'er
全慧彬,quan'hui'bin
入江纱绫,ru'jiang'sha'ling
三浦春马,san'pu'chun'ma
山田凉介,shan'tian'liang'jie
山下智久,shan'xia'zhi'jiu
少女时代,shao'nv'shi'dai
沈昌珉,shen'chang'min
神话,shen'hua
生田斗真,sheng'tian'dou'zhen
堂本刚,tang'ben'gang
堂本光,tang'ben'guang
唯爱,wei'ai
向井理,xiang'jing'li
相叶弘树,xiang'ye'hong'shu
相叶雅纪,xiang'ye'ya'ji
小仓优子,xiao'cang'you'zi
小池彻平,xiao'chi'che'ping
小栗旬,xiao'li'xun
效应,xiao'ying
绪方龙一,xu'fang'long'yi
艺声,yi'sheng
艺旭,yi'xu
银赫,yin'he
有天,you'tian
在中,zai'zhong
早安少女组,zao'an'shao'nv'zu
郑龙华,zheng'long'hua
郑秀妍,zheng'xiu'yan
郑允浩,zheng'yun'hao
知念侑李,zhi'nian'you'li
中岛裕翔,zhong'dao'yu'xiang
