唉怪,ai'guai
八棍子,ba'gun'zi
把哈,ba'ha
把里攥,ba'li'zuan
办瞎了,ban'xia'le
棒子,bang'zi
薄拉里,bao'la'li
北北地,bei'bei'di
蹦真,beng'zhen
鼻个渣,bi'ge'zha
扁食,bian'shi
别啰啰了,bie'luo'luo'le
玻璃叉子,bo'li'cha'zi
卜土,bo'tu
不大里,bu'da'li
不各,bu'ge
不庆里,bu'qing'li
叉子,cha'zi
车古轮,che'gu'lun
扯绝,che'jue
车橛子,che'jue'zi
吃毛,chi'mao
刺恼,ci'nao
打狗子,da'gou'zi
大糊小糊瘸腿两,da'hu'xiao'hu'que'tui'liang
大角子,da'jiao'zi
当街杭,dang'jie'hang
刀螂,dao'lang
得无依儿哩,de'wu'yi'er'li
地蛋,di'dan
电棒子,dian'bang'zi
电驴子,dian'lv'zi
饿应人,e'ying'ren
耳穗,er'sui
盖体,gai'ti
干熊,gan'xiong
干约,gan'yue
告点油,gao'dian'you
各了败子,ge'le'bai'zi
各乐蹦,ge'le'beng
各乐芝,ge'le'zhi
跟脚不,gen'jiao'bu
估蹲,gu'dun
拐拐,guai'guai
怪挺,guai'ting
棺材,guan'cai
过一绷儿,guo'yi'beng'er
好较呵,hao'jiao'he
好着雷,hao'zhe'lei
喝菜汤,he'cai'tang
河么,he'me
黑货,hei'huo
很讹,hen'e
洪上,hong'shang
后杭,hou'hang
胡扯八敛,hu'che'ba'lian
糊弄,hu'nong
糊涂,hu'tu
火烧,huo'shao
几斤了,ji'jin'le
脚丫把子,jiao'ya'ba'zi
姐了归,jie'le'gui
姐聊,jie'liao
界溜纸,jie'liu'zhi
炯子,jiong'zi
倔和拉子,jue'he'la'zi
绝户头,jue'hu'tou
颗了头子,ke'le'tou'zi
拉呱,la'gua
拉拉呱,la'la'gua
老爷地儿,lao'ye'di'er
老爷爷地里,lao'ye'ye'di'li
亮亮里,liang'liang'li
列熊,lie'xiong
罗罗的么,luo'luo'de'me
马古油子,ma'gu'you'zi
嘛哩哩,ma'li'li
茅子,mao'zi
每刀,mei'dao
寐寐,mei'mei
没心烦,mei'xin'fan
门对子,men'dui'zi
绵绵厚子,mian'mian'hou'zi
绵绵虎子,mian'mian'hu'zi
面汤,mian'tang
木的,mu'de
脑袋瓜子,nao'dai'gua'zi
泥狗,ni'gou
捻宁,nian'ning
年是,nian'shi
您哥来,nin'ge'lai
您姐来,nin'jie'lai
铅杯,qian'bei
求其儿,qiu'qi'er
曲喽泉,qu'lou'quan
腮帮子,sai'bang'zi
筛月,shai'yue
山个咋子,shan'ge'za'zi
烧包,shao'bao
舌头力子,she'tou'li'zi
手几盖,shou'ji'gai
趿拉板,ta'la'ban
条更,tiao'geng
屋当门,wu'dang'men
无园,wu'yuan
杌子,wu'zi
喜面,xi'mian
下巴磕子,xia'ba'ke'zi
瞎鼓捣,xia'gu'dao
瞎腰,xia'yao
相好,xiang'hao
小乖乖低被着点,xiao'guai'guai'di'bei'zhe'dian
蝎虎子,xie'hu'zi
信人,xin'ren
烟巴子,yan'ba'zi
洋车子,yang'che'zi
洋火,yang'huo
洋茄子,yang'qie'zi
洋柿子,yang'shi'zi
夜猫子,ye'mao'zi
掖折子,ye'zhe'zi
已爱里,yi'ai'li
倚巴,yi'ba
易易争争,yi'yi'zheng'zheng
胰子,yi'zi
尤咱,you'zan
原是,yuan'shi
月老娘,yue'lao'niang
纸缺子,zhi'que'zi
吱吱歪歪,zhi'zhi'wai'wai
兹萨,zi'sa
