安康药房,an'kang'yao'fang
八三宿舍,ba'san'su'she
八小,ba'xiao
白楼,bai'lou
报社,bao'she
北达电缆,bei'da'dian'lan
北方大药房三部,bei'fang'da'yao'fang'san'bu
北方大药房四部,bei'fang'da'yao'fang'si'bu
北方汽贸公司,bei'fang'qi'mao'gong'si
北方晟源现代,bei'fang'sheng'yuan'xian'dai
北方医药,bei'fang'yi'yao
北方医药四部,bei'fang'yi'yao'si'bu
北柳家居,bei'liu'jia'ju
北柳家园,bei'liu'jia'yuan
变压器,bian'ya'qi
博名公司,bo'ming'gong'si
博物馆,bo'wu'guan
柴河水厂,chai'he'shui'chang
柴河沿,chai'he'yan
长青路中段,chang'qing'lu'zhong'duan
长青中段,chang'qing'zhong'duan
朝高,chao'gao
车辆管理所,che'liang'guan'li'suo
车辆检测中心,che'liang'jian'ce'zhong'xin
城北热源厂,cheng'bei're'yuan'chang
城市信用社,cheng'shi'xin'yong'she
传输局,chuan'shu'ju
春园宾馆,chun'yuan'bin'guan
大莲花,da'lian'hua
大桥加油站,da'qiao'jia'you'zhan
大元电缆公司,da'yuan'dian'lan'gong'si
得月酒家,de'yue'jiu'jia
第八中学,di'ba'zhong'xue
第二高中,di'er'gao'zhong
第二医院,di'er'yi'yuan
第三中学,di'san'zhong'xue
第十九小学,di'shi'jiu'xiao'xue
第十四小学,di'shi'si'xiao'xue
第十小学,di'shi'xiao'xue
第十一小学,di'shi'yi'xiao'xue
第四中学,di'si'zhong'xue
第五小学,di'wu'xiao'xue
第五中学,di'wu'zhong'xue
第一水泵经销处,di'yi'shui'beng'jing'xiao'chu
第一中学,di'yi'zhong'xue
地运所,di'yun'suo
电厂,dian'chang
电厂小区,dian'chang'xiao'qu
电视大学,dian'shi'da'xue
电业家属小区,dian'ye'jia'shu'xiao'qu
东北城,dong'bei'cheng
东北丰专用肥公司,dong'bei'feng'zhuan'yong'fei'gong'si
东城阳光,dong'cheng'yang'guang
东电公司,dong'dian'gong'si
东电医院,dong'dian'yi'yuan
东辽海,dong'liao'hai
二台子,er'tai'zi
二铁,er'tie
阀门厂,fa'men'chang
凡河中学,fan'he'zhong'xue
范家屯,fan'jia'tun
犯人医院,fan'ren'yi'yuan
房申沟,fang'shen'gou
枫情水岸,feng'qing'shui'an
福利院,fu'li'yuan
妇婴医院,fu'ying'yi'yuan
钢材市场,gang'cai'shi'chang
钢管厂,gang'guan'chang
高级中学,gao'ji'zhong'xue
高家屯,gao'jia'tun
工程职业学院,gong'cheng'zhi'ye'xue'yuan
工行铁西储蓄所,gong'hang'tie'xi'chu'xu'suo
工行铁西支行,gong'hang'tie'xi'zhi'hang
工行小桥子支行,gong'hang'xiao'qiao'zi'zhi'hang
工行银州支行,gong'hang'yin'zhou'zhi'hang
工会大厦,gong'hui'da'sha
工人分局,gong'ren'fen'ju
工人疗养院,gong'ren'liao'yang'yuan
鼓子楼,gu'zi'lou
光荣街北段,guang'rong'jie'bei'duan
光学厂,guang'xue'chang
广裕街成大方圆店,guang'yu'jie'cheng'da'fang'yuan'dian
规划局,gui'hua'ju
规化局,gui'hua'ju
国资委,guo'zi'wei
红光,hong'guang
化肥农药,hua'fei'nong'yao
惠丰酒店,hui'feng'jiu'dian
惠丰酒店北门,hui'feng'jiu'dian'bei'men
汇兴家园,hui'xing'jia'yuan
汇兴市场,hui'xing'shi'chang
火车站,huo'che'zhan
机动车交易市场,ji'dong'che'jiao'yi'shi'chang
嘉隆欣苑,jia'long'xin'yuan
嘉兴林山雅居小区,jia'xing'lin'shan'ya'ju'xiao'qu
建行,jian'hang
建设村,jian'she'cun
江河泡村,jiang'he'pao'cun
教养所,jiao'yang'suo
金城时代,jin'cheng'shi'dai
进出入境检验检疫局,jin'chu'ru'jing'jian'yan'jian'yi'ju
金鼎盛世城,jin'ding'sheng'shi'cheng
金鼎御景龙庭,jin'ding'yu'jing'long'ting
金利橡胶机械制造公司,jin'li'xiang'jiao'ji'xie'zhi'zao'gong'si
金螺号幼儿园,jin'luo'hao'you'er'yuan
金秋医院,jin'qiu'yi'yuan
金秋医院东门,jin'qiu'yi'yuan'dong'men
金融大厦,jin'rong'da'sha
金氏美容院,jin'shi'mei'rong'yuan
金叶大厦,jin'ye'da'sha
精工,jing'gong
经济开发区,jing'ji'kai'fa'qu
警务室,jing'wu'shi
聚宝堂艺术品商行,ju'bao'tang'yi'shu'pin'shang'hang
聚利来南环店,ju'li'lai'nan'huan'dian
军政招待所,jun'zheng'zhao'dai'suo
开发区信用社,kai'fa'qu'xin'yong'she
开发区行政中心,kai'fa'qu'xing'zheng'zhong'xin
凯隆市场,kai'long'shi'chang
科技馆,ke'ji'guan
科信印刷公司,ke'xin'yin'shua'gong'si
客运站,ke'yun'zhan
老百姓大药房,lao'bai'xing'da'yao'fang
劳动大厦,lao'dong'da'sha
劳动教养院,lao'dong'jiao'yang'yuan
劳动馨园,lao'dong'xin'yuan
老月亮门,lao'yue'liang'men
冷冻厂,leng'dong'chang
丽盾小区,li'dun'xiao'qu
立交桥,li'jiao'qiao
联通公司,lian'tong'gong'si
辽海工业园区,liao'hai'gong'ye'yuan'qu
辽海屯,liao'hai'tun
六号桥,liu'hao'qiao
龙山宾馆,long'shan'bin'guan
龙山乡政府,long'shan'xiang'zheng'fu
龙首市场,long'shou'shi'chang
龙首实验学校,long'shou'shi'yan'xue'xiao
龙腾地产,long'teng'di'chan
龙园百顺大药房,long'yuan'bai'shun'da'yao'fang
陆平厂,lu'ping'chang
陆平公司,lu'ping'gong'si
罗曼春天,luo'man'chun'tian
贸易城,mao'yi'cheng
能发铁阀门厂,neng'fa'tie'fa'men'chang
牛岗子,niu'gang'zi
农行聚银分理处,nong'hang'ju'yin'fen'li'chu
农行民信分理处,nong'hang'min'xin'fen'li'chu
农行南环分理处,nong'hang'nan'huan'fen'li'chu
农行顺达分理处,nong'hang'shun'da'fen'li'chu
农行通达分理处,nong'hang'tong'da'fen'li'chu
农行银州支行,nong'hang'yin'zhou'zhi'hang
农学院,nong'xue'yuan
庞大东风本田,pang'da'dong'feng'ben'tian
配件,pei'jian
漂亮宝贝摄影中心,piao'liang'bao'bei'she'ying'zhong'xin
平安人寿保险公司,ping'an'ren'shou'bao'xian'gong'si
平顶堡,ping'ding'bao
七里屯,qi'li'tun
七里屯村委会,qi'li'tun'cun'wei'hui
浅水湾,qian'shui'wan
清真寺,qing'zhen'si
求实中学,qiu'shi'zhong'xue
区检察院,qu'jian'cha'yuan
区教委,qu'jiao'wei
区农村信用社,qu'nong'cun'xin'yong'she
曲氏橡胶,qu'shi'xiang'jiao
区医院,qu'yi'yuan
区政府,qu'zheng'fu
区政府小区,qu'zheng'fu'xiao'qu
泉沟,quan'gou
人保财险公司,ren'bao'cai'xian'gong'si
人才幼儿园,ren'cai'you'er'yuan
人民公园,ren'min'gong'yuan
人民银行,ren'min'yin'hang
三中,san'zhong
沙子沟,sha'zi'gou
山头堡,shan'tou'bao
商业银行广裕支行,shang'ye'yin'hang'guang'yu'zhi'hang
烧鹅城,shao'e'cheng
社会福利院,she'hui'fu'li'yuan
申家沟,shen'jia'gou
胜利汽贸公司,sheng'li'qi'mao'gong'si
市城市信用社,shi'cheng'shi'xin'yong'she
市地税局,shi'di'shui'ju
市法院,shi'fa'yuan
市公安局,shi'gong'an'ju
市工商局,shi'gong'shang'ju
市公证处,shi'gong'zheng'chu
世纪园,shi'ji'yuan
市建行,shi'jian'hang
市建设工程质监站,shi'jian'she'gong'cheng'zhi'jian'zhan
市建委,shi'jian'wei
市建筑工程质监站,shi'jian'zhu'gong'cheng'zhi'jian'zhan
市交警支队,shi'jiao'jing'zhi'dui
市交通局,shi'jiao'tong'ju
十九小学,shi'jiu'xiao'xue
市开发公司,shi'kai'fa'gong'si
市汽车公司,shi'qi'che'gong'si
市汽校,shi'qi'xiao
十七小学,shi'qi'xiao'xue
十三小学,shi'san'xiao'xue
十三幼儿园,shi'san'you'er'yuan
市图书馆,shi'tu'shu'guan
市卫校,shi'wei'xiao
市消协,shi'xiao'xie
市刑警队,shi'xing'jing'dui
市一建,shi'yi'jian
市医疗器械总厂,shi'yi'liao'qi'xie'zong'chang
十一小学,shi'yi'xiao'xue
市医院,shi'yi'yuan
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
市质量技术监督局,shi'zhi'liang'ji'shu'jian'du'ju
师专,shi'zhuan
师专北门,shi'zhuan'bei'men
师专南门,shi'zhuan'nan'men
兽药大世界,shou'yao'da'shi'jie
水木华园,shui'mu'hua'yuan
水木花园北门,shui'mu'hua'yuan'bei'men
水木花园东门,shui'mu'hua'yuan'dong'men
水木花园西,shui'mu'hua'yuan'xi
水木华园西门,shui'mu'hua'yuan'xi'men
水木花园西门,shui'mu'hua'yuan'xi'men
水上乐园,shui'shang'le'yuan
宿舍,su'she
太古名品广场,tai'gu'ming'pin'guang'chang
太平洋保险公司,tai'ping'yang'bao'xian'gong'si
太阳神影楼,tai'yang'shen'ying'lou
体育场,ti'yu'chang
体育馆,ti'yu'guan
天宝,tian'bao
天宝东门,tian'bao'dong'men
天实机械,tian'shi'ji'xie
天实机械公司,tian'shi'ji'xie'gong'si
天士力大药房,tian'shi'li'da'yao'fang
铁电明珠园,tie'dian'ming'zhu'yuan
铁岭大众肛肠医院,tie'ling'da'zhong'gang'chang'yi'yuan
铁岭高中,tie'ling'gao'zhong
铁岭市电缆厂,tie'ling'shi'dian'lan'chang
铁岭市阀门集团制造有限公司,tie'ling'shi'fa'men'ji'tuan'zhi'zao'you'xian'gong'si
铁岭市客运中心,tie'ling'shi'ke'yun'zhong'xin
铁岭市天桥医院,tie'ling'shi'tian'qiao'yi'yuan
铁岭市现代妇科医院,tie'ling'shi'xian'dai'fu'ke'yi'yuan
铁通公司,tie'tong'gong'si
铁西百货路口,tie'xi'bai'huo'lu'kou
铁西转盘,tie'xi'zhuan'pan
铁旭种业,tie'xu'zhong'ye
铁旭种业公司,tie'xu'zhong'ye'gong'si
铁研橡塑,tie'yan'xiang'su
通达典当行,tong'da'dian'dang'hang
同明眼科医院,tong'ming'yan'ke'yi'yuan
铜钟医院,tong'zhong'yi'yuan
土地局,tu'di'ju
卫生所,wei'sheng'suo
伟业服装城,wei'ye'fu'zhuang'cheng
文化公园,wen'hua'gong'yuan
五角湖,wu'jiao'hu
西大,xi'da
县二高,xian'er'gao
县高,xian'gao
县交通队,xian'jiao'tong'dui
县农村信用联社,xian'nong'cun'xin'yong'lian'she
县农行,xian'nong'hang
县汽校,xian'qi'xiao
县委,xian'wei
县橡胶件厂,xian'xiang'jiao'jian'chang
县医院,xian'yi'yuan
县幼儿园,xian'you'er'yuan
县政府,xian'zheng'fu
县职业中专,xian'zhi'ye'zhong'zhuan
向阳小区,xiang'yang'xiao'qu
消防队,xiao'fang'dui
消防局,xiao'fang'ju
消防烧伤医院,xiao'fang'shao'shang'yi'yuan
小莲花,xiao'lian'hua
小桥,xiao'qiao
小桥子,xiao'qiao'zi
协和医药公司,xie'he'yi'yao'gong'si
协和医院,xie'he'yi'yuan
信达证券,xin'da'zheng'quan
信达证券公司,xin'da'zheng'quan'gong'si
新都太平洋购物中心东门,xin'du'tai'ping'yang'gou'wu'zhong'xin'dong'men
