八专法,ba'zhuan'fa
八专课,ba'zhuan'ke
比用,bi'yong
比用法,bi'yong'fa
比用课,bi'yong'ke
别责法,bie'ze'fa
别责课,bie'ze'ke
不虞,bu'yu
察微,cha'wei
陈公献,chen'gong'xian
重审,chong'shen
初传,chu'chuan
冬蛇掩目,dong'she'yan'mu
杜传,du'chuan
独足,du'zu
遁干,dun'gan
发用,fa'yong
返吟法,fan'yin'fa
返吟课,fan'yin'ke
伏吟法,fu'yin'fa
伏吟课,fu'yin'ke
蒿矢,hao'shi
虎视,hu'shi
见机,jian'ji
井栏冲,jing'lan'chong
井栏射,jing'lan'she
昴星法,mao'xing'fa
昴星课,mao'xing'ke
孟仲季,meng'zhong'ji
末传,mo'chuan
逆总顺零,ni'zong'shun'ling
年命,nian'ming
日辰,ri'chen
三传,san'chuan
邵彦和,shao'yan'he
涉害法,she'hai'fa
涉害课,she'hai'ke
涉害深浅,she'hai'shen'qian
始入,shi'ru
顺总逆零,shun'zong'ni'ling
四课,si'ke
弹射,tan'she
帷薄不修,wei'bo'bu'xiu
无亲,wu'qin
无依,wu'yi
芜淫,wu'yin
行年,xing'nian
阳贵,yang'gui
遥克法,yao'ke'fa
遥克课,yao'ke'ke
阴贵,yin'gui
元首,yuan'shou
月将,yue'jiang
贼克法,zei'ke'fa
贼克课,zei'ke'ke
知一,zhi'yi
中传,zhong'chuan
缀瑕,zhui'xia
自任,zi'ren
自信,zi'xin
