白姆乡,bai'mu'xiang
白洋街道,bai'yang'jie'dao
大田乡,da'tian'xiang
大溪口乡,da'xi'kou'xiang
壶山街道,hu'shan'jie'dao
茭道镇,jiao'dao'zhen
柳城畲族镇,liu'cheng'she'zu'zhen
履坦镇,lv'tan'zhen
泉溪镇,quan'xi'zhen
三港乡,san'gang'xiang
熟溪街道,shu'xi'jie'dao
坦洪乡,tan'hong'xiang
桃溪镇,tao'xi'zhen
桐琴镇,tong'qin'zhen
王宅镇,wang'zhai'zhen
温泉度假区,wen'quan'du'jia'qu
武义人口计生局,wu'yi'ren'kou'ji'sheng'ju
武义县第二人民医院,wu'yi'xian'di'er'ren'min'yi'yuan
武义县第一人民医院,wu'yi'xian'di'yi'ren'min'yi'yuan
武义县妇幼保健院,wu'yi'xian'fu'you'bao'jian'yuan
武义县计划生育协会,wu'yi'xian'ji'hua'sheng'yu'xie'hui
武义县人口和计划生育局,wu'yi'xian'ren'kou'he'ji'hua'sheng'yu'ju
武义县中医院,wu'yi'xian'zhong'yi'yuan
西联乡,xi'lian'xiang
新宅镇,xin'zhai'zhen
俞源乡,yu'yuan'xiang
