长方形,chang'fang'xing
对顶角,dui'ding'jiao
矩形,ju'xing
括号,kuo'hao
括号里,kuo'hao'li
括号内,kuo'hao'nei
两直线平行,liang'zhi'xian'ping'xing
两直线平行内错角相等,liang'zhi'xian'ping'xing'nei'cuo'jiao'xiang'deng
两直线平行同旁内角互补,liang'zhi'xian'ping'xing'tong'pang'nei'jiao'hu'bu
两直线平行同位角相等,liang'zhi'xian'ping'xing'tong'wei'jiao'xiang'deng
菱形,ling'xing
菱形对角线,ling'xing'dui'jiao'xian
内错角,nei'cuo'jiao
内错角相等两直线平行,nei'cuo'jiao'xiang'deng'liang'zhi'xian'ping'xing
平行四边形,ping'xing'si'bian'xing
三角形,san'jiao'xing
四边形,si'bian'xing
梯形,ti'xing
同旁内角,tong'pang'nei'jiao
同旁内角互补两直线平行,tong'pang'nei'jiao'hu'bu'liang'zhi'xian'ping'xing
同位角,tong'wei'jiao
同位角相等两直线平行,tong'wei'jiao'xiang'deng'liang'zhi'xian'ping'xing
正方形,zheng'fang'xing
轴对称,zhou'dui'chen
轴对称图形,zhou'dui'chen'tu'xing
