暗根子,an'gen'zi
按规行棋,an'gui'xing'qi
按时拨钟,an'shi'bo'zhong
按时加钟,an'shi'jia'zhong
暗捉,an'zhuo
拔簧马,ba'huang'ma
八角马,ba'jiao'ma
八平,ba'ping
八卒,ba'zu
百局象棋谱,bai'ju'xiang'qi'pu
白脸将,bai'lian'jiang
白马卧槽,bai'ma'wo'cao
败势,bai'shi
摆中炮,bai'zhong'pao
白赚一象,bai'zhuan'yi'xiang
半途列炮,ban'tu'lie'pao
半途顺炮,ban'tu'shun'pao
包抄入侵,bao'chao'ru'qin
保全精兵,bao'quan'jing'bing
北斗棋苑选粹,bei'dou'qi'yuan'xuan'cui
北京选手,bei'jing'xuan'shou
背士将,bei'shi'jiang
本轮开始前,ben'lun'kai'shi'qian
逼黑,bi'hei
逼进红方帅府,bi'jin'hong'fang'shuai'fu
逼仕,bi'shi
避仕,bi'shi
必须变着,bi'xu'bian'zhe
变二,bian'er
变例,bian'li
边马,bian'ma
边马对还中炮,bian'ma'dui'hai'zhong'pao
边卒,bian'zu
蹩马腿,bie'ma'tui
兵八,bing'ba
兵八进一,bing'ba'jin'yi
兵八平九,bing'ba'ping'jiu
兵八平七,bing'ba'ping'qi
兵二,bing'er
兵二进一,bing'er'jin'yi
兵二平三,bing'er'ping'san
兵二平四,bing'er'ping'si
兵二平一,bing'er'ping'yi
兵九,bing'jiu
兵九进一,bing'jiu'jin'yi
兵九进一卒,bing'jiu'jin'yi'zu
兵九平八,bing'jiu'ping'ba
并卡肋,bing'ka'lei
兵六,bing'liu
兵六进一,bing'liu'jin'yi
兵六平七,bing'liu'ping'qi
兵六平五,bing'liu'ping'wu
兵破,bing'po
兵七,bing'qi
兵七进一,bing'qi'jin'yi
兵七平八,bing'qi'ping'ba
兵七平六,bing'qi'ping'liu
兵三,bing'san
兵三进一,bing'san'jin'yi
兵三平二,bing'san'ping'er
兵三平四,bing'san'ping'si
兵三平五,bing'san'ping'wu
兵四,bing'si
兵四进一,bing'si'jin'yi
兵四进一士,bing'si'jin'yi'shi
兵四平三,bing'si'ping'san
兵四平五,bing'si'ping'wu
兵五,bing'wu
兵五进一,bing'wu'jin'yi
兵五进一炮,bing'wu'jin'yi'pao
兵五平六,bing'wu'ping'liu
兵五平四,bing'wu'ping'si
兵行线,bing'xing'xian
兵一,bing'yi
兵一进一,bing'yi'jin'yi
兵一进一马,bing'yi'jin'yi'ma
兵一平二,bing'yi'ping'er
并在下一着,bing'zai'xia'yi'zhao
兵之危,bing'zhi'wei
不变作负,bu'bian'zuo'fu
不变作和,bu'bian'zuo'he
不吃子,bu'chi'zi
布局骗着与对策,bu'ju'pian'zhe'yu'dui'ce
不限步数,bu'xian'bu'shu
不准在同一直线上,bu'zhun'zai'tong'yi'zhi'xian'shang
踩掉红马,cai'diao'hong'ma
踩黑边卒,cai'hei'bian'zu
裁判员也,cai'pan'yuan'ye
踩双,cai'shuang
残局形势,can'ju'xing'shi
残棋技艺,can'qi'ji'yi
残棋炮归家,can'qi'pao'gui'jia
残棋圣手,can'qi'sheng'shou
曹岩磊,cao'yan'lei
侧面虎,ce'mian'hu
缠角马,chan'jiao'ma
长兵器,chang'bing'qi
长打,chang'da
长跟,chang'gen
长将,chang'jiang
长拦,chang'lan
长杀,chang'sha
长献,chang'xian
长捉,chang'zhuo
车八进,che'ba'jin
车八进八,che'ba'jin'ba
车八进二,che'ba'jin'er
车八进九,che'ba'jin'jiu
车八进六,che'ba'jin'liu
车八进七,che'ba'jin'qi
车八进三,che'ba'jin'san
车八进四,che'ba'jin'si
车八进五,che'ba'jin'wu
车八进一,che'ba'jin'yi
车八平,che'ba'ping
车八平二,che'ba'ping'er
车八平九,che'ba'ping'jiu
车八平六,che'ba'ping'liu
车八平七,che'ba'ping'qi
车八平三,che'ba'ping'san
车八平四,che'ba'ping'si
车八平五,che'ba'ping'wu
车八平一,che'ba'ping'yi
车八退,che'ba'tui
车八退八,che'ba'tui'ba
车八退二,che'ba'tui'er
车八退九,che'ba'tui'jiu
车八退六,che'ba'tui'liu
