阿大,a'da
阿列克斯,a'lie'ke'si
阿列克斯加西亚,a'lie'ke'si'jia'xi'ya
保志总一朗,bao'zhi'zong'yi'lang
冰室,bing'shi
冰室辰也,bing'shi'chen'ye
辰也,chen'ye
诚凛,cheng'lin
诚凛高校,cheng'lin'gao'xiao
赤黑,chi'hei
赤黄,chi'huang
赤绿,chi'lv
赤青,chi'qing
赤司,chi'si
赤司征十郎,chi'si'zheng'shi'lang
赤紫,chi'zi
大坪,da'ping
大坪泰介,da'ping'tai'jie
大前锋,da'qian'feng
达子,da'zi
得分后卫,de'fen'hou'wei
队长,dui'zhang
恶童,e'tong
二黄,er'huang
高尾,gao'wei
高尾和成,gao'wei'he'cheng
宫地,gong'di
宫地清志,gong'di'qing'zhi
海常,hai'chang
海常高校,hai'chang'gao'xiao
黑桃,hei'tao
黑子,hei'zi
黑子的篮球,hei'zi'de'lan'qiu
黑子哲也,hei'zi'zhe'ye
花宫,hua'gong
花宫真,hua'gong'zhen
幻影篮球王,huan'ying'lan'qiu'wang
幻影投篮,huan'ying'tou'lan
黄黑,huang'hei
黄濑,huang'lai
黄濑凉太,huang'lai'liang'tai
黄笠,huang'li
会加速的传球,hui'jia'su'de'chuan'qiu
会加速的传球回,hui'jia'su'de'chuan'qiu'hui
火冰,huo'bing
火黑,huo'hei
火神,huo'shen
火神大我,huo'shen'da'wo
剪刀手,jian'dao'shou
今吉,jin'ji
今吉翔一,jin'ji'xiang'yi
金水,jin'shui
绝对命中投篮,jue'dui'ming'zhong'tou'lan
控球后卫,kong'qiu'hou'wei
笠松,li'song
笠松幸男,li'song'xing'nan
丽桃,li'tao
丽子,li'zi
铃村健一,ling'cun'jian'yi
流星灌篮,liu'xing'guan'lan
洛山,luo'shan
洛山高校,luo'shan'gao'xiao
绿高,lv'gao
绿黑,lv'hei
绿黄,lv'huang
绿间,lv'jian
绿间真太郎,lv'jian'zhen'tai'lang
木村,mu'cun
木村良平,mu'cun'liang'ping
木村信介,mu'cun'xin'jie
木花,mu'hua
木吉,mu'ji
木吉鉄平,mu'ji'tie'ping
破坏的铁锤,po'huai'de'tie'chui
奇迹的世代,qi'ji'de'shi'dai
青峰,qing'feng
青峰大辉,qing'feng'da'hui
青黑,qing'hei
青黄,qing'huang
青桃,qing'tao
日丽,ri'li
日木,ri'mu
日向,ri'xiang
日向顺平,ri'xiang'shun'ping
若松,ruo'song
若松孝辅,ruo'song'xiao'fu
仨小野,sa'xiao'ye
三分线范围以内的绝对防御,san'fen'xian'fan'wei'yi'nei'de'jue'dui'fang'yu
三小野,san'xiao'ye
森山,sen'shan
森山由孝,sen'shan'you'xiao
闪闪,shan'shan
神谷浩史,shen'gu'hao'shi
水户部,shui'hu'bu
水户部凛之助,shui'hu'bu'lin'zhi'zhu
桃井,tao'jing
桃井五月,tao'jing'wu'yue
桃丽,tao'li
藤卷,teng'juan
藤卷忠俊,teng'juan'zhong'jun
铁心,tie'xin
桐皇,tong'huang
桐皇学园,tong'huang'xue'yuan
土田,tu'tian
土田聪史,tu'tian'cong'shi
无定式射篮,wu'ding'shi'she'lan
无冠的五将,wu'guan'de'wu'jiang
武内,wu'nei
武内源太,wu'nei'yuan'tai
雾崎第一,wu'qi'di'yi
雾崎第一高校,wu'qi'di'yi'gao'xiao
细谷佳正,xi'gu'jia'zheng
相田丽子,xiang'tian'li'zi
小赤司,xiao'chi'si
小黑子,xiao'hei'zi
小火神,xiao'huo'shen
小金井,xiao'jin'jing
小金井慎二,xiao'jin'jing'shen'er
小绿间,xiao'lv'jian
小前锋,xiao'qian'feng
小青峰,xiao'qing'feng
消失的运球,xiao'shi'de'yun'qiu
小野,xiao'ye
小野大辅,xiao'ye'da'fu
小野贤章,xiao'ye'xian'zhang
小野友树,xiao'ye'you'shu
小紫原,xiao'zi'yuan
秀德,xiu'de
秀德高校,xiu'de'gao'xiao
阳泉,yang'quan
阳泉高校,yang'quan'gao'xiao
阳炎投篮,yang'yan'tou'lan
伊月,yi'yue
伊月俊,yi'yue'jun
桜井,ying'jing
桜井良,ying'jing'liang
影子篮球员,ying'zi'lan'qiu'yuan
早川,zao'chuan
早川充洋,zao'chuan'chong'yang
斋藤千和,zhai'teng'qian'he
哲也二号,zhe'ye'er'hao
中锋,zhong'feng
中谷,zhong'gu
中谷仁亮,zhong'gu'ren'liang
紫冰,zi'bing
紫黑,zi'hei
紫黄,zi'huang
紫原,zi'yuan
紫原敦,zi'yuan'dun
诹防部顺一,zou'fang'bu'shun'yi
