阿瓦隆,a'wa'long
斑鸠,ban'jiu
波特曼,bo'te'man
飞燕爪牙,fei'yan'zhao'ya
浮游航空舰,fu'you'hang'kong'jian
盖尼米得,gai'ni'mi'de
盖托里克斯,gai'tuo'li'ke'si
钢髅,gang'lou
高机走驱动轮,gao'ji'zou'qu'dong'lun
高文,gao'wen
格拉斯哥,ge'la'si'ge
格洛斯特,ge'luo'si'te
红莲贰式,hong'lian'er'shi
红莲可翔式,hong'lian'ke'xiang'shi
红莲圣天八极式,hong'lian'sheng'tian'ba'ji'shi
加拉哈特,jia'la'ha'te
兰斯洛特,lan'si'luo'te
浪徒,lang'tu
浪徒改,lang'tu'gai
雷光,lei'guang
龙胆,long'dan
莫德雷德,mo'de'lei'de
帕西瓦尔,pa'xi'wa'er
齐格菲,qi'ge'fei
人型自在战斗装甲骑,ren'xing'zi'zai'zhan'dou'zhuang'jia'qi
桑德兰,sang'de'lan
神虎,shen'hu
蜃气楼,shen'qi'lou
托利斯坦,tuo'li'si'tan
文森特,wen'sen'te
亚力克山大,ya'li'ke'shan'da
月下,yue'xia
斩月,zhan'yue
