阿方索三世,a'fang'suo'san'shi
阿方索十三世,a'fang'suo'shi'san'shi
阿丰索,a'feng'suo
阿克拉加斯,a'ke'la'jia'si
阿拉伯人,a'la'bo'ren
阿拉木图宣言,a'la'mu'tu'xuan'yan
阿姆斯特丹港,a'mu'si'te'dan'gang
阿雅克修城,a'ya'ke'xiu'cheng
阿育王,a'yu'wang
爱尔兰共和国,ai'er'lan'gong'he'guo
爱尔兰南部,ai'er'lan'nan'bu
爱格伯特,ai'ge'bo'te
埃及女王,ai'ji'nv'wang
埃及王国,ai'ji'wang'guo
埃及文明,ai'ji'wen'ming
爱琴海地区,ai'qin'hai'di'qu
爱琴文明,ai'qin'wen'ming
安东尼,an'dong'ni
安纳托利亚,an'na'tuo'li'ya
盎格鲁,ang'ge'lu
盎格鲁人,ang'ge'lu'ren
奥登巴恩维尔特,ao'deng'ba'en'wei'er'te
奥古斯都,ao'gu'si'du
奥林匹克运动会,ao'lin'pi'ke'yun'dong'hui
奥斯曼帝国,ao'si'man'di'guo
奥斯曼人,ao'si'man'ren
奥斯曼土耳其人,ao'si'man'tu'er'qi'ren
奥维瑞许,ao'wei'rui'xu
奥匈帝国,ao'xiong'di'guo
巴达维亚城,ba'da'wei'ya'cheng
巴黎军官学校,ba'li'jun'guan'xue'xiao
巴黎条约,ba'li'tiao'yue
巴托罗缪,ba'tuo'luo'miu
八一九事件,ba'yi'jiu'shi'jian
白俄罗斯,bai'e'luo'si
白军,bai'jun
百年战争,bai'nian'zhan'zheng
百日王朝,bai'ri'wang'chao
拜占庭,bai'zhan'ting
拜占庭帝国,bai'zhan'ting'di'guo
拜占庭人,bai'zhan'ting'ren
拜占庭首都,bai'zhan'ting'shou'du
保持中立,bao'chi'zhong'li
爆发革命,bao'fa'ge'ming
爆发了,bao'fa'le
爆发时间,bao'fa'shi'jian
保守党,bao'shou'dang
保守主义,bao'shou'zhu'yi
北爱尔兰,bei'ai'er'lan
北爱兰郡,bei'ai'lan'jun
被保留,bei'bao'liu
北部的,bei'bu'de
贝当政府,bei'dang'zheng'fu
北德意志联邦,bei'de'yi'zhi'lian'bang
北美大陆,bei'mei'da'lu
被迫承认,bei'po'cheng'ren
被迫签署,bei'po'qian'shu
被任命为,bei'ren'ming'wei
被推翻,bei'tui'fan
被英国,bei'ying'guo
彼得大帝,bi'de'da'di
彼得一世,bi'de'yi'shi
彼得一世改革,bi'de'yi'shi'gai'ge
比克人,bi'ke'ren
比利时,bi'li'shi
别洛韦日,bie'luo'wei'ri
并定居,bing'ding'ju
病没,bing'mei
波茨坦协定,bo'ci'tan'xie'ding
柏林市,bo'lin'shi
波罗地海三国,bo'luo'di'hai'san'guo
波斯帝国,bo'si'di'guo
波斯人,bo'si'ren
波斯湾,bo'si'wan
布尔什维克党,bu'er'shi'wei'ke'dang
布里埃纳军校,bu'li'ai'na'jun'xiao
不列颠,bu'lie'dian
布列斯特和约,bu'lie'si'te'he'yue
布匿战争,bu'ni'zhan'zheng
财产损失,cai'chan'sun'shi
参加的,can'jia'de
常备军,chang'bei'jun
长期持续,chang'qi'chi'xu
常任理事国,chang'ren'li'shi'guo
超级大国,chao'ji'da'guo
彻底失败,che'di'shi'bai
城邦国家,cheng'bang'guo'jia
承继人,cheng'ji'ren
称王,cheng'wang
成型于,cheng'xing'yu
出现的,chu'xian'de
大不列颠,da'bu'lie'dian
大不列颠岛,da'bu'lie'dian'dao
大幅度提高,da'fu'du'ti'gao
大公称号,da'gong'cheng'hao
